Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,46.93,47.22,46.56,46.93,40.46,11603700
2019-01-03,46.81,47.36,46.52,46.63,40.21,14714400
2019-01-04,46.75,47.56,46.63,47.56,41.01,13013700
2019-01-07,47.56,47.75,46.90,46.95,40.48,13135500
2019-01-08,47.25,47.56,47.04,47.47,40.94,15420700
2019-01-09,47.08,47.27,46.43,46.56,40.15,18032500
2019-01-10,46.65,47.09,46.34,47.06,40.58,15976600
2019-01-11,47.29,47.36,46.97,47.34,40.82,11088600
2019-01-14,47.25,47.40,46.99,47.15,40.65,11514300
2019-01-15,46.88,47.59,46.81,47.56,41.01,11342900
2019-01-16,47.40,47.47,46.86,46.91,40.45,16907800
2019-01-17,46.91,47.13,46.88,47.06,40.57,12044600
2019-01-18,47.25,47.68,47.11,47.61,41.05,12760700
2019-01-22,47.70,47.79,47.20,47.72,41.14,11700400
2019-01-23,47.81,48.29,47.65,48.27,41.62,12058300
2019-01-24,48.11,48.11,47.38,47.68,41.12,10272000
2019-01-25,47.88,48.02,47.24,47.36,40.84,12066500
2019-01-28,47.22,47.29,46.93,47.16,40.67,9966900
2019-01-29,47.20,47.63,47.13,47.40,40.87,11998600
2019-01-30,47.25,47.88,47.18,47.86,41.26,12952500
2019-01-31,47.84,48.77,47.47,48.13,41.50,32181500
2019-02-01,48.47,48.77,48.40,48.70,41.99,19130100
2019-02-04,48.70,49.45,48.54,49.25,42.46,15105700
2019-02-05,49.33,49.47,49.09,49.25,42.47,12651900
2019-02-06,49.20,49.36,49.02,49.25,42.47,8689100
2019-02-07,49.16,49.45,49.0,49.41,42.61,10047800
2019-02-08,49.36,49.5,49.11,49.5,42.68,9813300
2019-02-11,49.56,49.88,49.47,49.61,42.77,9369300
2019-02-12,49.68,49.79,49.45,49.65,42.82,10983300
2019-02-13,49.61,49.93,49.56,49.79,42.93,12748800
2019-02-14,46.70,46.95,45.5,45.59,39.31,58905400
2019-02-15,45.90,46.25,45.20,45.24,39.00,35701600
2019-02-19,45.31,45.59,44.77,44.83,38.65,25511300
2019-02-20,44.90,45.24,44.79,45.09,38.88,27464000
2019-02-21,45.0,45.90,44.95,45.86,39.54,23121200
2019-02-22,45.75,45.95,45.20,45.27,39.04,24728400
2019-02-25,45.43,45.56,44.84,44.93,38.75,23774400
2019-02-26,45.09,45.13,44.65,44.68,38.53,20463200
2019-02-27,44.59,45.02,44.41,44.93,38.75,17827500
2019-02-28,45.11,45.61,45.11,45.34,39.09,22533900
2019-03-01,45.47,45.63,45.20,45.38,39.13,16291600
2019-03-04,45.52,45.66,45.29,45.65,39.36,15973800
2019-03-05,45.65,45.70,45.40,45.59,39.32,13062300
2019-03-06,45.66,45.79,45.43,45.45,39.19,14232100
2019-03-07,45.49,45.52,45.13,45.27,39.04,12084000
2019-03-08,45.15,45.25,44.61,44.84,38.66,15579100
2019-03-11,45.13,46.24,45.09,46.18,39.82,22126900
2019-03-12,45.95,46.25,45.90,46.04,39.70,19348500
2019-03-13,46.13,46.34,45.90,46.22,39.85,16222500
2019-03-14,45.84,46.11,45.63,45.70,39.75,18504100
2019-03-15,45.72,45.90,45.13,45.29,39.40,47254500
2019-03-18,45.43,45.68,45.36,45.40,39.49,24006400
2019-03-19,45.54,45.68,45.34,45.56,39.62,14987000
2019-03-20,45.40,45.90,45.18,45.52,39.60,13376100
2019-03-21,45.52,45.75,45.43,45.50,39.58,20043000
2019-03-22,45.45,46.11,45.45,45.93,39.95,19055900
2019-03-25,45.86,46.20,45.79,46.02,40.03,11668200
2019-03-26,46.16,46.79,46.16,46.63,40.56,11434900
2019-03-27,46.65,46.90,46.33,46.61,40.54,11543600
2019-03-28,46.68,46.91,46.47,46.58,40.51,11121100
