Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,72.79,74.63,72.19,74.05,70.61,6762700
2019-01-03,73.25,73.31,71.20,72.75,69.36,8007400
2019-01-04,73.44,75.12,73.12,74.65,71.17,7844200
2019-01-07,74.73,76.36,74.30,75.72,72.19,8184800
2019-01-08,76.83,77.40,76.19,76.73,73.15,8809000
2019-01-09,76.97,77.15,76.13,76.58,73.02,8591000
2019-01-10,75.63,77.33,75.45,76.41,72.86,11148600
2019-01-11,76.33,76.88,75.80,76.04,72.49,10689900
2019-01-14,75.45,76.80,75.45,76.08,72.54,5677400
2019-01-15,76.19,77.98,76.12,77.87,74.25,6212400
2019-01-16,78.0,78.84,77.58,77.68,74.06,5697100
2019-01-17,77.54,79.40,77.30,79.12,75.44,7737300
2019-01-18,79.94,80.97,79.73,80.44,76.70,10404100
2019-01-22,80.33,81.30,80.19,80.75,76.99,8781700
2019-01-23,81.19,81.40,80.22,80.5,76.75,5823000
2019-01-24,80.59,80.87,79.55,80.44,76.69,4753200
2019-01-25,81.25,81.33,80.43,80.61,76.85,4457100
2019-01-28,79.80,80.51,79.73,80.31,76.58,5452000
2019-01-29,80.36,80.83,79.83,80.22,76.48,4187500
2019-01-30,80.40,81.29,80.05,81.27,77.49,5200200
2019-01-31,81.18,81.94,80.70,81.87,78.06,8599200
2019-02-01,81.83,81.90,81.12,81.51,77.71,5351900
2019-02-04,81.22,82.0,80.83,81.98,78.17,4236600
2019-02-05,81.98,83.19,81.93,82.86,79.00,6545600
2019-02-06,82.51,82.70,81.63,82.70,78.85,3682800
2019-02-07,82.15,82.84,81.70,82.38,78.55,4827500
2019-02-08,82.25,82.72,81.94,82.36,78.52,3786500
2019-02-11,82.94,83.83,82.87,83.68,79.78,6158500
2019-02-12,83.97,84.83,83.62,84.70,80.76,6290300
2019-02-13,84.76,85.58,84.76,85.40,81.42,5032800
2019-02-14,84.61,85.13,83.69,84.68,80.73,5179000
2019-02-15,85.48,85.77,85.09,85.37,81.40,6111300
2019-02-19,84.58,85.05,84.45,84.56,80.63,5105900
2019-02-20,84.62,84.94,84.34,84.83,80.88,6436100
2019-02-21,83.56,84.15,83.34,83.94,80.04,8579200
2019-02-22,84.19,85.01,84.02,84.76,80.81,4449500
2019-02-25,85.38,85.73,84.95,85.16,81.20,6229700
2019-02-26,85.30,86.08,85.19,85.80,81.80,6678700
2019-02-27,85.52,86.22,85.05,86.16,82.15,4588200
2019-02-28,86.08,86.40,85.68,85.73,81.73,4988100
2019-03-01,86.93,87.98,86.23,87.16,83.31,6314900
2019-03-04,87.31,87.98,85.11,85.63,81.86,7339500
2019-03-05,85.87,86.25,85.44,85.44,81.67,4976300
2019-03-06,85.59,85.98,85.04,85.12,81.37,3198000
2019-03-07,84.97,85.41,84.66,85.26,81.49,4321800
2019-03-08,84.58,84.87,84.01,84.80,81.05,4669700
2019-03-11,85.38,85.94,85.05,85.81,82.03,3999800
2019-03-12,85.77,86.08,85.01,85.43,81.66,4431600
2019-03-13,85.69,86.66,85.59,85.93,82.13,5037800
2019-03-14,86.15,86.87,85.69,86.87,83.03,5906100
2019-03-15,87.22,87.61,85.95,86.80,82.97,11031400
2019-03-18,87.30,87.83,87.0,87.81,83.94,7750700
2019-03-19,88.22,88.58,87.29,87.69,83.82,6642200
2019-03-20,87.5,87.58,86.08,86.69,82.86,5991500
2019-03-21,87.23,88.12,86.83,88.01,84.12,10386900
2019-03-22,85.19,85.90,82.15,82.19,78.56,21659800
2019-03-25,81.48,83.22,80.88,82.33,78.69,15558300
2019-03-26,83.62,84.08,82.91,83.37,79.70,9611900
2019-03-27,83.69,83.80,82.04,83.08,79.42,6485100
2019-03-28,83.93,84.72,83.69,84.04,80.33,6032700
2019-03-29,84.59,84.84,83.86,84.20,80.49,6492000
2019-04-01,85.04,85.31,84.69,85.23,81.47,6737400
2019-04-02,85.0,85.26,84.16,84.37,80.64,4433800
2019-04-03,84.90,84.98,84.25,84.47,80.74,4080900
2019-04-04,84.48,85.37,84.36,85.27,81.51,3660700
2019-04-05,86.0,86.16,85.05,85.40,81.63,7367400
2019-04-08,85.01,85.29,84.56,84.73,80.99,4705800
2019-04-09,84.22,84.59,83.97,84.27,80.56,3804500
2019-04-10,84.63,85.01,84.55,84.87,81.13,3918400
2019-04-11,84.90,85.05,84.27,85.0,81.25,3347400
2019-04-12,85.30,86.48,85.29,86.23,82.43,6037000
2019-04-15,86.88,87.23,86.44,86.83,83.00,5034900
2019-04-16,87.0,87.94,87.0,87.80,83.92,4652700
2019-04-17,87.94,88.97,87.44,88.73,84.81,5694900
2019-04-18,88.76,90.0,88.69,89.19,85.26,7016600
2019-04-22,88.34,88.63,87.30,87.36,83.50,5390500
2019-04-23,87.56,87.66,87.01,87.43,83.57,7513700
2019-04-24,87.66,88.81,87.43,88.38,84.49,8063000
2019-04-25,88.40,88.54,87.48,87.55,83.69,7069900
2019-04-26,87.94,88.94,87.33,88.30,84.41,6219600
2019-04-29,88.18,88.51,88.12,88.26,84.36,5008400
2019-04-30,88.29,88.40,87.26,87.83,83.95,7614100
2019-05-01,87.73,87.94,85.87,85.90,82.11,6524600
2019-05-02,86.20,86.27,84.98,85.26,81.50,6813700
2019-05-03,85.90,86.30,85.69,85.69,81.91,6798300
2019-05-06,83.76,83.87,82.86,83.56,79.88,12836600
2019-05-07,83.01,83.62,81.83,82.54,78.89,9811300
2019-05-08,82.43,83.98,82.13,82.76,79.11,9501300
2019-05-09,82.20,83.01,81.54,82.98,79.31,6336600
2019-05-10,82.77,84.26,82.19,83.94,80.24,5450500
2019-05-13,81.65,82.62,81.31,82.52,78.88,6445200
2019-05-14,82.77,84.0,82.05,83.66,79.97,7529200
2019-05-15,83.16,84.48,82.94,84.01,80.30,4862200
2019-05-16,84.51,85.40,84.19,84.27,80.56,6745200
2019-05-17,83.51,85.51,83.5,84.56,80.83,5068200
2019-05-20,83.80,83.80,82.73,82.84,79.19,7181900
2019-05-21,83.36,83.80,82.51,83.63,79.95,5762500
2019-05-22,82.98,83.33,82.76,83.19,79.53,5237800
2019-05-23,82.5,83.05,81.98,82.63,78.99,9704200
2019-05-24,82.19,83.16,82.08,82.16,78.53,5999000
2019-05-28,82.84,83.19,81.12,81.19,77.61,7927300
2019-05-29,80.70,80.86,77.69,78.87,75.39,10116900
2019-05-30,78.91,79.73,78.61,79.26,75.76,6177800
2019-05-31,78.0,78.26,77.06,77.13,73.94,8891100
2019-06-03,77.23,78.58,77.08,77.95,74.72,11665500
2019-06-04,79.30,81.65,78.77,81.62,78.23,7526800
2019-06-05,82.29,82.90,81.93,82.72,79.29,8173200
2019-06-06,82.72,83.05,82.08,82.44,79.03,4953000
2019-06-07,83.08,83.68,82.80,83.41,79.95,3891100
2019-06-10,83.75,84.19,82.44,82.58,79.15,4419800
2019-06-11,83.65,84.33,83.12,83.26,79.80,3939400
2019-06-12,83.48,84.01,82.51,82.62,79.20,4025900
2019-06-13,83.15,83.91,83.05,83.61,80.14,3383400
2019-06-14,83.51,83.86,83.04,83.44,79.98,4355600
2019-06-17,83.33,83.45,82.01,82.11,78.70,5101900
2019-06-18,82.69,84.65,82.5,84.30,80.80,6456500
2019-06-19,83.73,83.90,83.13,83.55,80.08,6217700
2019-06-20,84.90,85.66,84.41,85.23,81.70,6163800
2019-06-21,85.16,85.75,84.59,85.75,82.19,9289800
2019-06-24,86.0,86.84,84.37,84.5,80.99,8043300
2019-06-25,84.59,84.69,82.16,82.62,79.19,7339900
2019-06-26,83.15,83.69,82.44,82.55,79.12,5838500
2019-06-27,82.93,83.76,82.93,83.66,80.19,11436700
