Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,91.02,91.38,89.93,91.27,80.42,9843900
2019-01-03,90.94,92.5,90.37,90.63,79.86,9820200
2019-01-04,90.83,92.48,90.37,92.48,81.49,10565700
2019-01-07,91.91,92.5,91.40,92.12,81.16,9012500
2019-01-08,92.69,93.08,91.81,92.45,81.46,9551300
2019-01-09,92.69,92.95,90.80,90.94,80.13,15015600
2019-01-10,90.88,91.54,90.61,91.16,80.33,11102300
2019-01-11,91.66,91.98,91.11,91.76,80.85,7166600
2019-01-14,91.5,91.91,90.84,91.15,80.31,7952000
2019-01-15,91.15,92.61,91.13,92.01,81.07,7834500
2019-01-16,91.73,92.15,90.98,91.37,80.50,7964500
2019-01-17,90.70,91.55,90.34,90.63,80.49,8044500
2019-01-18,91.37,91.83,91.04,91.41,81.18,9100300
2019-01-22,91.38,91.75,89.08,90.44,80.31,13518500
2019-01-23,94.18,96.41,93.62,94.83,84.22,22869000
2019-01-24,94.29,94.55,93.19,94.30,83.74,12146400
2019-01-25,94.41,94.88,93.05,93.59,83.12,10618000
2019-01-28,93.31,93.97,92.97,93.51,83.05,9765600
2019-01-29,93.79,94.12,93.09,93.54,83.07,9769800
2019-01-30,93.61,94.66,93.56,94.51,83.94,7750200
2019-01-31,94.43,96.80,94.08,96.47,85.67,16044400
2019-02-01,96.34,97.61,95.98,97.47,86.56,12720800
2019-02-04,97.20,98.22,96.72,98.02,87.05,11887500
2019-02-05,97.98,98.01,97.20,97.44,86.53,9772300
2019-02-06,97.25,98.31,97.12,97.91,86.96,8693900
2019-02-07,97.51,97.59,96.33,97.13,86.26,8732500
2019-02-08,97.01,97.72,96.69,97.70,86.77,7483200
2019-02-11,97.48,98.38,97.43,98.26,87.27,8494100
2019-02-12,98.37,99.33,97.98,99.26,88.15,11238800
2019-02-13,99.29,99.69,99.01,99.23,88.13,11587200
2019-02-14,98.69,98.81,97.83,98.45,87.44,7930100
2019-02-15,98.94,99.19,98.25,98.48,87.45,12069100
2019-02-19,98.55,100.0,98.47,99.98,88.79,10098200
2019-02-20,99.77,100.22,98.94,99.27,88.16,8947400
2019-02-21,99.09,99.86,98.58,99.77,88.61,7444800
2019-02-22,99.69,100.40,99.40,100.25,89.03,7925400
2019-02-25,100.36,100.44,99.33,99.56,88.42,7436100
2019-02-26,99.83,100.18,99.62,99.83,88.65,7115300
2019-02-27,99.33,99.62,98.81,98.91,87.84,6013600
2019-02-28,98.91,99.19,98.08,98.55,87.52,10575400
2019-03-01,98.61,98.77,97.83,98.44,87.42,7733200
2019-03-04,98.56,98.87,97.87,98.87,87.80,6895300
2019-03-05,98.91,99.68,98.91,99.08,88.00,6274600
2019-03-06,98.86,99.09,98.40,98.93,87.85,4622300
2019-03-07,98.97,99.59,98.25,98.55,87.52,8408600
2019-03-08,98.81,99.18,97.75,98.41,87.39,5144500
2019-03-11,98.79,99.68,98.51,99.58,88.43,7544400
2019-03-12,99.77,100.51,99.73,100.05,88.85,7597500
2019-03-13,99.98,101.58,99.95,101.18,89.85,9883300
2019-03-14,100.94,101.77,100.72,101.31,89.98,8590200
2019-03-15,101.76,102.88,101.73,102.44,90.97,30802700
2019-03-18,102.05,102.29,101.19,101.51,90.14,8442800
2019-03-19,101.91,102.13,101.29,101.90,90.49,7334100
2019-03-20,101.73,102.30,101.05,101.72,90.33,7513800
2019-03-21,101.27,102.91,101.27,102.48,91.01,8221000
2019-03-22,102.48,103.15,99.01,101.66,90.28,11035900
2019-03-25,101.66,102.33,101.26,101.95,90.54,6955500
2019-03-26,102.44,103.48,102.40,103.01,91.49,6909400
2019-03-27,102.76,103.01,102.04,102.90,91.38,6037100
2019-03-28,103.30,103.68,103.11,103.55,91.96,6793700
2019-03-29,103.86,104.15,103.11,104.05,92.40,7535400
2019-04-01,104.23,104.23,103.13,103.63,92.04,6626500
2019-04-02,103.61,104.01,103.26,103.75,92.13,6088800
2019-04-03,103.58,103.88,102.75,103.69,92.08,5226500
2019-04-04,103.48,103.66,102.79,103.43,91.85,4786100
2019-04-05,103.61,103.69,103.16,103.65,92.04,4281800
2019-04-08,103.93,105.13,103.5,104.97,93.22,8468600
2019-04-09,104.55,104.76,104.13,104.66,92.94,5820300
2019-04-10,104.66,105.0,104.23,104.65,92.93,5394300
2019-04-11,104.58,105.05,104.37,104.75,93.02,5078400
2019-04-12,104.75,105.05,104.16,105.05,93.30,6707900
2019-04-15,104.98,105.77,104.79,105.73,93.89,5639200
2019-04-16,105.98,106.5,105.65,106.41,94.50,8136100
2019-04-17,106.26,106.51,105.34,105.84,94.66,6778100
2019-04-18,106.01,106.70,105.83,106.05,94.84,7248900
2019-04-22,106.12,107.19,105.73,106.01,94.81,9057200
2019-04-23,104.01,104.11,102.12,103.16,92.26,15979800
2019-04-24,103.31,104.65,102.79,103.69,92.73,10094800
2019-04-25,103.09,103.56,102.58,103.27,92.36,6085300
2019-04-26,103.94,105.87,103.91,105.86,94.67,7747400
2019-04-29,105.56,105.75,104.72,104.77,93.71,4787600
2019-04-30,104.86,106.62,104.66,106.48,95.23,8251300
2019-05-01,106.15,106.38,104.80,104.93,93.84,6733800
2019-05-02,105.19,105.76,105.05,105.55,94.40,6270300
2019-05-03,105.98,106.41,105.58,106.08,94.87,4793400
2019-05-06,105.12,105.81,105.04,105.68,94.51,4890400
2019-05-07,105.02,105.58,104.09,104.69,93.63,6021700
2019-05-08,104.98,105.76,104.16,105.06,93.96,5392600
2019-05-09,104.66,105.04,103.77,104.23,93.22,6901700
2019-05-10,103.98,106.15,103.91,106.01,94.81,5815800
2019-05-13,105.13,106.58,104.84,106.11,94.89,7575500
2019-05-14,105.76,106.5,105.56,105.59,94.44,7004000
2019-05-15,105.61,107.0,105.5,106.69,95.42,5535600
2019-05-16,106.73,108.68,106.58,108.11,96.68,9284200
2019-05-17,107.26,108.0,107.26,107.44,96.09,6370200
2019-05-20,107.44,108.12,107.13,107.33,95.99,6565300
2019-05-21,107.47,107.54,106.29,106.37,95.13,5226400
2019-05-22,106.08,107.05,105.94,106.72,95.44,4889700
2019-05-23,106.68,107.02,105.88,106.76,95.48,6175600
2019-05-24,107.15,107.44,106.54,106.69,95.41,4372100
2019-05-28,106.69,107.25,104.41,104.45,93.42,7615500
2019-05-29,103.95,104.80,103.69,104.19,93.18,7137300
2019-05-30,104.37,105.37,104.37,105.33,94.20,4729200
2019-05-31,104.88,104.90,102.41,102.91,92.03,10282300
2019-06-03,103.15,103.95,102.40,103.80,92.83,8532900
2019-06-04,104.01,105.09,103.84,104.68,93.62,6906400
2019-06-05,105.23,106.75,104.88,106.73,95.45,6481700
2019-06-06,106.84,107.68,106.33,107.37,96.03,6681600
2019-06-07,107.73,109.37,107.73,108.76,97.27,8063400
2019-06-10,108.31,109.01,107.45,108.72,97.23,4767000
2019-06-11,108.94,109.59,108.87,109.37,97.82,8074400
