Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,245.0,246.35,241.47,243.49,226.72,4063600
2019-01-03,243.47,243.47,236.13,236.85,220.54,4623200
2019-01-04,239.80,243.46,238.80,239.61,223.12,5367600
2019-01-07,240.39,241.97,238.22,240.08,223.55,4133000
2019-01-08,242.33,244.78,239.71,243.28,226.54,3618600
2019-01-09,244.75,246.63,242.05,243.63,226.86,3425400
2019-01-10,242.08,245.13,241.41,244.86,228.01,3374100
2019-01-11,243.44,247.75,243.27,247.66,230.62,3967100
2019-01-14,246.58,249.91,246.11,248.05,230.98,4955500
2019-01-15,250.0,256.92,247.0,256.86,239.18,5325600
2019-01-16,258.73,262.19,258.17,261.45,243.46,6069400
2019-01-17,260.98,261.73,257.89,259.76,241.88,3583600
2019-01-18,262.60,266.26,260.42,265.5,247.22,4844800
2019-01-22,264.05,267.5,263.73,265.69,247.40,4052700
2019-01-23,267.75,269.47,263.67,267.01,248.63,2971100
2019-01-24,266.79,268.16,264.26,266.13,247.81,2927300
2019-01-25,268.79,270.41,265.70,268.04,249.59,2809100
2019-01-28,266.89,266.92,264.60,266.76,248.40,2837300
2019-01-29,266.0,268.45,265.44,267.33,248.93,2173000
2019-01-30,269.69,272.44,267.19,270.36,251.75,3659000
2019-01-31,270.48,271.73,268.98,270.20,251.60,4055100
2019-02-01,268.47,269.39,266.02,268.72,250.22,3946800
2019-02-04,268.30,268.69,264.26,268.20,249.74,3398900
2019-02-05,270.11,272.08,265.83,266.30,247.97,3597000
2019-02-06,265.14,269.92,264.98,269.5,250.94,2570000
2019-02-07,268.64,270.57,267.26,269.0,250.48,2458200
2019-02-08,267.5,268.70,260.32,261.89,243.87,4547000
2019-02-11,261.17,261.17,256.33,257.14,239.43,4856200
2019-02-12,259.22,264.0,256.92,263.5,245.36,4327900
2019-02-13,263.51,266.29,263.14,263.79,245.64,3066400
2019-02-14,263.23,267.07,262.70,265.32,247.06,3015300
2019-02-15,267.79,271.13,266.61,271.13,252.46,3673700
2019-02-19,271.17,272.48,269.27,270.41,251.79,2486700
2019-02-20,269.20,270.58,268.17,269.51,250.95,2802800
2019-02-21,269.47,269.94,265.10,266.39,248.06,2554300
2019-02-22,266.5,268.39,265.95,267.10,248.72,3191100
2019-02-25,267.57,268.17,264.38,264.60,246.38,3679100
2019-02-26,264.66,265.42,262.79,262.98,244.87,3212900
2019-02-27,261.60,261.60,248.94,250.08,232.86,8952900
2019-02-28,249.69,251.94,239.14,242.22,225.54,11034300
2019-03-01,243.55,248.0,243.55,246.14,229.20,6921300
2019-03-04,248.11,248.44,234.50,236.02,219.77,8646300
2019-03-05,236.52,243.19,234.94,241.42,224.81,6924500
2019-03-06,241.74,241.74,237.02,239.07,222.61,4878700
2019-03-07,240.30,241.17,235.55,236.69,220.40,5033500
2019-03-08,235.14,239.41,234.63,237.28,221.79,4921700
2019-03-11,239.21,244.02,236.41,243.14,227.27,4539600
2019-03-12,244.94,247.47,243.74,245.88,229.82,4235800
2019-03-13,247.96,252.75,247.08,252.25,235.78,4881600
2019-03-14,253.0,255.05,252.33,253.27,236.73,3865200
2019-03-15,254.33,254.74,249.94,251.39,234.98,6466200
2019-03-18,252.66,255.30,250.41,255.0,238.35,3927400
2019-03-19,255.94,259.25,255.13,257.13,240.34,4164800
2019-03-20,257.42,257.69,249.97,250.5,234.14,4193500
2019-03-21,249.19,252.96,248.66,252.02,235.56,2699700
2019-03-22,250.57,251.19,246.99,247.08,230.95,3777900
2019-03-25,247.41,247.41,240.77,246.86,230.74,4110900
2019-03-26,247.25,247.88,241.72,243.38,227.50,4416200
2019-03-27,242.94,245.67,238.16,241.71,225.93,4819200
2019-03-28,242.58,242.85,238.88,242.22,226.41,3601500
2019-03-29,244.28,247.75,241.86,247.25,231.11,4294200
2019-04-01,249.71,250.19,243.05,245.53,229.51,4809500
2019-04-02,245.50,246.39,242.80,244.41,228.45,4057100
2019-04-03,246.30,247.53,244.58,245.83,229.79,2851400
2019-04-04,245.47,249.11,244.63,247.38,231.24,2255500
2019-04-05,248.94,249.30,245.16,248.77,232.53,3343000
2019-04-08,249.67,249.67,246.30,248.75,232.51,2195400
2019-04-09,247.57,249.94,245.94,248.78,232.54,2903800
2019-04-10,248.77,249.86,245.52,246.02,229.96,2753700
2019-04-11,246.05,246.91,232.67,235.41,220.05,8223400
2019-04-12,236.5,236.77,220.77,223.22,208.64,13979400
2019-04-15,225.77,230.97,224.41,230.19,215.17,10021800
2019-04-16,238.00,238.00,215.82,220.96,206.53,27361400
2019-04-17,223.78,224.24,208.07,216.83,202.68,22101400
2019-04-18,217.13,223.0,214.21,221.75,207.27,13927200
2019-04-22,224.0,227.55,221.5,227.11,212.28,11191800
2019-04-23,228.25,231.94,226.10,230.58,215.52,10261400
2019-04-24,230.08,231.63,227.75,230.35,215.31,6104100
2019-04-25,228.52,232.11,228.13,230.78,215.72,5954500
2019-04-26,232.13,237.11,231.19,237.0,221.52,6186200
2019-04-29,237.39,238.05,234.16,237.44,221.94,5345300
2019-04-30,238.08,238.08,230.19,233.07,217.85,7632300
2019-05-01,233.07,234.61,230.35,231.94,216.80,4823200
2019-05-02,230.89,233.33,228.08,232.44,217.27,5499200
2019-05-03,232.83,233.89,227.17,231.94,216.80,4323100
2019-05-06,228.16,240.57,227.5,240.5,224.80,7180200
2019-05-07,239.19,243.14,236.39,238.05,222.50,5104700
2019-05-08,238.0,240.80,235.52,239.14,223.53,3768400
2019-05-09,236.60,240.53,235.66,237.97,222.43,4299500
2019-05-10,239.97,242.61,236.36,240.58,224.88,4374400
2019-05-13,236.44,240.10,236.19,239.55,223.91,4684400
2019-05-14,240.63,240.99,236.27,236.42,220.99,5329700
2019-05-15,235.0,237.52,232.61,236.08,220.66,5099700
2019-05-16,235.88,240.44,235.72,236.78,221.33,4456400
2019-05-17,236.16,242.44,235.64,241.38,225.62,4486400
2019-05-20,240.0,246.74,239.77,245.99,229.93,5390800
2019-05-21,247.00,251.17,246.80,249.94,233.62,5345300
2019-05-22,249.10,251.02,248.71,249.33,233.06,4038000
2019-05-23,247.97,248.14,244.38,246.5,230.40,3934600
2019-05-24,247.25,249.36,245.50,247.63,231.46,2973900
2019-05-28,248.5,249.30,241.97,242.05,226.25,6172700
2019-05-29,239.85,243.02,237.89,242.39,226.57,3958400
2019-05-30,241.91,245.35,241.33,243.5,227.60,2646600
2019-05-31,241.94,243.61,239.47,241.80,226.01,3285700
2019-06-03,241.49,243.80,236.02,236.55,221.11,4999400
2019-06-04,238.13,241.05,234.83,240.75,225.04,4992000
2019-06-05,243.16,245.78,241.22,242.77,226.92,3194400
2019-06-06,243.13,243.94,241.72,241.82,226.03,2630100
2019-06-07,242.89,247.07,242.19,246.77,230.66,2837400
2019-06-10,247.08,249.66,245.99,248.13,231.94,2331000
2019-06-11,248.52,250.69,245.72,245.86,229.81,3043000
2019-06-12,246.19,246.5,242.30,244.5,228.53,3251800
2019-06-13,244.82,245.33,243.11,244.96,228.96,3107800
2019-06-14,244.72,246.10,242.78,245.36,230.36,2165500
2019-06-17,246.0,247.10,245.22,245.97,230.93,2270300
2019-06-18,247.5,249.33,245.14,245.69,230.67,3482500
2019-06-19,246.0,251.36,245.50,250.19,234.89,4204600
2019-06-20,251.60,252.82,247.39,247.75,232.61,3800800
2019-06-21,248.77,253.49,246.89,252.27,236.85,6323500
2019-06-24,251.33,252.63,247.86,249.63,234.37,3163800
2019-06-25,249.30,251.03,247.41,247.66,232.51,3182700
2019-06-26,248.0,248.08,243.13,243.47,228.58,3852900
2019-06-27,244.25,248.14,243.16,246.33,231.27,3366200
2019-06-28,246.5,246.75,238.64,244.00,229.09,6727600
2019-07-01,245.94,246.16,240.72,242.63,227.80,4102700
2019-07-02,242.58,243.99,239.53,243.97,229.05,3863500
2019-07-03,244.32,247.52,244.03,245.21,230.21,2559400
2019-07-05,244.38,248.75,244.05,246.99,231.88,2965000
2019-07-08,246.41,247.97,244.88,247.83,232.68,1902500
2019-07-09,244.63,246.08,243.69,246.0,230.95,2774800
2019-07-10,246.82,249.11,245.47,247.47,232.34,2753000
2019-07-11,255.80,261.69,249.05,261.16,245.19,10268800
2019-07-12,261.63,266.51,261.63,265.89,249.64,5336100
2019-07-15,265.05,267.64,264.25,265.95,249.69,2611400
2019-07-16,265.32,267.14,263.19,264.66,248.47,3121600
2019-07-17,264.0,268.69,263.5,266.64,250.34,3995200
2019-07-18,265.64,266.51,257.26,260.60,244.66,5825800
2019-07-19,261.10,262.72,256.39,256.64,240.95,4413200
2019-07-22,258.14,258.95,254.52,255.32,239.70,4104300
2019-07-23,254.47,256.10,252.02,255.00,239.41,2889300
2019-07-24,252.78,252.83,245.13,251.13,235.77,4864000
2019-07-25,251.13,252.75,248.28,248.69,233.49,3362800
2019-07-26,249.02,253.88,246.50,252.94,237.47,3362600
2019-07-29,252.83,255.30,252.33,253.82,238.30,2005500
2019-07-30,252.66,255.05,250.47,254.92,239.34,1908800
2019-07-31,256.32,257.16,248.47,249.00,233.78,3532400
2019-08-01,249.19,251.58,247.27,249.25,234.01,3613600
2019-08-02,249.69,251.57,246.10,250.05,234.76,2677600
2019-08-05,248.13,249.94,242.58,245.05,230.07,5812400
2019-08-06,245.92,248.27,243.57,248.27,233.09,3533000
2019-08-07,246.27,247.03,241.25,246.44,231.38,3205800
2019-08-08,246.19,247.66,243.36,247.61,232.48,2830700
2019-08-09,247.72,250.41,246.13,248.63,233.42,2535000
2019-08-12,246.78,247.96,243.02,243.19,228.33,2667400
2019-08-13,241.67,250.46,241.50,249.22,233.98,2763400
2019-08-14,246.72,248.41,243.00,243.19,228.33,3464300
2019-08-15,244.35,245.25,241.44,244.25,229.31,2513500
2019-08-16,245.38,247.11,244.17,245.69,230.66,2810000
2019-08-19,247.49,248.49,244.08,244.71,229.74,2672300
2019-08-20,244.21,244.60,239.91,240.16,225.47,3201300
2019-08-21,240.19,241.88,239.30,240.35,225.65,2761900
2019-08-22,240.35,240.35,232.66,232.94,218.69,4498200
2019-08-23,232.89,235.10,229.38,230.66,216.55,4826600
2019-08-26,232.52,234.55,230.46,231.08,216.95,2918300
2019-08-27,231.72,232.39,222.60,222.92,209.29,4988100
