Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,67.19,68.45,66.69,68.04,54.25,5528100
2019-01-03,67.80,68.08,66.72,67.33,53.68,5853200
2019-01-04,68.43,70.13,68.0,69.56,55.47,6868600
2019-01-07,69.15,70.54,68.81,69.97,55.79,6192500
2019-01-08,70.51,71.66,70.13,71.37,56.90,6548100
2019-01-09,71.81,72.65,71.52,72.23,57.59,6318000
2019-01-10,72.02,72.75,71.25,72.48,57.79,5130500
2019-01-11,72.59,72.62,71.12,71.70,57.17,5684700
2019-01-14,71.40,71.5,70.34,70.65,56.33,5997700
2019-01-15,70.97,71.98,70.80,71.79,57.24,4260000
2019-01-16,72.01,72.58,71.83,72.0,57.41,3785200
2019-01-17,71.33,72.26,71.29,71.98,57.40,3625500
2019-01-18,72.41,72.87,71.95,72.43,57.75,5539900
2019-01-22,72.12,72.31,71.09,71.58,57.08,5578200
2019-01-23,72.09,72.40,71.01,71.70,57.17,4187700
2019-01-24,71.73,71.80,70.86,71.31,56.86,4153200
2019-01-25,71.91,72.41,71.58,71.88,57.32,5221800
2019-01-28,71.37,71.66,70.47,71.58,57.07,4088300
2019-01-29,71.55,71.80,70.87,71.5,57.01,3367100
2019-01-30,71.41,72.02,71.18,71.61,57.09,4122100
2019-01-31,71.5,72.58,71.5,72.26,57.61,8390800
2019-02-01,72.37,72.55,71.52,71.87,57.31,4642500
2019-02-04,71.83,71.87,70.90,71.45,56.97,5444300
2019-02-05,71.37,71.73,70.83,71.30,56.86,7128600
2019-02-06,71.0,71.70,70.87,71.47,56.98,4336400
2019-02-07,71.15,71.37,70.37,71.19,56.77,4631200
2019-02-08,70.80,70.90,69.52,70.12,55.91,4139400
2019-02-11,70.25,70.54,70.02,70.47,56.19,3482300
2019-02-12,71.16,71.98,70.69,71.55,57.05,3980000
2019-02-13,71.84,72.70,71.75,72.43,57.75,3856900
2019-02-14,71.68,72.44,71.29,72.11,57.84,3855100
2019-02-15,72.91,73.83,72.66,73.43,58.90,4670400
2019-02-19,73.48,74.94,73.40,74.43,59.71,6374600
2019-02-20,72.98,73.26,71.54,71.80,57.60,7882400
2019-02-21,71.62,71.69,70.26,70.47,56.53,4482200
2019-02-22,70.43,70.59,69.81,70.43,56.50,4928700
2019-02-25,70.93,71.66,70.73,71.30,57.20,4308200
2019-02-26,71.51,71.72,70.87,71.48,57.34,3498700
2019-02-27,71.08,71.58,70.88,71.37,57.25,3959900
2019-02-28,71.41,71.87,70.97,71.19,57.11,7775000
2019-03-01,70.84,71.18,66.08,66.61,53.43,10298900
2019-03-04,66.95,67.0,64.29,64.73,51.93,10870500
2019-03-05,64.86,65.05,62.97,63.40,50.86,11956100
2019-03-06,63.52,63.75,60.88,61.09,49.01,15392500
2019-03-07,60.97,61.15,59.56,59.79,47.96,9695800
2019-03-08,59.86,60.81,59.33,59.90,48.05,9909500
2019-03-11,60.18,61.09,59.84,60.68,48.68,5638000
2019-03-12,60.97,61.22,60.68,61.0,48.93,5638400
2019-03-13,61.40,61.97,61.02,61.90,49.65,5720000
2019-03-14,62.02,62.36,61.47,61.81,49.59,5792300
2019-03-15,61.95,62.68,61.70,62.63,50.24,9773500
2019-03-18,62.70,63.09,62.31,63.08,50.60,5296800
2019-03-19,63.45,64.18,63.29,63.77,51.15,5880900
2019-03-20,63.63,63.79,62.52,62.79,50.37,5171700
2019-03-21,62.70,63.81,62.43,63.59,51.02,3795200
2019-03-22,63.63,63.93,62.38,62.40,50.06,4855400
2019-03-25,62.33,62.40,61.34,61.68,49.49,4567200
2019-03-26,61.86,62.77,61.61,61.91,49.67,5582400
2019-03-27,61.70,62.31,61.13,62.22,49.92,5180900
2019-03-28,62.34,63.45,62.29,62.50,50.14,5768300
2019-03-29,62.75,63.75,62.63,63.27,50.75,4993100
2019-04-01,63.54,64.11,63.13,63.49,50.93,6328600
2019-04-02,55.84,56.43,55.0,55.36,44.41,36877800
2019-04-03,55.54,55.70,54.47,54.84,43.99,17901900
2019-04-04,54.81,55.0,53.84,54.15,43.44,14150500
2019-04-05,54.36,55.22,54.29,54.68,43.87,10509500
2019-04-08,54.72,55.40,54.5,55.06,44.17,7121000
2019-04-09,54.77,55.02,54.36,54.5,43.72,8987700
2019-04-10,54.50,54.72,54.36,54.50,43.73,5483200
2019-04-11,54.59,54.79,53.31,53.43,42.87,8194100
2019-04-12,53.77,54.0,53.40,53.45,42.87,7298800
2019-04-15,53.56,54.45,53.56,54.24,43.51,5963500
2019-04-16,54.56,54.95,53.97,54.84,43.99,7912100
2019-04-17,55.0,55.25,54.08,55.13,44.23,10103100
2019-04-18,55.22,55.38,54.58,54.63,43.82,7991300
2019-04-22,54.59,54.91,54.08,54.09,43.40,5445800
2019-04-23,54.31,54.34,53.16,53.22,42.69,8327000
2019-04-24,53.18,53.99,53.18,53.47,42.89,5997200
2019-04-25,53.34,53.41,52.63,52.68,42.26,6641200
2019-04-26,52.72,52.95,52.25,52.84,42.39,7253700
2019-04-29,52.91,53.70,52.77,53.56,42.96,5095200
2019-04-30,53.66,53.86,53.04,53.56,42.97,8175400
2019-05-01,53.56,54.09,53.5,53.68,43.06,5954200
2019-05-02,53.81,53.90,52.97,53.79,43.15,5301800
2019-05-03,54.18,54.33,53.84,54.08,43.38,5517000
2019-05-06,53.72,54.09,53.13,53.91,43.25,5520900
2019-05-07,53.5,53.86,52.66,52.93,42.47,6446200
2019-05-08,52.95,53.84,52.38,53.5,42.91,5347400
2019-05-09,53.24,53.81,52.66,53.56,42.96,4661200
2019-05-10,53.47,53.59,52.52,53.41,42.85,5039100
2019-05-13,52.93,53.09,51.95,52.11,41.81,5670200
2019-05-14,52.22,53.09,52.04,52.58,42.18,5458500
2019-05-15,52.22,52.95,51.79,52.74,42.31,4570200
2019-05-16,53.0,53.43,52.31,52.5,42.11,4722300
2019-05-17,52.22,52.84,51.93,52.27,42.28,4812300
2019-05-20,52.02,52.72,51.86,52.25,42.27,4641700
2019-05-21,52.40,52.84,52.16,52.75,42.68,4267700
2019-05-22,52.77,53.00,52.38,52.93,42.82,3372200
2019-05-23,52.49,52.5,51.36,51.61,41.75,5041400
2019-05-24,51.77,51.84,51.15,51.77,41.88,4296000
2019-05-28,51.84,52.27,51.63,51.72,41.84,6457800
2019-05-29,51.56,51.59,50.79,51.13,41.36,4208800
2019-05-30,51.22,51.29,50.20,50.54,40.89,3844400
2019-05-31,50.29,50.31,49.31,49.34,39.91,6568200
2019-06-03,49.52,50.65,49.52,49.90,40.37,6024200
2019-06-04,50.5,51.63,50.34,51.5,41.66,5978000
2019-06-05,51.83,51.86,50.5,50.79,41.09,4507500
2019-06-06,50.91,51.15,50.38,50.97,41.24,3418200
2019-06-07,51.24,52.09,50.79,51.97,42.04,4217700
2019-06-10,52.09,52.68,51.86,52.29,42.30,3673800
2019-06-11,52.61,53.25,52.56,52.88,42.78,4503900
2019-06-12,52.95,52.95,51.65,52.11,42.16,4213200
2019-06-13,52.40,53.02,52.29,52.88,42.78,3329000
2019-06-14,52.86,53.04,52.13,52.56,42.53,3246300
2019-06-17,52.56,53.15,52.13,52.81,42.72,4108700
2019-06-18,53.27,53.93,52.66,52.79,42.71,5977900
2019-06-19,52.99,53.25,52.50,52.90,42.79,4959100
2019-06-20,52.93,53.50,52.50,52.88,42.78,6157600
2019-06-21,52.77,53.34,52.43,52.45,42.43,13972800
2019-06-24,52.34,52.59,51.77,51.95,42.02,6725500
2019-06-25,51.84,53.47,51.45,52.95,42.83,8535100
2019-06-26,53.06,53.11,52.29,52.38,42.37,5951100
2019-06-27,53.70,55.18,53.5,54.52,44.10,12144500
2019-06-28,54.47,54.79,53.84,54.66,44.22,10395400
2019-07-01,55.36,55.68,54.31,54.65,44.21,5721500
2019-07-02,54.70,55.15,54.18,54.95,44.46,5108100
2019-07-03,55.06,55.5,54.84,55.18,44.64,3990500
2019-07-05,55.11,55.56,54.75,55.18,44.64,4120600
2019-07-08,55.16,55.52,54.88,55.43,44.84,3819600
2019-07-09,55.34,55.77,55.13,55.5,44.90,3517000
2019-07-10,55.77,56.15,55.40,55.56,44.95,5217900
2019-07-11,56.56,56.95,55.29,55.61,44.99,7161300
2019-07-12,56.25,56.25,55.56,55.74,45.09,3826100
2019-07-15,55.95,56.15,55.74,55.88,45.21,3581100
2019-07-16,56.08,56.15,55.68,55.81,45.15,3661100
2019-07-17,55.68,55.79,54.25,54.52,44.10,5185600
2019-07-18,54.29,54.95,53.81,54.81,44.35,4249200
2019-07-19,54.86,55.11,54.36,54.43,44.04,3639600
2019-07-22,54.65,54.65,53.65,53.93,43.63,3944900
2019-07-23,54.13,54.88,53.74,54.65,44.21,4583100
2019-07-24,54.63,55.20,54.25,55.20,44.65,4000500
2019-07-25,55.20,55.25,54.5,54.75,44.30,3071700
2019-07-26,54.86,55.13,54.58,55.04,44.53,3009300
2019-07-29,55.09,55.54,54.97,55.11,44.59,2793100
2019-07-30,54.99,55.65,54.61,55.40,44.81,2774000
2019-07-31,55.27,55.45,53.79,54.49,44.08,6642200
2019-08-01,54.59,55.77,53.90,54.06,43.74,5920900
2019-08-02,54.18,54.34,53.06,53.68,43.42,4524000
2019-08-05,53.47,53.59,51.65,51.86,41.96,6751700
2019-08-06,52.0,52.25,50.79,51.45,41.62,6742300
2019-08-07,51.04,52.61,50.09,52.47,42.45,6258400
2019-08-08,52.65,53.02,52.34,53.02,42.89,3400300
2019-08-09,52.81,53.04,52.33,52.79,42.70,2915900
2019-08-12,52.77,52.88,51.68,52.0,42.06,3729300
2019-08-13,51.93,53.90,51.50,53.06,42.93,5257300
2019-08-14,52.43,52.43,50.36,50.40,40.78,6193600
2019-08-15,50.79,50.81,49.11,49.29,39.87,6285300
2019-08-16,49.63,50.74,49.5,50.47,40.83,4333800
2019-08-19,50.63,51.43,50.61,51.15,41.76,5127600
2019-08-20,51.20,51.52,50.63,50.66,41.36,3312000
2019-08-21,51.04,51.66,50.77,50.90,41.55,2962100
2019-08-22,51.15,51.40,50.66,50.95,41.59,3772700
2019-08-23,50.54,51.02,49.13,49.31,40.26,5945400
2019-08-26,49.97,50.13,49.56,50.04,40.85,3645400
2019-08-27,50.43,50.52,49.34,49.45,40.37,5049500
2019-08-28,49.25,49.99,49.02,49.95,40.78,2610200
