Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,135.23,135.98,134.11,134.95,124.06,606207
2019-01-02,134.95,136.79,134.02,134.30,123.46,1340563
2019-01-03,135.51,135.51,130.72,131.56,120.94,2013710
2019-01-04,132.00,132.40,128.05,130.82,120.26,2185278
2019-01-07,131.35,132.28,128.67,129.26,118.83,1945101
2019-01-08,128.67,130.60,128.08,128.58,118.20,1439964
2019-01-09,128.98,130.01,128.05,128.89,118.49,1273563
2019-01-10,128.89,129.92,127.09,127.58,117.29,1077866
2019-01-11,127.43,131.47,125.69,131.00,120.43,2435782
2019-01-14,131.16,131.78,127.55,128.11,117.77,1643173
2019-01-15,128.67,132.81,128.30,131.69,121.06,3013472
2019-01-16,124.32,135.51,123.23,134.39,123.54,23351551
2019-01-17,133.65,136.07,130.94,132.74,122.03,7488638
2019-01-18,133.37,135.14,131.22,134.36,123.51,3380910
2019-01-21,133.99,137.50,133.52,135.67,124.71,4172959
2019-01-22,135.85,136.44,132.87,134.61,123.74,3698024
2019-01-23,133.65,136.63,131.94,134.67,123.80,7011293
2019-01-24,135.0,155.0,123.09,128.94,118.54,35704029
2019-01-25,126.0,128.69,103.40,112.40,103.32,17465748
2019-01-28,112.0,117.65,106.5,111.75,102.72,11058081
2019-01-29,110.59,116.40,110.0,114.94,105.67,5056042
2019-01-30,115.30,116.59,112.59,115.34,106.03,3365805
2019-01-31,115.5,116.0,109.5,114.30,105.07,3635838
2019-02-01,114.25,116.0,112.75,114.55,105.30,1785983
2019-02-04,115.0,115.0,111.34,113.75,104.56,1146840
2019-02-05,113.75,113.90,110.5,112.69,103.60,1371634
2019-02-06,113.34,116.84,111.15,115.15,105.85,1689383
2019-02-07,114.5,116.0,112.55,114.5,105.25,1295166
2019-02-08,113.59,115.44,112.15,114.15,104.93,1301812
2019-02-11,114.19,114.84,110.84,112.34,103.28,1182409
2019-02-12,112.0,114.25,109.59,113.0,103.87,1593244
2019-02-14,112.19,113.55,110.80,112.90,103.78,1275147
2019-02-15,112.80,113.0,106.94,108.90,100.10,1736917
2019-02-18,108.34,108.40,92.59,101.34,93.16,26870013
2019-02-19,100.5,104.59,98.84,99.80,91.74,7623140
2019-02-20,100.65,110.34,99.69,108.40,99.64,7647079
2019-02-21,108.69,111.0,107.0,108.19,99.46,4366009
2019-02-22,108.0,110.40,106.80,107.75,99.05,2151738
