Date,Open,High,Low,Close,Adj Close,Volume
2021-12-31,220.19,259.60,215.10,238.19,234.17,49060201
2022-01-03,243.0,256.5,238.39,240.30,236.23,7316080
2022-01-04,240.5,242.75,232.25,234.05,230.09,2882616
2022-01-05,234.0,250.69,229.55,240.0,235.94,5332766
2022-01-06,236.89,260.0,235.0,256.25,251.91,9022865
2022-01-07,260.0,283.0,258.89,275.14,270.49,13131868
2022-01-10,279.0,284.89,275.5,277.54,272.85,4004261
2022-01-11,279.75,289.20,273.14,275.70,271.03,3439252
2022-01-12,279.14,284.79,274.14,276.20,271.53,1337725
2022-01-13,278.0,289.85,275.5,281.0,276.24,3523028
2022-01-14,281.04,299.0,281.04,295.14,290.16,5968029
2022-01-17,298.39,317.45,297.95,311.39,306.13,5818653
2022-01-18,314.5,317.0,292.14,296.04,291.04,2942867
2022-01-19,297.0,304.45,290.5,297.39,292.37,2068891
2022-01-20,298.89,308.85,297.85,301.54,296.45,2026981
2022-01-21,298.0,303.70,261.79,275.85,271.18,2885794
2022-01-24,280.0,284.60,249.60,257.20,252.85,2657091
2022-01-25,255.0,274.29,242.64,272.0,267.40,2617037
2022-01-27,265.0,284.20,264.04,274.10,269.46,1860030
2022-01-28,273.0,283.64,261.0,263.45,258.99,1456079
2022-01-31,269.75,273.79,254.30,256.0,251.67,931819
2022-02-01,258.0,271.85,254.39,267.85,263.32,1589073
2022-02-02,271.0,274.29,262.0,264.5,260.02,1046141
2022-02-03,265.89,270.5,263.79,265.29,260.81,1003383
2022-02-04,265.70,274.75,265.70,273.25,268.63,1093712
2022-02-07,283.0,284.0,271.0,281.10,276.34,2388345
2022-02-08,281.89,283.79,267.5,269.95,265.38,1108955
2022-02-09,270.20,274.75,265.29,268.45,263.91,762663
2022-02-10,272.0,276.79,265.75,268.10,263.56,982775
2022-02-11,264.0,268.10,258.10,259.04,254.67,638116
2022-02-14,246.0,258.0,243.44,250.35,246.11,1318955
2022-02-15,251.0,256.79,246.25,253.0,248.72,823958
2022-02-16,254.75,264.0,254.69,260.0,255.60,983030
2022-02-17,261.75,264.79,251.0,252.69,248.42,667183
2022-02-18,252.69,254.0,243.5,244.85,240.71,592483
2022-02-21,242.05,246.69,235.0,240.80,236.72,914048
2022-02-22,231.05,245.30,231.05,240.5,236.43,1153671
2022-02-23,244.39,251.44,240.64,242.60,238.49,1277028
2022-02-24,232.55,236.5,225.10,228.0,224.14,1242007
2022-02-25,231.0,242.30,231.0,237.55,233.53,775801
2022-02-28,236.0,240.5,232.0,235.55,231.56,584097
2022-03-02,234.0,239.05,231.0,235.85,231.86,384360
