Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,481.0,482.5,476.42,479.92,417.06,717468
2019-01-02,479.5,481.0,469.57,473.17,411.19,2270096
2019-01-03,475.0,480.0,472.5,474.17,412.06,2809224
2019-01-04,473.0,475.27,462.5,466.17,405.11,3077278
2019-01-07,469.95,475.0,467.95,470.77,409.11,2344752
2019-01-08,474.0,474.0,466.54,472.57,410.67,3031576
2019-01-09,473.5,474.27,466.14,469.20,407.74,2471720
2019-01-10,471.5,471.5,466.0,467.92,406.63,1832096
2019-01-11,467.5,470.5,460.0,470.02,408.46,4331368
2019-01-14,470.5,472.0,464.0,468.60,407.22,1956808
2019-01-15,464.5,477.95,464.5,473.85,411.78,3693892
2019-01-16,474.0,477.10,468.37,469.12,407.67,1701242
2019-01-17,467.54,478.5,466.54,477.35,414.82,3690234
2019-01-18,474.29,484.37,473.17,483.14,419.86,4685056
2019-01-21,484.52,490.75,481.02,482.87,419.62,3265418
2019-01-22,481.0,482.27,468.5,470.37,408.76,4791592
2019-01-23,473.75,474.97,469.35,472.22,410.37,5641586
2019-01-24,472.45,476.85,469.62,473.22,411.24,2954782
2019-01-25,474.5,487.85,473.04,484.70,421.21,4310008
2019-01-28,486.5,490.0,481.95,488.89,424.86,3029930
2019-01-29,489.0,497.42,480.54,494.22,429.49,4733138
2019-01-30,509.0,517.5,500.75,509.20,442.50,14053348
2019-01-31,509.79,511.57,493.37,502.60,436.77,9058428
2019-02-01,505.29,525.0,505.25,521.92,453.56,6460222
2019-02-04,522.5,528.90,520.15,522.40,453.97,4133944
2019-02-05,523.25,527.5,520.75,523.87,456.13,2368564
2019-02-06,525.5,532.47,522.54,527.59,459.37,2331000
2019-02-07,528.0,538.90,528.0,531.45,462.72,3251088
2019-02-08,530.0,538.0,529.02,534.22,465.14,3733802
2019-02-11,534.04,542.0,531.5,539.67,469.88,3157886
2019-02-12,538.0,539.20,526.37,529.40,460.94,2788882
2019-02-14,535.0,535.0,528.52,530.65,462.03,1970720
2019-02-15,533.09,533.67,520.75,528.62,460.26,2492120
2019-02-18,530.40,536.0,516.25,523.15,455.50,2550698
2019-02-19,524.0,525.59,518.17,519.52,452.34,1837440
2019-02-20,521.17,530.75,513.0,528.97,460.57,2558354
2019-02-21,530.0,530.75,521.29,526.70,458.59,2603154
2019-02-22,522.09,535.25,522.0,533.07,464.14,2844492
2019-02-25,535.29,542.5,531.47,541.12,471.15,2340940
2019-02-26,540.29,547.97,527.47,529.42,460.96,3726370
2019-02-27,530.0,533.0,519.0,530.17,461.61,3325110
2019-02-28,534.97,534.97,523.84,526.95,458.80,6661660
2019-03-01,527.5,530.70,521.87,526.29,458.24,2295910
2019-03-05,528.84,529.90,522.59,526.27,458.22,2117558
2019-03-06,530.29,531.0,519.29,521.62,454.17,2807252
2019-03-07,523.79,525.25,516.0,517.27,450.38,2073614
2019-03-08,514.70,514.97,503.0,504.52,439.28,3176094
2019-03-11,503.5,510.87,500.5,502.20,437.25,4547588
2019-03-12,503.54,509.75,500.02,506.67,441.15,4902188
2019-03-13,509.35,521.5,507.04,514.17,447.68,6803340
2019-03-14,517.5,520.27,502.04,503.37,438.28,3793832
2019-03-15,506.0,516.92,504.39,514.65,448.09,5207688
2019-03-18,516.04,519.97,505.95,506.62,441.11,1690728
2019-03-19,510.04,521.0,506.54,518.09,451.10,3242552
2019-03-20,521.0,527.25,515.75,518.97,451.86,4408802
2019-03-22,519.0,524.0,509.0,512.42,446.16,5237090
2019-03-25,514.5,514.5,505.92,508.82,443.02,3055910
2019-03-26,506.67,521.90,505.75,517.29,450.40,3311446
2019-03-27,510.0,528.17,510.0,521.57,454.12,2911690
2019-03-28,525.70,544.17,525.0,541.45,471.43,8627614
2019-04-01,545.0,560.0,541.02,555.37,483.55,4617730
2019-04-02,555.0,560.0,546.25,551.29,480.01,2787844
2019-04-03,551.29,566.65,545.77,560.29,487.84,5296628
2019-04-04,559.0,559.02,540.75,549.02,478.02,8444208
2019-04-05,545.17,552.32,542.75,546.40,475.74,3409044
2019-04-08,547.5,550.5,540.47,548.17,477.28,4027848
2019-04-09,548.17,564.42,548.09,559.07,486.77,6500982
2019-04-10,560.0,562.65,548.09,549.34,478.31,4826866
2019-04-11,546.15,550.54,542.5,544.42,474.02,3035580
2019-04-12,544.40,550.42,538.29,541.72,471.67,2839484
2019-04-15,544.5,554.0,542.5,551.62,480.29,3868302
2019-04-16,554.75,558.12,551.17,553.52,481.94,2401182
2019-04-18,554.0,561.95,545.25,551.32,480.03,4055238
2019-04-22,551.75,557.15,547.5,550.54,479.35,2230516
2019-04-23,551.29,555.97,548.29,551.0,479.74,2135528
2019-04-24,551.5,571.04,548.42,569.47,495.83,5681646
2019-04-25,570.5,575.70,564.52,566.84,493.54,5361098
2019-04-26,570.0,584.92,567.5,569.87,496.18,3465934
2019-04-30,570.02,593.79,570.0,591.67,515.16,8310400
2019-05-02,585.0,590.25,578.25,580.02,505.02,4226194
2019-05-03,572.0,574.57,563.12,571.52,497.61,5710316
2019-05-06,569.95,572.20,564.02,568.02,494.57,2827130
2019-05-07,568.67,575.0,558.0,565.87,492.70,4689204
2019-05-08,566.0,570.0,561.20,566.29,493.07,2987822
2019-05-09,562.25,572.5,555.04,568.29,494.81,4962690
2019-05-10,555.5,555.5,536.40,543.32,473.06,15535450
2019-05-13,544.15,550.37,539.0,541.82,471.76,3368062
2019-05-14,541.82,541.82,528.5,533.92,464.88,4388014
2019-05-15,536.47,543.25,531.42,533.72,464.70,3240598
2019-05-16,539.95,540.22,528.02,536.12,467.67,2226902
2019-05-17,537.52,538.5,529.87,531.34,463.50,2780046
2019-05-20,532.5,541.90,525.62,536.77,468.24,2380474
2019-05-21,535.70,537.0,526.32,528.04,460.62,1613426
2019-05-22,528.5,537.5,526.84,530.5,462.76,3424864
2019-05-23,532.0,535.5,525.12,533.20,465.12,3884200
2019-05-24,535.5,537.0,527.04,532.97,464.92,4340468
2019-05-27,536.0,540.5,529.09,532.09,464.16,3164414
2019-05-28,535.5,544.97,527.62,535.65,467.25,10631688
2019-05-29,535.70,547.5,534.09,542.5,473.23,4354812
2019-05-30,544.0,549.17,534.0,539.09,470.26,4745448
2019-05-31,542.5,549.70,540.02,546.27,476.52,4255094
2019-06-03,549.42,559.5,543.57,557.59,486.40,3400394
2019-06-04,556.20,556.70,540.5,542.92,473.60,4128970
2019-06-06,545.0,550.57,537.77,539.59,470.70,4701806
2019-06-07,541.5,543.59,535.62,539.79,470.87,3272806
2019-06-10,543.45,550.90,540.70,545.59,475.93,2056008
2019-06-11,550.0,558.47,546.95,553.95,483.22,6485078
2019-06-12,553.5,555.0,545.65,554.04,483.31,3136202
2019-06-13,551.5,553.04,546.5,550.45,480.16,3951850
2019-06-14,546.54,551.17,542.0,543.5,474.10,3467872
2019-06-17,542.0,543.84,535.75,537.45,468.82,2487348
2019-06-18,537.45,547.07,537.32,544.79,475.24,1412162
2019-06-19,545.04,548.29,538.90,542.04,472.84,2437878
2019-06-20,535.0,545.5,532.82,543.67,474.25,1895088
2019-06-21,546.25,546.32,535.57,538.12,469.41,4695110
2019-06-24,539.5,542.02,534.04,538.95,470.13,1350104
2019-06-25,538.95,540.54,530.07,539.5,470.61,2203934
2019-06-26,536.09,546.32,536.09,539.37,470.50,3277734
2019-06-27,537.15,542.02,529.97,531.37,463.53,2776050
2019-06-28,535.34,537.97,529.34,532.32,464.35,2829874
2019-07-01,533.62,534.95,523.67,524.54,457.57,2467696
2019-07-02,526.5,532.32,521.5,530.0,462.33,2014050
2019-07-03,530.5,532.37,523.79,525.59,458.49,1213340
2019-07-04,524.34,525.59,516.90,520.37,453.93,2553038
2019-07-05,521.95,524.5,506.32,508.20,443.31,2514352
2019-07-08,505.5,522.90,505.02,519.52,453.19,4008224
2019-07-09,516.72,523.90,504.0,510.37,445.21,3205934
2019-07-10,507.0,517.5,506.54,509.45,444.40,1731600
2019-07-11,513.90,513.90,507.52,510.39,445.23,1550706
2019-07-12,508.02,514.84,504.5,511.95,446.58,2903286
2019-07-15,517.22,519.0,510.0,513.75,448.15,2633206
2019-07-16,515.95,516.07,506.72,509.82,444.73,3450502
2019-07-17,512.20,521.5,510.45,520.37,453.93,2291110
2019-07-18,516.70,518.5,508.0,509.27,444.25,2608300
2019-07-19,512.0,515.40,504.60,507.79,442.96,2139624
