Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,660.95,666.29,654.15,665.04,580.04,2943390
2019-01-02,666.0,674.0,662.04,669.04,583.53,7416655
2019-01-03,672.0,677.0,663.09,669.15,583.61,6827249
2019-01-04,671.75,673.90,651.0,661.04,576.55,7889310
2019-01-07,665.0,673.59,661.5,671.70,585.84,8046340
2019-01-08,674.95,677.45,668.54,670.04,584.40,8621545
2019-01-09,686.20,689.79,664.0,676.09,589.68,18130292
2019-01-10,681.59,682.0,672.54,679.70,592.82,9572493
2019-01-11,680.20,685.5,672.5,683.5,596.13,12281903
2019-01-14,707.0,710.20,695.95,701.90,612.18,19312937
2019-01-15,707.20,730.0,707.20,726.59,633.72,19671304
2019-01-16,729.90,737.79,728.5,736.79,642.62,9658944
2019-01-17,735.79,739.0,729.09,733.34,639.61,6903771
2019-01-18,730.0,736.20,726.29,730.95,637.51,5902151
2019-01-21,738.20,751.0,734.0,745.0,649.77,8129422
2019-01-22,741.25,749.0,734.0,745.34,650.07,6723375
2019-01-23,742.34,742.59,729.20,731.65,638.13,7212099
2019-01-24,728.09,736.09,721.0,732.0,641.94,7429783
2019-01-25,728.0,737.90,724.25,730.34,640.49,5543112
2019-01-28,731.0,732.59,719.0,727.95,638.39,7944693
2019-01-29,725.5,732.84,716.5,727.90,638.34,6760819
2019-01-30,727.90,734.79,721.09,725.90,636.59,5763026
2019-01-31,726.0,751.29,726.0,749.54,657.33,13825233
2019-02-01,751.34,762.5,744.5,757.04,663.91,6276585
2019-02-04,757.0,762.5,749.20,755.90,662.90,3945391
2019-02-05,747.0,759.95,747.0,754.84,661.98,4694366
2019-02-06,755.54,766.95,754.34,763.29,669.39,5880482
2019-02-07,763.04,769.45,761.0,764.0,670.00,3961797
2019-02-08,760.0,772.25,754.90,760.90,667.28,5915169
2019-02-11,766.90,768.75,759.0,762.79,668.95,5500216
2019-02-12,760.34,760.34,741.0,750.45,658.12,7310690
2019-02-14,751.0,753.0,737.25,740.04,649.00,4610535
2019-02-15,742.29,746.5,732.59,741.95,650.67,5586389
2019-02-18,742.34,747.65,736.0,741.04,649.88,5346825
2019-02-19,739.09,740.54,721.29,724.29,635.19,9401334
2019-02-20,727.0,743.0,726.04,740.70,649.57,5210675
2019-02-21,738.0,738.0,727.09,733.45,643.21,7202786
2019-02-22,732.5,738.20,728.0,734.95,644.53,3750833
2019-02-25,735.54,758.0,735.54,754.90,662.02,6547552
2019-02-26,748.59,752.59,740.15,742.5,651.15,8319610
2019-02-27,745.0,746.40,732.75,735.25,644.79,5936354
2019-02-28,738.70,742.40,732.29,734.29,643.96,8559921
2019-03-01,735.5,743.40,735.5,741.90,650.62,3998826
2019-03-05,740.5,742.5,730.25,732.5,642.38,4826505
2019-03-06,736.09,736.09,727.0,732.5,642.38,6076668
2019-03-07,734.0,734.5,720.54,722.95,634.00,5951551
2019-03-08,722.95,722.95,710.65,712.34,624.71,7193994
2019-03-11,713.29,718.5,709.40,711.25,623.74,9932198
2019-03-12,709.0,714.95,705.59,706.95,619.97,11997387
2019-03-13,710.0,718.59,706.29,708.45,621.29,11348867
2019-03-14,714.0,714.90,706.20,708.34,621.20,6415187
2019-03-15,712.0,723.75,709.59,718.54,630.14,14638664
2019-03-18,721.54,723.70,705.34,710.20,622.82,8065544
2019-03-19,712.79,726.5,707.40,722.25,633.39,8917337
2019-03-20,727.25,742.29,727.15,738.95,648.03,13471173
2019-03-22,745.0,746.34,732.29,743.09,651.67,8883260
2019-03-25,742.40,742.40,730.54,735.25,644.79,7644966
2019-03-26,735.25,735.25,719.09,727.75,638.21,9406261
2019-03-27,730.0,732.29,727.15,729.70,639.92,7387487
2019-03-28,730.0,745.0,730.0,737.79,647.03,9277241
2019-04-01,742.0,760.0,742.0,755.09,662.20,6584982
2019-04-02,759.0,765.79,754.59,759.40,665.97,7283600
2019-04-03,756.0,758.5,746.79,753.29,660.62,6897127
2019-04-04,751.40,753.79,745.09,747.90,655.88,7688525
2019-04-05,750.90,760.95,748.0,759.29,665.88,6276040
2019-04-08,763.04,770.0,755.40,767.25,672.85,4919911
2019-04-09,770.0,773.0,758.20,760.59,667.02,6730692
2019-04-10,764.0,766.70,751.29,752.70,660.09,7031088
2019-04-11,751.75,751.75,740.04,742.70,651.32,8200995
2019-04-12,743.09,751.54,740.59,747.75,655.75,7043212
2019-04-15,724.70,731.34,712.59,727.5,637.99,31574803
2019-04-16,727.90,727.90,714.09,724.09,635.01,12524411
2019-04-18,722.5,722.5,712.75,717.04,628.83,13801105
2019-04-22,717.04,725.75,715.0,721.04,632.34,6455426
2019-04-23,723.90,730.0,718.40,728.20,638.61,5516668
2019-04-24,728.20,737.90,724.0,736.45,645.84,8285120
2019-04-25,736.45,737.65,727.04,728.54,638.91,8005235
2019-04-26,731.0,739.79,729.0,738.0,647.20,6895168
2019-04-30,738.0,753.79,738.0,751.34,658.91,9920046
2019-05-02,747.0,748.40,729.5,730.79,640.89,6351352
2019-05-03,722.90,731.0,718.20,723.59,634.57,6348116
2019-05-06,715.0,721.79,710.65,718.40,630.01,8858265
2019-05-07,720.40,727.90,718.70,724.54,635.41,5747536
2019-05-08,721.0,726.0,716.5,719.34,630.85,6247642
2019-05-09,719.15,730.29,715.79,721.04,632.34,7396525
2019-05-10,720.79,726.0,715.0,716.84,628.65,8352335
2019-05-13,716.54,726.45,712.09,719.70,631.15,6808993
2019-05-14,716.5,717.75,703.59,713.84,626.02,10513001
