Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,99.0,103.94,94.05,103.94,100.19,1066838
2019-04-23,109.09,109.09,105.55,109.09,105.16,746528
2019-04-24,107.0,114.55,107.0,114.55,110.41,233998
2019-04-25,116.0,118.30,110.0,111.15,107.13,941577
2019-04-26,106.09,111.0,106.09,108.65,104.72,1886188
2019-04-30,106.19,108.5,103.25,103.25,99.52,273582
2019-05-02,103.0,103.0,98.09,100.19,96.58,1542833
2019-05-03,102.5,102.5,96.25,100.65,97.01,718227
2019-05-06,96.80,102.80,96.80,98.30,94.75,474708
2019-05-07,98.30,99.69,94.0,96.94,93.44,468706
2019-05-08,94.09,97.19,91.09,96.0,92.53,897791
2019-05-09,95.0,99.84,93.55,97.05,93.54,711118
2019-05-10,96.15,100.55,96.0,99.69,96.10,215851
2019-05-13,97.15,99.40,97.0,97.69,94.17,115680
2019-05-14,95.15,98.5,91.80,97.90,94.36,545794
2019-05-15,96.5,99.44,96.0,97.84,94.31,191792
2019-05-16,97.40,98.69,96.05,97.30,93.78,704340
2019-05-17,96.5,105.0,95.69,97.65,94.12,424897
2019-05-20,98.19,100.69,97.19,98.69,95.13,150333
2019-05-21,98.0,99.94,97.5,98.55,94.99,567578
2019-05-22,98.05,103.0,97.55,101.15,97.49,176780
2019-05-23,102.90,103.30,99.55,99.94,96.34,69621
2019-05-24,101.0,101.0,92.30,97.59,94.07,803107
2019-05-27,98.0,100.0,94.40,99.34,95.76,99551
2019-05-28,103.0,103.0,93.80,96.94,93.44,623443
2019-05-29,97.75,97.75,94.0,95.94,92.48,265737
2019-05-30,95.5,97.94,95.09,97.19,93.69,264681
2019-05-31,96.34,99.0,94.09,97.05,93.54,339424
2019-06-03,95.09,97.5,94.05,96.25,92.77,481984
2019-06-04,96.0,96.0,94.69,95.05,91.61,201750
2019-06-06,94.5,96.0,91.84,95.44,92.00,217297
2019-06-07,94.05,95.25,92.69,95.0,91.57,231074
2019-06-10,94.19,95.09,93.09,94.25,90.84,243762
2019-06-11,93.5,99.0,92.69,98.30,94.75,1273790
2019-06-12,99.75,99.75,96.40,98.05,94.50,3216731
2019-06-13,97.15,100.5,96.59,99.15,95.57,217923
2019-06-14,100.25,100.25,96.5,96.84,93.35,242232
2019-06-17,95.75,98.25,95.69,97.05,93.54,173839
2019-06-18,97.15,99.0,96.15,97.90,94.36,249303
2019-06-19,97.05,98.90,92.05,93.94,90.55,410885
2019-06-20,94.05,99.5,93.05,98.19,94.65,116647
2019-06-21,97.0,98.90,94.55,96.44,92.96,221737
2019-06-24,96.0,99.69,94.69,98.59,95.04,297292
2019-06-25,96.69,99.90,96.69,99.19,95.61,199458
2019-06-26,97.15,99.25,95.5,96.59,93.11,262917
2019-06-27,95.84,97.05,94.09,95.75,92.29,155954
2019-06-28,94.19,98.0,94.19,96.75,93.25,260974
