Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,1019.0,1020.0,999.09,1005.59,867.86,114361
2019-01-02,1004.5,1009.75,988.0,989.40,853.88,152577
2019-01-03,989.0,999.0,945.0,948.79,818.84,561410
2019-01-04,948.95,958.70,916.0,930.45,803.01,466413
2019-01-07,940.0,944.0,920.0,925.29,798.56,203261
2019-01-08,924.0,930.04,920.59,924.79,798.13,187824
2019-01-09,925.0,927.95,896.45,904.95,781.00,389089
2019-01-10,904.0,917.09,890.0,903.54,779.79,375233
2019-01-11,900.0,905.04,886.0,899.15,775.99,246122
2019-01-14,896.0,909.45,859.59,876.45,756.40,431765
2019-01-15,873.5,887.84,869.15,876.45,756.40,168134
2019-01-16,880.0,884.75,858.0,863.20,744.97,271073
2019-01-17,867.70,905.25,864.59,900.70,777.33,537130
2019-01-18,901.04,909.79,861.25,871.59,752.22,322628
2019-01-21,868.0,879.90,861.34,877.04,756.92,213991
2019-01-22,875.5,875.5,863.09,871.20,751.87,185590
2019-01-23,868.09,904.5,868.09,897.95,774.96,442978
2019-01-24,899.95,925.0,899.0,921.25,795.07,522968
2019-01-25,922.0,934.90,901.0,920.90,794.76,561635
2019-01-28,915.0,945.90,901.0,940.95,812.07,326801
2019-01-29,935.0,979.0,935.0,972.79,839.56,580973
2019-01-30,980.0,1016.0,978.0,1011.20,872.70,872640
2019-01-31,1010.90,1027.69,981.15,1002.65,865.32,631600
2019-02-01,997.04,1023.90,994.5,1009.75,871.44,236768
2019-02-04,1014.0,1024.80,1000.20,1016.54,877.31,124350
2019-02-05,1020.0,1041.80,1004.15,1017.75,878.35,436062
2019-02-06,1022.0,1042.0,1015.0,1026.34,885.77,232767
2019-02-07,1029.90,1030.0,1010.04,1022.90,882.79,126029
2019-02-08,1012.09,1028.0,1012.09,1019.75,880.08,131556
2019-02-11,1019.75,1024.0,987.34,996.65,860.14,240162
2019-02-12,996.70,1024.94,992.25,1021.25,881.37,167643
2019-02-14,1032.59,1051.0,1029.34,1048.65,905.02,289882
2019-02-15,1050.0,1063.0,1040.0,1053.75,909.42,332370
2019-02-18,1044.0,1051.84,1033.25,1041.19,898.59,114685
2019-02-19,1035.15,1052.69,1034.90,1044.44,901.39,102717
2019-02-20,1044.0,1046.80,1030.09,1041.25,898.63,378680
2019-02-21,1035.94,1041.19,1014.25,1019.25,879.64,129640
2019-02-22,1013.09,1024.44,992.0,1016.20,877.01,291798
2019-02-25,1013.25,1032.0,1006.04,1022.79,882.71,168525
2019-02-26,1013.0,1034.5,1003.75,1027.34,886.63,91221
2019-02-27,1023.20,1045.0,1006.54,1038.09,895.91,171124
2019-02-28,1045.0,1059.90,1020.95,1041.19,898.59,184948
2019-03-01,1043.55,1049.5,1026.0,1033.25,891.73,78111
2019-03-05,1027.90,1027.90,1005.5,1009.95,871.62,377949
2019-03-06,1012.25,1016.95,979.0,990.95,855.22,247656
2019-03-07,989.95,1003.04,972.54,996.59,860.10,186591
2019-03-08,995.0,999.0,976.5,980.75,846.42,440620
2019-03-11,976.09,1002.90,973.54,993.29,857.25,268768
2019-03-12,1000.0,1001.95,983.0,990.75,855.05,282350
2019-03-13,983.0,988.0,971.90,975.70,842.06,99694
2019-03-14,982.45,982.45,957.0,958.5,827.21,265217
2019-03-15,960.0,993.90,954.40,987.65,852.37,311800
2019-03-18,992.90,1005.65,968.0,970.45,837.53,166565
2019-03-19,975.40,990.95,961.0,978.59,844.56,256597
2019-03-20,982.04,993.0,980.0,986.70,851.55,217489
2019-03-22,979.70,1001.0,936.45,975.84,842.19,285338
2019-03-25,975.84,975.84,946.0,950.20,820.05,166240
2019-03-26,952.0,961.95,940.09,952.65,822.17,142163
