Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,296.79,300.0,292.04,294.70,279.01,17070
2019-01-02,294.89,303.60,291.29,297.79,281.95,250082
2019-01-03,297.85,314.0,297.85,302.25,286.16,89103
2019-01-04,303.10,312.0,300.5,302.64,286.54,16699
2019-01-07,303.5,311.85,302.85,306.0,289.71,34387
2019-01-08,298.70,309.70,298.70,305.04,288.81,17394
2019-01-09,306.10,309.0,297.35,300.20,284.22,42175
2019-01-10,295.0,308.70,295.0,305.89,289.62,54621
2019-01-11,304.39,309.45,301.0,303.20,287.06,10430
2019-01-14,304.60,306.39,300.85,302.10,286.02,11914
2019-01-15,302.79,308.0,302.20,303.5,287.34,31704
2019-01-16,306.60,310.0,301.70,304.79,288.58,20805
2019-01-17,303.60,308.0,302.14,302.79,286.68,16554
2019-01-18,303.64,307.70,297.54,301.79,285.73,10405
2019-01-21,301.79,306.04,300.0,301.35,285.31,11628
2019-01-22,296.25,303.85,295.60,301.10,285.07,14621
2019-01-23,301.20,304.75,300.29,301.20,285.17,13440
2019-01-24,301.20,310.0,286.25,293.04,277.45,42828
2019-01-25,297.0,307.70,292.85,296.70,280.91,37657
2019-01-28,302.79,302.79,289.64,293.35,277.73,19590
2019-01-29,287.14,291.89,285.0,289.0,273.62,23012
2019-01-30,292.45,297.85,281.25,284.60,269.45,22844
2019-01-31,283.54,288.54,275.14,279.64,264.76,33171
2019-02-01,278.45,289.85,278.45,285.54,270.35,19114
2019-02-04,290.0,290.0,278.60,287.25,271.96,16989
2019-02-05,286.75,294.79,282.64,293.60,277.97,16569
2019-02-06,295.0,302.5,290.0,297.95,282.09,19915
2019-02-07,297.95,301.95,295.14,300.10,284.13,28533
2019-02-08,301.5,304.79,294.85,302.45,286.35,31502
2019-02-11,242.19,302.60,242.19,301.35,285.31,62430
2019-02-12,297.85,304.79,296.60,299.10,283.18,7078
2019-02-14,296.20,298.39,286.25,296.0,280.24,39633
2019-02-15,292.04,298.95,290.29,292.60,277.02,21398
2019-02-18,293.10,296.0,290.0,295.39,279.68,22785
2019-02-19,294.95,296.5,293.20,295.25,279.53,11249
2019-02-20,297.85,299.89,292.45,296.25,280.48,20509
2019-02-21,296.25,299.79,293.0,298.79,282.89,13059
2019-02-22,296.0,300.0,294.60,296.85,281.05,25547
2019-02-25,292.0,309.0,292.0,301.89,285.83,39280
2019-02-26,302.95,303.0,293.89,300.14,284.17,17440
2019-02-27,300.20,304.89,297.29,300.10,284.13,24613
2019-02-28,301.54,306.39,292.25,296.64,280.86,11291
2019-03-01,299.39,302.39,298.25,300.95,284.93,4345
2019-03-05,297.04,305.89,297.04,303.04,286.92,19382
2019-03-06,306.29,313.79,304.5,308.10,291.70,43994
2019-03-07,311.0,311.0,305.0,308.10,291.70,13747
2019-03-08,304.5,312.0,304.5,305.14,288.91,15599
2019-03-11,309.0,309.0,303.39,304.95,288.72,17344
2019-03-12,306.60,308.0,304.89,305.85,289.57,12614
2019-03-13,307.20,308.85,305.0,305.95,289.66,29865
2019-03-14,308.79,308.89,302.85,305.14,288.91,13555
2019-03-15,305.04,308.0,291.04,295.04,279.34,20200
2019-03-18,297.0,299.5,291.79,292.75,277.17,8649
2019-03-19,292.45,299.89,285.60,294.20,278.54,15317
2019-03-20,306.0,334.0,303.39,325.14,307.84,838073
2019-03-22,323.89,325.0,306.0,309.25,292.79,131520
2019-03-25,303.54,327.95,302.04,317.29,300.41,160347
2019-03-26,318.89,324.0,311.10,314.95,298.19,70043
2019-03-27,315.39,318.79,311.0,317.25,300.36,59202
2019-03-28,318.0,326.79,315.45,321.20,304.10,43578
2019-04-01,328.64,339.29,328.64,332.10,314.42,46352
