Date,Open,High,Low,Close,Adj Close,Volume
2021-12-17,360.0,383.0,333.85,340.04,340.04,18246530
2021-12-20,320.0,359.79,313.14,335.14,335.14,5054723
2021-12-21,338.35,374.85,338.35,364.39,364.39,3952930
2021-12-22,361.85,401.85,361.45,396.95,396.95,4429807
2021-12-23,403.0,411.0,376.10,382.70,382.70,2220750
2021-12-24,380.25,381.85,361.29,371.70,371.70,1230112
2021-12-27,365.0,385.0,297.39,375.45,375.45,868755
2021-12-28,377.0,387.54,375.5,378.64,378.64,617253
2021-12-29,375.0,401.0,371.04,383.5,383.5,995673
2021-12-30,380.20,399.75,368.10,372.85,372.85,1135196
2021-12-31,375.0,383.75,370.75,372.35,372.35,374458
2022-01-03,372.64,381.45,372.29,374.39,374.39,303511
2022-01-04,374.89,396.0,372.0,389.04,389.04,930829
2022-01-05,385.89,388.89,376.45,384.60,384.60,608533
2022-01-06,378.0,388.0,375.39,379.79,379.79,300557
2022-01-07,383.39,385.64,376.35,381.39,381.39,244856
2022-01-10,383.0,429.0,381.0,423.5,423.5,2874946
2022-01-11,430.0,434.5,416.39,428.0,428.0,1389428
2022-01-12,431.60,436.0,411.14,414.04,414.04,707263
2022-01-13,416.89,447.0,412.0,443.29,443.29,1883531
2022-01-14,438.29,503.29,431.10,475.95,475.95,5375191
2022-01-17,472.0,503.0,472.0,493.89,493.89,1806638
2022-01-18,496.0,525.0,485.20,515.20,515.20,2604393
2022-01-19,508.0,511.60,482.70,488.10,488.10,1169946
2022-01-20,486.95,489.60,462.0,465.89,465.89,837657
2022-01-21,466.10,475.0,418.5,431.75,431.75,1296735
2022-01-24,430.0,434.25,385.75,401.20,401.20,2391835
2022-01-25,397.95,397.95,367.54,374.89,374.89,1441451
2022-01-27,366.0,377.89,355.5,365.45,365.45,1365450
2022-01-28,368.35,385.0,360.0,372.70,372.70,726090
2022-01-31,375.10,389.10,368.0,371.89,371.89,382230
2022-02-01,374.89,392.0,374.89,389.70,389.70,517981
2022-02-02,393.0,404.79,390.5,395.95,395.95,371936
2022-02-03,392.0,395.0,382.25,391.25,391.25,287056
2022-02-04,385.0,389.75,380.10,382.20,382.20,149555
2022-02-07,382.35,388.35,369.0,379.54,379.54,202011
2022-02-08,384.79,385.54,363.14,365.85,365.85,312364
2022-02-09,369.0,390.0,364.75,383.64,383.64,843603
2022-02-10,383.64,386.70,375.54,379.95,379.95,208920
