Date,Open,High,Low,Close,Adj Close,Volume
2020-09-21,717.0,735.0,625.0,651.29,640.50,29189613
2020-09-22,664.70,703.90,635.84,694.25,682.73,6302377
2020-09-23,714.0,833.09,708.15,824.25,810.58,14866529
2020-09-24,830.5,978.59,806.29,903.59,888.61,17844880
2020-09-25,932.0,988.0,896.40,938.79,923.23,9589972
2020-09-28,944.95,969.0,910.0,919.65,904.40,2803949
2020-09-29,927.0,933.75,827.70,827.70,813.97,3583098
2020-09-30,785.0,847.0,772.20,806.75,793.37,4641613
2020-10-01,821.0,832.0,758.0,783.45,770.45,1835678
2020-10-05,790.65,849.40,771.15,827.40,813.68,3141795
2020-10-06,835.0,835.0,801.09,806.65,793.27,916522
2020-10-07,809.0,809.0,780.20,784.54,771.54,621669
2020-10-08,784.0,828.79,782.0,798.90,785.65,1414742
2020-10-09,803.70,806.20,782.0,788.0,774.93,368973
2020-10-12,789.90,790.0,758.25,765.09,752.41,389181
2020-10-13,765.09,799.0,753.04,778.15,765.24,759721
2020-10-14,778.79,791.84,768.20,772.59,759.78,398436
2020-10-15,780.0,781.0,751.15,763.95,751.28,298018
2020-10-16,770.0,770.0,687.59,708.40,696.65,3318511
2020-10-19,720.84,743.79,706.54,715.75,703.88,1516686
2020-10-20,715.0,727.34,707.0,720.34,708.40,552843
2020-10-21,728.0,776.59,720.04,752.70,740.21,1852610
2020-10-22,751.79,827.95,741.65,821.84,808.22,2743903
2020-10-23,832.0,841.29,790.0,803.20,789.88,1717356
2020-10-26,798.0,814.70,777.70,795.45,782.26,559405
2020-10-27,801.0,840.0,772.0,829.65,815.89,1060731
2020-10-28,835.0,912.59,829.65,912.59,897.46,3837737
2020-10-29,914.90,989.90,885.29,949.15,933.41,4018948
2020-10-30,945.0,1012.90,934.40,997.20,980.66,2158085
2020-11-02,990.90,1096.90,982.34,1096.90,1078.71,2019426
2020-11-03,1151.69,1151.69,1042.09,1042.09,1024.82,1365938
2020-11-04,990.0,1029.0,990.0,990.0,973.58,348589
2020-11-05,966.09,994.40,940.5,940.5,924.90,1119805
2020-11-06,939.0,985.0,905.59,926.20,910.84,1801765
2020-11-09,932.0,955.0,916.0,933.5,918.02,692745
2020-11-10,940.0,940.0,905.09,914.54,899.38,440363
2020-11-11,915.0,918.0,885.0,900.70,885.76,451820
2020-11-12,900.0,945.70,892.34,923.95,908.63,645493
2020-11-13,925.0,939.90,916.25,919.45,904.20,299782
2020-11-14,926.04,939.90,926.04,933.59,918.11,112134
2020-11-17,933.59,967.84,918.0,940.95,925.34,537915
2020-11-18,945.0,951.0,925.25,931.20,915.75,269755
2020-11-19,930.0,977.75,926.04,945.29,929.62,628046
2020-11-20,950.0,992.54,950.0,992.54,976.09,668413
