Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,1024.44,1035.5,1020.84,1026.75,974.25,671934
2019-01-02,1029.0,1042.0,1020.0,1024.80,972.40,827581
2019-01-03,1030.0,1037.90,1025.0,1029.69,977.05,477746
2019-01-04,1030.0,1035.0,984.04,1003.90,952.56,1194424
2019-01-07,1011.0,1013.59,970.0,978.45,928.42,1225753
2019-01-08,975.0,991.65,960.0,972.25,922.53,4365760
2019-01-09,975.0,994.0,963.0,970.04,920.45,1345457
2019-01-10,973.0,977.0,966.0,969.5,919.92,473621
2019-01-11,974.0,974.09,948.09,961.95,912.76,1410190
2019-01-14,964.45,974.40,956.0,968.95,919.40,479983
2019-01-15,970.5,984.29,970.5,979.20,929.13,657468
2019-01-16,981.5,984.65,967.25,970.5,920.87,327270
2019-01-17,974.79,979.65,964.0,968.40,918.88,478499
2019-01-18,970.0,973.15,959.09,962.90,913.66,366679
2019-01-21,960.20,981.40,956.45,963.45,914.18,556855
2019-01-22,962.04,972.0,961.09,967.84,918.36,280798
2019-01-23,970.0,981.40,962.0,966.79,917.36,349506
2019-01-24,962.40,966.15,929.15,933.29,885.57,1357593
2019-01-25,937.40,939.59,908.09,912.79,866.12,798253
2019-01-28,914.0,917.5,872.09,875.09,830.35,687170
2019-01-29,878.90,891.5,871.0,884.95,839.70,382535
2019-01-30,892.90,895.0,866.0,879.29,834.34,382653
2019-01-31,879.34,883.34,866.40,874.0,829.31,405147
2019-02-01,877.59,893.95,874.04,889.29,843.82,498559
2019-02-04,894.0,900.79,881.40,888.65,843.21,649150
2019-02-05,890.5,904.20,879.75,897.40,851.51,488902
2019-02-06,899.90,912.40,897.04,907.90,861.47,672639
2019-02-07,906.09,929.90,905.20,922.90,875.71,845227
2019-02-08,918.79,922.34,897.25,904.5,858.25,543811
2019-02-11,900.0,908.40,889.04,903.79,857.58,379046
2019-02-12,907.0,911.70,884.54,888.29,842.88,391811
2019-02-14,878.70,887.5,873.65,881.84,836.76,366347
2019-02-15,883.90,891.65,848.40,860.04,816.07,624416
2019-02-18,863.90,865.79,830.09,859.25,815.31,1228547
2019-02-19,859.79,862.84,848.65,856.15,812.37,440365
2019-02-20,855.0,899.0,849.90,889.59,844.11,773933
2019-02-21,895.0,913.84,893.75,900.65,854.59,915215
2019-02-22,903.0,914.95,899.54,905.20,858.91,496669
2019-02-25,906.0,911.5,899.45,901.75,855.64,249212
2019-02-26,903.5,903.54,874.15,882.15,837.04,571939
2019-02-27,885.70,901.0,878.0,881.84,836.76,378516
2019-02-28,887.40,892.25,878.29,884.84,839.60,256509
2019-03-01,890.0,915.0,886.0,911.40,864.79,553424
2019-03-05,915.0,934.04,915.0,926.04,878.70,538136
2019-03-06,931.79,957.5,927.0,950.09,901.52,1015237
2019-03-07,963.0,998.0,955.09,960.75,911.62,4636310
2019-03-08,960.0,974.0,953.0,958.0,909.01,1062106
2019-03-11,960.90,965.0,947.0,956.04,907.16,648512
2019-03-12,960.04,971.95,955.65,959.70,910.62,446366
2019-03-13,962.0,983.0,956.0,961.34,912.19,1034800
2019-03-14,964.0,968.59,945.0,950.04,901.47,683238
2019-03-15,951.90,986.0,946.0,979.75,929.65,1478751
2019-03-18,985.84,994.90,979.54,981.90,931.69,804025
2019-03-19,983.34,992.59,978.15,985.45,935.06,481436
2019-03-20,984.40,1010.95,981.5,986.75,936.29,1316236
2019-03-22,991.84,997.59,977.0,980.29,930.17,596051
2019-03-25,976.79,977.0,952.0,956.75,907.83,382533
2019-03-26,954.0,962.0,944.0,957.95,908.96,431580
2019-03-27,958.79,967.70,947.54,950.5,901.90,356826
2019-03-28,952.54,962.84,948.29,958.54,909.53,480893
2019-04-01,965.09,976.5,955.0,960.75,911.62,492878
2019-04-02,964.65,983.0,964.65,980.04,929.93,1126399
2019-04-03,998.79,1000.70,971.15,975.04,925.19,1053259
2019-04-04,977.40,977.40,957.09,961.40,912.24,422661
2019-04-05,965.65,972.75,961.90,965.09,915.75,295544
2019-04-08,967.0,976.0,960.0,963.95,914.66,294386
2019-04-09,965.90,968.40,952.20,963.5,914.23,364138
2019-04-10,961.70,976.75,961.0,965.70,916.32,276070
2019-04-11,965.95,966.70,955.45,958.25,909.25,187554
2019-04-12,957.09,967.0,955.04,961.34,912.19,233293
2019-04-15,966.0,995.59,963.79,991.84,941.13,998092
2019-04-16,996.90,999.59,980.29,983.09,932.83,471121
2019-04-18,986.5,986.5,952.25,955.84,906.97,575591
2019-04-22,952.29,973.15,950.04,956.40,907.49,454240
2019-04-23,961.70,961.70,948.20,950.59,901.99,275980
2019-04-24,954.0,957.84,926.25,929.75,882.21,1627535
2019-04-25,930.0,934.40,923.0,927.29,879.88,717900
2019-04-26,929.90,939.95,917.40,922.45,875.28,538879
2019-04-30,924.40,936.25,915.90,930.40,882.82,637498
2019-05-02,932.70,932.70,889.0,896.20,850.37,760497
2019-05-03,885.0,890.0,870.0,873.59,828.93,738848
2019-05-06,870.0,878.90,856.0,857.70,813.84,472017
2019-05-07,860.04,879.84,857.0,859.65,815.69,710267
2019-05-08,859.0,871.65,852.09,860.45,816.45,392453
2019-05-09,860.45,870.20,854.5,863.34,819.20,501408
2019-05-10,864.0,875.20,858.79,862.34,818.25,296494
2019-05-13,862.09,862.59,842.54,845.45,802.22,222645
2019-05-14,843.0,846.40,822.09,838.75,795.86,591835
2019-05-15,844.79,864.70,840.0,849.20,805.77,526973
2019-05-16,852.0,856.54,840.04,851.40,807.86,275536
2019-05-17,848.90,869.95,848.90,864.84,820.62,435328
2019-05-20,876.0,884.65,856.34,861.40,817.35,623775
2019-05-21,865.90,866.90,834.65,840.95,797.95,452877
2019-05-22,843.5,853.0,828.0,850.45,806.96,483465
2019-05-23,857.20,861.25,843.70,847.70,804.35,323746
2019-05-24,853.70,864.59,839.09,862.5,818.39,368792
2019-05-27,865.0,879.90,860.25,874.15,829.45,505365
2019-05-28,877.79,899.79,874.34,885.29,840.03,871295
2019-05-29,884.70,909.5,884.0,888.59,843.16,1074495
2019-05-30,891.70,892.40,882.20,884.5,839.27,385885
2019-05-31,885.95,892.20,866.09,871.59,827.03,431419
2019-06-03,874.0,884.84,863.29,880.15,835.14,352391
2019-06-04,875.0,881.95,865.70,868.0,823.61,377346
2019-06-06,869.79,872.09,852.0,855.34,811.61,272183
2019-06-07,855.0,867.90,844.0,857.20,813.37,263098
2019-06-10,859.5,866.15,855.0,857.20,813.37,236516
2019-06-11,860.0,874.29,850.5,867.5,823.14,468893
2019-06-12,867.0,868.45,853.20,855.54,811.80,259898
2019-06-13,855.54,856.84,835.45,845.95,802.69,317787
2019-06-14,847.70,867.90,841.75,861.40,817.35,572644
2019-06-17,863.34,873.70,860.15,866.84,822.52,498607
2019-06-18,868.75,882.59,863.25,870.0,825.51,586681
2019-06-19,875.90,875.90,845.54,848.84,805.44,374026
2019-06-20,845.0,857.45,834.0,854.54,810.85,329527
2019-06-21,855.79,867.0,853.20,860.70,816.69,197498
2019-06-24,862.70,869.0,849.0,851.59,808.05,206148
2019-06-25,850.65,864.95,847.5,858.09,814.22,245651
2019-06-26,858.0,872.0,857.95,866.5,822.19,319731
2019-06-27,867.0,878.20,866.0,875.90,831.11,283884
2019-06-28,876.40,892.5,875.0,884.90,839.65,511883
2019-07-01,890.09,900.90,886.40,898.90,852.93,335774
2019-07-02,903.84,924.95,901.0,920.79,873.71,1128675
2019-07-03,924.95,924.95,913.0,921.25,874.14,447980
2019-07-04,921.0,922.09,904.20,914.34,867.59,297118
2019-07-05,918.79,919.34,885.75,889.84,844.35,369947
2019-07-08,866.09,869.90,848.5,856.90,825.61,479443
2019-07-09,859.0,864.90,844.04,853.90,822.72,230084
2019-07-10,850.0,865.54,846.0,849.65,818.62,243879
2019-07-11,854.0,855.95,835.5,843.04,812.26,292683
2019-07-12,843.04,852.79,841.20,849.5,818.48,271207
2019-07-15,855.0,857.0,808.84,816.5,786.68,1058298
2019-07-16,815.0,823.0,803.90,814.70,784.95,791908
2019-07-17,811.09,811.40,735.79,742.45,715.34,9825204
2019-07-18,737.5,749.95,722.34,732.04,705.32,2553544
2019-07-19,733.0,750.0,696.20,701.45,675.83,2501071
2019-07-22,700.0,707.65,676.0,679.75,654.92,1254828
2019-07-23,680.79,687.95,669.0,672.20,647.65,1246592
2019-07-24,676.0,681.0,654.65,657.29,633.29,955525
2019-07-25,655.0,666.79,643.54,653.79,629.92,1634604
2019-07-26,653.79,660.95,642.65,645.54,621.97,799250
2019-07-29,646.79,651.04,635.09,638.45,615.13,627264
2019-07-30,639.0,644.59,616.40,619.20,596.59,774765
2019-07-31,614.90,640.0,608.5,636.84,613.59,1004613
2019-08-01,634.0,638.5,609.0,615.0,592.54,893290
2019-08-02,610.5,626.0,602.20,622.04,599.33,920373
2019-08-05,615.0,618.29,602.09,604.5,582.42,728747
2019-08-06,602.79,629.90,602.0,626.5,603.62,890129
2019-08-07,628.29,639.75,615.15,619.0,596.39,1020853
2019-08-08,620.40,634.90,617.0,631.45,608.39,627739
2019-08-09,634.29,643.75,625.29,631.5,608.44,555417
2019-08-13,631.54,633.0,606.29,610.84,588.54,819803
