Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,79.19,79.40,78.40,79.19,78.20,11352
2019-01-02,79.30,79.94,76.0,76.84,75.88,46538
2019-01-03,76.09,77.94,75.34,75.59,74.65,20789
2019-01-04,75.55,77.0,73.15,73.44,72.52,39143
2019-01-07,75.0,75.0,72.44,73.19,72.28,12775
2019-01-08,73.80,76.69,72.90,75.09,74.15,47718
2019-01-09,74.05,76.19,73.25,73.75,72.82,26975
2019-01-10,74.65,74.80,73.0,73.19,72.28,38336
2019-01-11,74.5,77.09,71.94,75.84,74.89,41055
2019-01-14,75.05,80.75,74.84,79.05,78.05,58981
2019-01-15,78.84,81.0,78.0,78.34,77.36,25991
2019-01-16,79.30,81.15,78.44,79.55,78.55,32098
2019-01-17,81.80,81.80,78.44,80.90,79.88,57543
2019-01-18,79.59,82.19,79.05,79.69,78.70,32409
2019-01-21,80.19,81.19,78.55,80.25,79.24,21285
2019-01-22,80.25,82.84,79.15,82.19,81.16,64288
2019-01-23,82.15,85.84,81.55,84.84,83.78,164838
2019-01-24,86.09,94.0,84.25,85.30,84.23,314118
2019-01-25,86.84,87.0,82.5,83.59,82.55,45157
2019-01-28,85.90,90.0,76.09,79.94,78.94,1185111
2019-01-29,78.30,78.5,75.0,75.80,74.85,190733
2019-01-30,77.59,77.59,75.09,76.05,75.09,42689
2019-01-31,77.30,77.30,75.15,75.55,74.60,28359
2019-02-01,76.19,76.59,74.90,75.05,74.10,29866
2019-02-04,75.09,75.09,72.94,73.75,72.82,61947
2019-02-05,73.0,73.44,71.75,72.25,71.34,23757
2019-02-06,72.09,72.94,70.09,71.84,70.94,40950
2019-02-07,72.69,73.80,71.5,72.75,71.83,18578
2019-02-08,71.75,74.84,71.75,72.34,71.44,36809
2019-02-11,72.0,72.80,71.09,71.75,70.85,19802
2019-02-12,71.84,73.0,70.09,70.5,69.61,28023
2019-02-14,69.15,69.15,67.30,68.05,67.19,33280
2019-02-15,67.44,69.0,67.15,68.30,67.44,31060
2019-02-18,69.0,69.55,67.75,68.44,67.59,35920
2019-02-19,68.09,69.59,67.80,68.15,67.29,18953
2019-02-20,66.30,68.44,66.30,67.84,66.99,56827
2019-02-21,67.0,68.44,67.0,68.30,67.44,27500
2019-02-22,68.05,72.59,68.0,71.55,70.65,65254
2019-02-25,72.30,72.44,70.5,71.55,70.65,24362
2019-02-26,70.05,70.5,68.44,68.90,68.03,29073
2019-02-27,71.0,72.09,68.5,69.05,68.18,25393
2019-02-28,68.59,70.5,68.55,69.94,69.07,21089
2019-03-01,69.59,71.90,68.69,71.09,70.20,66826
2019-03-05,71.65,74.5,70.25,73.84,72.92,77554
2019-03-06,74.19,79.19,73.40,76.30,75.34,97288
2019-03-07,77.15,80.40,76.0,77.69,76.72,93220
2019-03-08,78.19,78.5,75.0,75.90,74.94,26005
2019-03-11,77.30,77.30,73.80,74.55,73.61,54626
2019-03-12,76.40,76.59,74.25,75.5,74.55,48072
2019-03-13,75.40,79.59,75.05,77.25,76.28,90348
2019-03-14,78.19,81.90,76.09,81.15,80.13,109988
2019-03-15,82.0,86.30,80.25,82.09,81.07,267101
2019-03-18,82.09,82.09,80.0,80.94,79.93,47119
2019-03-19,82.19,82.25,79.0,79.5,78.50,67579
2019-03-20,80.75,81.5,78.5,79.0,78.00,47291
2019-03-22,78.55,79.25,74.5,75.44,74.50,81096
2019-03-25,75.05,75.05,68.15,69.75,68.87,180469
2019-03-26,69.75,74.59,69.65,74.25,73.31,165573
2019-03-27,75.0,75.80,68.90,69.84,68.97,416962
2019-03-28,70.30,73.15,70.25,71.69,70.80,96618
2019-04-01,73.94,74.55,73.0,73.59,72.67,97941
2019-04-02,73.40,74.15,72.0,72.40,71.49,36660
2019-04-03,72.34,78.69,72.09,75.59,74.65,244816
2019-04-04,76.19,77.34,74.40,74.94,74.01,55950
2019-04-05,75.19,76.19,75.0,75.19,74.25,26010
2019-04-08,76.19,77.0,74.5,74.75,73.81,41780
2019-04-09,74.75,75.90,74.15,74.75,73.81,34053
2019-04-10,76.19,76.19,74.30,74.59,73.66,18361
2019-04-11,76.19,76.19,74.15,74.65,73.71,18974
2019-04-12,74.69,81.25,73.19,77.40,76.42,177218
2019-04-15,77.69,78.34,76.59,77.59,76.62,45386
2019-04-16,76.69,79.84,76.69,77.84,76.87,63965
2019-04-18,77.05,79.0,75.15,75.90,74.94,37426
2019-04-22,75.15,77.09,74.5,75.90,74.94,16207
2019-04-23,75.05,76.65,74.40,75.09,74.15,23576
2019-04-24,76.80,76.90,75.05,76.19,75.24,18314
2019-04-25,75.69,76.90,74.59,75.94,74.99,25259
2019-04-26,75.30,77.44,75.0,76.19,75.24,26607
2019-04-30,75.15,77.80,73.65,75.19,74.25,26502
2019-05-02,76.0,76.5,75.0,75.55,74.60,41977
2019-05-03,75.0,75.84,74.25,74.5,73.56,15833
2019-05-06,74.69,75.30,73.5,74.19,73.27,10082
2019-05-07,74.34,75.05,72.84,73.30,72.38,20873
2019-05-08,73.5,73.55,70.59,71.19,70.30,45773
2019-05-09,70.84,72.5,69.30,71.55,70.65,46924
2019-05-10,72.59,72.90,70.5,71.09,70.20,35305
2019-05-13,70.0,73.0,70.0,71.19,70.30,31919
2019-05-14,72.44,72.44,70.19,71.44,70.55,9365
2019-05-15,71.0,72.5,70.05,70.09,69.22,5395
2019-05-16,69.84,70.09,69.09,69.40,68.53,14453
2019-05-17,69.25,70.5,68.84,69.80,68.92,39765
2019-05-20,71.69,77.69,71.69,73.80,72.87,77158
2019-05-21,73.94,76.09,72.09,72.90,71.98,27471
2019-05-22,72.25,73.44,71.0,71.34,70.45,38827
2019-05-23,72.05,73.05,70.5,70.80,69.91,24308
2019-05-24,70.15,74.0,70.15,72.40,71.49,34722
2019-05-27,72.5,75.19,72.40,74.09,73.17,37099
2019-05-28,74.09,74.65,72.59,73.0,72.08,27242
2019-05-29,73.59,74.05,71.44,72.15,71.24,41303
2019-05-30,73.15,79.25,73.15,74.30,73.36,227450
2019-05-31,74.65,75.19,72.0,73.34,72.43,33553
2019-06-03,73.0,74.0,72.19,72.59,71.69,24825
2019-06-04,72.34,73.40,72.15,72.55,71.64,31857
2019-06-06,72.05,72.84,70.0,70.84,69.96,20351
2019-06-07,70.75,75.80,70.69,74.05,73.12,260549
2019-06-10,74.15,75.19,73.0,73.69,72.77,68532
2019-06-11,73.75,78.44,73.69,77.55,76.57,202422
2019-06-12,77.75,79.19,75.09,75.75,74.80,42747
2019-06-13,75.09,75.94,73.0,73.84,72.92,32574
2019-06-14,73.25,74.40,73.05,73.75,72.82,164250
2019-06-17,73.75,76.40,73.0,73.34,72.43,90475
2019-06-18,73.09,73.34,72.0,72.30,71.39,28830
2019-06-19,73.15,73.75,70.05,70.65,69.76,49196
2019-06-20,70.90,71.94,70.05,71.25,70.35,35526
2019-06-21,71.40,74.0,70.75,71.34,70.45,54722
2019-06-24,72.84,74.34,71.0,71.65,70.75,214482
2019-06-25,71.55,73.75,71.0,72.19,71.29,27189
2019-06-26,72.44,72.69,70.90,71.09,70.20,18493
2019-06-27,71.90,72.80,69.90,70.25,69.36,53238
2019-06-28,70.30,74.5,69.90,72.84,71.93,87002
2019-07-01,72.05,74.5,70.09,73.30,72.38,67530
2019-07-02,73.90,74.0,72.65,73.75,72.82,11406
2019-07-03,73.25,74.0,73.0,73.34,72.43,14526
2019-07-04,73.30,74.0,72.0,73.25,72.33,29000
2019-07-05,73.0,73.90,70.5,71.05,70.15,16304
2019-07-08,72.94,73.34,69.80,70.05,69.17,47299
2019-07-09,70.40,71.09,67.5,70.30,69.41,147219
2019-07-10,70.44,70.59,68.0,68.55,67.69,6415
2019-07-11,68.0,69.5,67.05,67.65,66.80,28953
2019-07-12,68.09,68.30,65.59,66.05,65.22,38706
2019-07-15,66.65,66.90,62.59,63.75,62.95,42809
2019-07-16,63.40,63.70,61.29,61.59,60.82,49904
2019-07-17,61.95,63.70,60.54,61.70,60.92,50458
2019-07-18,62.75,62.75,57.15,57.95,57.22,82410
2019-07-19,57.79,60.29,54.34,55.40,54.70,66168
2019-07-22,55.09,56.84,52.59,53.45,52.78,42656
2019-07-23,53.75,54.59,52.5,52.90,52.23,47921
2019-07-24,52.90,53.90,51.59,52.09,51.44,19519
2019-07-25,51.84,52.70,50.5,50.79,50.16,34728
2019-07-26,50.5,54.75,49.0,54.0,53.32,111105
2019-07-29,56.5,60.25,55.5,57.59,56.87,137478
2019-07-30,57.34,58.90,51.5,52.95,52.28,58661
2019-07-31,52.09,54.40,50.0,53.59,52.92,48658
2019-08-01,54.70,54.70,52.09,52.65,51.99,32370
2019-08-02,52.59,54.0,51.84,53.79,53.12,36290
2019-08-05,56.34,59.5,53.54,55.70,55.00,255673
2019-08-06,56.59,59.09,55.40,58.09,57.37,84739
2019-08-07,57.90,58.20,56.04,56.79,56.08,44015
2019-08-08,56.34,61.90,56.29,58.90,58.16,35934
2019-08-09,61.0,61.0,57.75,58.04,57.32,33150
2019-08-13,57.0,58.70,56.20,57.34,56.63,20818
2019-08-14,57.34,58.54,56.09,57.84,57.12,27306
2019-08-16,57.84,58.40,56.59,56.95,56.23,13636
2019-08-19,57.09,57.70,56.0,56.54,55.84,36444
2019-08-20,57.40,58.25,55.5,56.25,55.54,13499
2019-08-21,56.25,56.79,55.45,55.65,54.95,9917
2019-08-22,55.65,55.79,51.5,52.0,51.34,21118
2019-08-23,54.0,54.0,51.0,52.29,51.64,43756
2019-08-26,56.25,56.25,52.0,53.15,52.48,32626
2019-08-27,53.65,56.25,53.59,54.15,53.47,36857
2019-08-28,56.75,57.0,55.29,56.20,55.49,269587
2019-08-29,57.40,58.0,55.09,56.79,56.08,20381
2019-08-30,56.90,57.20,55.25,56.0,55.29,15710
2019-09-03,54.5,56.0,53.20,55.20,54.50,15312
2019-09-04,56.15,56.25,53.59,54.25,53.57,26689
2019-09-05,54.0,55.54,54.0,54.84,54.16,14731
2019-09-06,54.40,56.0,54.40,55.54,54.85,22113
2019-09-09,55.54,57.40,54.65,56.65,55.94,19649
2019-09-11,56.65,60.25,56.0,58.70,57.96,67499
2019-09-12,59.0,63.59,59.0,62.54,62.08,79855
2019-09-13,63.34,64.69,62.20,62.59,62.13,17277
2019-09-16,61.54,68.59,61.5,67.65,67.14,91242
2019-09-17,68.44,69.40,64.09,65.05,64.56,38727
2019-09-18,67.0,68.25,63.0,66.80,66.30,97561
2019-09-19,66.0,68.0,63.04,63.45,62.97,87846
2019-09-20,63.25,66.90,62.29,64.90,64.41,134320
2019-09-23,67.5,72.0,64.19,70.15,69.62,105372
