Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,160.89,162.35,155.44,157.25,155.38,4726656
2019-01-02,157.0,157.85,152.5,154.85,153.01,2735262
2019-01-03,154.89,156.10,150.30,152.5,150.69,2758876
2019-01-04,152.10,154.0,150.0,152.55,150.74,2777308
2019-01-07,152.89,154.44,150.25,151.25,149.45,2714218
2019-01-08,150.5,154.30,149.64,153.44,151.63,2791866
2019-01-09,153.60,154.44,147.60,149.35,147.58,4054809
2019-01-10,151.0,151.80,148.5,151.10,149.31,3534546
2019-01-11,151.10,152.60,149.10,151.5,149.70,2254999
2019-01-14,151.0,151.14,147.0,148.35,146.59,2624582
2019-01-15,148.5,149.94,147.25,148.64,146.88,1805678
2019-01-16,148.19,150.69,148.0,148.44,146.69,1574176
2019-01-17,148.39,151.25,146.35,149.0,147.23,2618859
2019-01-18,149.69,149.80,144.55,146.75,145.01,2306520
2019-01-21,146.5,148.0,144.25,145.94,144.22,1763205
2019-01-22,145.39,146.64,141.69,145.69,143.97,2261667
2019-01-23,145.5,146.5,142.05,143.0,141.30,2322990
2019-01-24,143.0,144.05,141.10,142.55,140.86,1678843
2019-01-25,142.85,145.44,136.14,137.35,135.72,3297651
2019-01-28,138.0,141.0,118.94,136.39,134.78,9404485
2019-01-29,136.44,143.80,133.60,140.80,139.13,4301493
2019-01-30,140.89,141.5,136.5,139.89,138.24,3102926
2019-01-31,139.5,141.75,135.0,137.14,135.52,3498642
2019-02-01,136.94,144.80,134.55,143.0,141.30,7091209
2019-02-04,142.89,142.89,121.30,123.09,121.64,9832462
2019-02-05,122.0,127.40,119.59,124.25,122.77,8484607
2019-02-06,123.84,124.19,114.80,122.90,121.44,9905219
2019-02-07,122.19,126.80,119.05,123.94,122.48,9826247
2019-02-08,123.0,125.44,115.69,123.75,122.28,8059813
2019-02-11,122.94,123.25,115.80,118.19,116.79,7048335
2019-02-12,117.19,120.0,115.34,116.94,115.56,3698931
2019-02-14,118.44,119.5,116.0,118.09,116.70,4962697
2019-02-15,118.15,121.15,116.5,119.80,118.38,4509378
2019-02-18,118.30,119.90,116.09,117.5,116.10,2569451
2019-02-19,118.40,119.80,116.80,118.25,116.84,2644152
2019-02-20,117.94,121.09,116.19,120.05,118.62,3739081
2019-02-21,119.80,121.0,117.90,119.40,117.98,2698192
2019-02-22,120.25,130.69,119.80,128.05,126.53,14695085
2019-02-25,125.0,133.89,123.0,132.0,130.43,12769956
2019-02-26,130.0,134.30,128.0,132.10,130.53,8879092
2019-02-27,133.80,136.30,129.55,132.25,130.68,5875292
2019-02-28,133.5,134.19,128.0,128.85,127.32,3960957
2019-03-01,130.35,135.19,128.85,133.85,132.26,7738116
2019-03-05,132.5,143.69,132.0,141.80,140.12,7598974
2019-03-06,142.75,143.75,138.19,139.25,137.60,4856085
2019-03-07,139.0,140.94,135.30,136.89,135.27,3496617
2019-03-08,135.75,139.35,135.39,138.19,136.56,3681442
2019-03-11,137.85,140.94,137.60,139.05,137.40,2550759
