Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,386.29,390.89,384.04,389.0,376.71,1233249
2019-01-02,388.0,388.95,378.0,381.29,369.25,1506543
2019-01-03,382.39,385.29,376.60,378.10,366.15,1902063
2019-01-04,378.64,383.95,375.85,382.14,370.07,1669709
2019-01-07,385.0,386.95,379.35,381.64,369.59,1260331
2019-01-08,383.0,383.0,375.75,378.75,366.78,2154121
2019-01-09,382.0,382.0,373.29,377.29,365.38,1166498
2019-01-10,377.95,381.79,376.95,380.25,368.23,1286641
2019-01-11,380.29,381.0,375.10,377.14,365.23,1829555
2019-01-14,377.0,377.0,372.39,374.45,362.62,927301
2019-01-15,375.0,386.0,375.0,385.14,372.98,1965520
2019-01-16,385.29,390.70,379.20,389.29,377.00,2847403
2019-01-17,391.20,395.45,386.5,394.5,382.03,4156932
2019-01-18,396.5,399.95,392.25,399.29,386.68,3617922
2019-01-21,397.5,402.70,392.10,396.20,383.68,2563705
2019-01-22,393.39,394.70,387.10,390.60,378.26,3328908
2019-01-23,390.0,392.0,383.60,385.20,373.03,3653992
2019-01-24,386.0,386.5,377.60,380.95,368.91,3633336
2019-01-25,382.5,383.75,372.25,373.85,362.03,4760625
2019-01-28,374.95,375.35,292.10,326.10,315.79,15177384
2019-01-29,330.0,354.60,327.60,349.25,338.21,9816333
2019-01-30,349.04,349.04,335.60,338.14,327.46,7672859
2019-01-31,339.89,341.70,330.20,338.64,327.95,6403921
2019-02-01,339.89,346.79,333.35,338.45,327.75,3119675
2019-02-04,337.25,338.79,329.04,335.64,325.04,4517829
2019-02-05,333.10,340.95,330.75,339.79,329.06,3262960
2019-02-06,338.79,341.79,318.85,330.35,319.91,6687853
2019-02-07,330.54,336.35,322.60,332.35,321.85,4871712
2019-02-08,333.0,336.5,328.0,331.5,321.02,2915806
2019-02-11,332.95,333.95,318.39,328.79,318.41,3783848
2019-02-12,328.79,329.95,323.25,326.79,316.47,4496913
2019-02-14,342.0,352.20,340.04,349.10,338.07,6612759
2019-02-15,347.54,352.89,347.29,350.14,339.08,7728519
2019-02-18,348.0,352.89,345.54,347.29,336.32,6875440
2019-02-19,347.5,348.5,337.54,339.54,328.82,3300497
2019-02-20,342.0,356.35,340.95,354.75,343.54,4885571
2019-02-21,352.10,359.25,350.79,355.75,344.51,4089677
2019-02-22,353.54,358.60,352.70,354.29,343.10,1719606
