Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,1373.19,1379.69,1358.59,1371.55,1323.92,664707
2019-01-02,1367.0,1386.84,1361.59,1383.30,1335.27,1233780
2019-01-03,1381.80,1393.84,1378.0,1388.30,1340.09,1636293
2019-01-04,1388.0,1401.40,1381.40,1385.84,1337.73,1202397
2019-01-07,1386.0,1405.40,1383.75,1396.0,1347.53,1074373
2019-01-08,1401.0,1412.69,1395.5,1401.25,1352.59,1232440
2019-01-09,1402.5,1414.0,1397.15,1402.0,1353.32,973687
2019-01-10,1390.0,1400.0,1388.65,1396.34,1347.86,1004783
2019-01-11,1399.75,1406.19,1392.40,1403.65,1354.91,473391
2019-01-14,1404.0,1410.59,1385.44,1388.59,1340.38,1360800
2019-01-15,1388.59,1414.44,1388.59,1405.94,1357.13,1355920
2019-01-16,1410.0,1412.94,1387.69,1389.75,1341.49,1189597
2019-01-17,1390.0,1398.5,1383.80,1389.59,1341.35,853829
2019-01-18,1391.0,1404.75,1383.0,1400.44,1351.82,1092189
2019-01-21,1395.19,1424.80,1395.19,1422.09,1372.72,2513582
2019-01-22,1423.90,1432.05,1375.25,1406.94,1358.10,5483768
2019-01-23,1429.0,1429.44,1390.0,1396.55,1348.06,2702265
2019-01-24,1400.0,1413.5,1396.5,1401.84,1353.17,1562800
2019-01-25,1408.40,1413.69,1353.30,1372.15,1324.50,1613548
2019-01-28,1375.0,1391.0,1366.84,1379.5,1331.60,1590764
2019-01-29,1377.0,1400.0,1373.19,1393.30,1344.92,1061762
2019-01-30,1394.0,1416.80,1372.09,1390.40,1342.12,1313152
2019-01-31,1400.0,1415.0,1391.05,1412.59,1363.55,1256050
2019-02-01,1412.40,1469.65,1408.19,1457.19,1406.60,2077539
2019-02-04,1444.0,1452.80,1434.0,1446.34,1396.13,735159
2019-02-05,1444.94,1466.90,1443.09,1450.34,1399.99,786962
2019-02-06,1457.84,1476.19,1452.30,1469.40,1418.38,1088914
2019-02-07,1467.05,1476.80,1457.0,1472.44,1421.32,697412
2019-02-08,1468.0,1480.0,1445.0,1448.80,1398.49,1018518
2019-02-11,1447.90,1457.30,1427.0,1437.09,1387.20,728051
2019-02-12,1438.5,1456.90,1435.25,1452.09,1401.68,947583
2019-02-14,1417.65,1423.15,1396.5,1399.19,1350.61,915441
2019-02-15,1400.80,1404.94,1372.09,1393.59,1345.21,1113223
2019-02-18,1401.69,1401.69,1345.0,1380.05,1332.13,1460282
2019-02-19,1372.05,1396.94,1371.0,1377.84,1330.01,697530
2019-02-20,1380.0,1398.80,1376.0,1396.90,1348.39,843469
2019-02-21,1399.0,1407.84,1390.30,1397.80,1349.26,677142
2019-02-22,1399.0,1407.75,1384.19,1397.80,1349.26,801380
2019-02-25,1399.94,1405.80,1391.34,1398.25,1349.70,711217
2019-02-26,1396.90,1407.0,1378.59,1402.0,1353.32,1147218
2019-02-27,1404.0,1430.84,1395.0,1405.69,1356.89,1462017
2019-02-28,1414.80,1415.0,1401.44,1405.19,1356.41,1230935
2019-03-01,1409.0,1417.94,1388.09,1392.34,1344.00,783876
2019-03-05,1393.5,1409.75,1382.69,1403.84,1355.10,1214257
2019-03-06,1408.0,1410.0,1386.55,1393.69,1345.31,720335
2019-03-07,1398.59,1405.5,1392.0,1395.44,1346.99,746742
2019-03-08,1393.75,1394.65,1380.0,1382.34,1334.35,524331
2019-03-11,1389.19,1423.0,1385.0,1419.80,1370.50,1342007
2019-03-12,1422.0,1445.34,1421.19,1428.09,1378.51,1333909
2019-03-13,1439.40,1439.40,1417.0,1428.30,1378.70,708227
2019-03-14,1437.59,1446.94,1420.0,1434.75,1384.93,1113700
