Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,651.5,653.0,641.79,652.19,650.53,1418210
2019-01-02,647.5,652.59,636.0,638.40,636.77,2212740
2019-01-03,643.90,647.98,633.16,638.33,636.71,2158450
2019-01-04,641.99,646.0,635.70,641.04,639.41,1563230
2019-01-07,645.04,650.0,638.5,640.71,639.08,1032170
2019-01-08,643.0,646.0,635.5,644.30,642.66,1112490
2019-01-09,646.0,647.59,636.5,639.90,638.28,1597690
2019-01-10,642.5,643.0,633.77,637.19,635.57,1647150
2019-01-11,635.5,638.98,629.09,637.16,635.54,1224320
2019-01-14,638.89,638.89,626.5,636.88,635.26,1524090
2019-01-15,638.5,652.40,638.0,650.96,649.31,1333360
2019-01-16,650.0,653.5,644.03,646.48,644.84,1196800
2019-01-17,646.59,648.5,633.60,635.90,634.28,1390430
2019-01-18,636.60,637.99,623.0,624.98,623.40,1916260
2019-01-21,625.38,640.0,621.10,638.45,636.83,1771760
2019-01-22,637.70,644.70,635.0,643.55,641.92,1737750
2019-01-23,642.98,652.79,640.5,649.31,647.66,1874450
2019-01-24,651.5,651.75,638.20,640.72,639.10,1089930
2019-01-25,647.98,647.98,628.69,632.15,630.55,925250
2019-01-28,633.5,635.28,594.88,605.09,603.55,2992860
2019-01-29,601.5,629.5,595.09,623.30,621.72,5789580
2019-01-30,629.5,636.88,620.03,624.71,623.13,3387880
2019-01-31,624.41,626.89,605.0,609.19,607.64,3776320
2019-02-01,612.39,625.0,605.5,609.69,608.14,3119840
2019-02-04,611.08,612.20,599.56,600.91,599.39,1281080
2019-02-05,601.99,606.40,596.90,601.71,600.18,1753040
2019-02-06,605.90,623.09,604.88,620.86,619.28,2289700
2019-02-07,621.99,628.89,620.0,625.30,623.72,1348790
2019-02-08,625.46,629.44,615.09,618.27,616.70,1384560
2019-02-11,618.40,622.34,607.71,609.62,608.07,1135180
2019-02-12,611.5,617.40,606.51,609.64,608.09,1488690
2019-02-14,611.90,614.04,602.5,603.55,602.02,1983370
2019-02-15,605.0,608.0,585.5,602.54,601.01,2778710
2019-02-18,606.90,608.30,586.03,588.51,587.02,2452220
2019-02-19,588.65,603.0,586.23,596.97,595.46,2130670
2019-02-20,600.70,604.5,593.21,599.84,598.32,1617130
2019-02-21,604.0,622.0,598.20,616.90,615.34,2301210
2019-02-22,617.0,627.27,614.69,619.56,617.99,2110120
2019-02-25,622.0,639.13,618.0,633.35,631.74,2321700
2019-02-26,626.5,649.82,624.11,645.26,643.62,5645230
2019-02-27,647.5,650.96,638.00,641.98,640.35,2985390
2019-02-28,647.79,648.0,641.30,646.24,644.60,1589310
2019-03-01,648.0,654.0,642.80,644.05,642.42,2220760
2019-03-05,644.0,665.0,638.59,654.37,652.71,2297930
2019-03-06,661.0,662.5,651.83,660.91,659.23,2369210
2019-03-07,658.01,666.85,656.5,659.84,658.17,1990320
2019-03-08,657.0,664.0,655.0,661.69,660.01,1448670
2019-03-11,661.65,681.21,661.22,678.35,676.63,2684600
2019-03-12,685.79,689.09,679.17,686.09,684.34,2623730
2019-03-13,685.0,693.09,679.26,689.82,688.06,2212330
2019-03-14,690.0,695.5,685.76,693.21,691.45,1812360
2019-03-15,692.0,700.40,690.0,692.79,691.03,2194560
2019-03-18,697.0,699.0,688.00,696.40,694.63,1360100
2019-03-19,700.0,703.59,695.0,697.56,695.79,1608370
2019-03-20,699.0,699.86,690.71,695.34,693.58,1195250
2019-03-22,697.0,708.0,693.89,696.00,694.23,1556240
2019-03-25,694.27,696.91,688.09,691.72,689.96,1382800
2019-03-26,696.70,706.0,692.0,698.78,697.01,2215970
2019-03-27,700.0,707.90,695.13,698.03,696.26,4448930
2019-03-28,699.40,702.27,685.75,695.25,693.49,3282400
2019-04-01,709.0,718.0,704.0,715.88,714.06,3114820
2019-04-02,719.73,731.09,715.98,727.96,726.11,2646660
2019-04-03,729.90,745.0,728.51,740.15,738.27,4267380
2019-04-04,741.15,742.20,728.20,731.85,729.99,2021730
2019-04-05,735.0,742.04,732.03,739.78,737.90,1701430
2019-04-08,743.88,744.0,731.0,734.72,732.86,1659750
2019-04-09,734.0,740.0,727.20,737.91,736.04,1598660
2019-04-10,737.39,744.5,734.5,742.33,740.44,1654870
