Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,290.09,295.65,287.66,293.35,289.70,6004413
2019-01-02,290.97,294.73,283.80,287.06,283.49,6104381
2019-01-03,286.93,289.68,282.75,287.84,284.26,6115985
2019-01-04,286.88,298.13,286.88,296.06,292.37,11151713
2019-01-07,297.85,301.07,295.74,298.36,294.64,5409525
2019-01-08,297.26,304.60,296.80,302.31,298.54,7062377
2019-01-09,305.93,310.25,300.51,307.13,303.30,7870424
2019-01-10,309.01,310.94,305.20,309.70,305.84,5642226
2019-01-11,309.56,309.70,302.08,307.68,303.84,5813431
2019-01-14,306.76,307.40,301.30,304.46,300.67,3606983
2019-01-15,302.99,311.58,299.78,310.11,306.25,5601729
2019-01-16,309.19,317.00,304.28,306.62,302.80,7563381
2019-01-17,305.75,309.19,303.18,304.88,301.08,4485363
2019-01-18,303.45,305.24,279.40,285.69,282.13,16058369
2019-01-21,285.27,289.68,280.96,285.87,282.31,8462367
2019-01-22,286.47,286.56,276.87,279.90,276.41,8608991
2019-01-23,281.69,282.24,277.56,278.85,275.37,5514459
2019-01-24,281.60,282.61,270.40,276.96,273.51,10198123
2019-01-25,279.12,286.47,277.28,282.33,278.82,5928740
2019-01-28,282.79,284.03,270.58,280.18,276.69,4462283
2019-01-29,280.04,284.31,277.01,282.66,279.13,3150864
2019-01-30,283.71,287.29,275.54,278.85,275.37,6432689
2019-01-31,279.58,285.04,278.34,281.32,277.82,9318290
2019-02-01,280.13,294.64,280.04,286.33,282.76,9073573
2019-02-04,284.63,285.32,277.47,281.46,277.96,3824016
2019-02-05,271.22,286.15,268.88,282.98,279.45,14408150
2019-02-06,281.88,285.09,276.37,283.48,279.95,5106801
2019-02-07,283.34,288.67,280.22,285.69,282.13,3781521
2019-02-08,283.71,288.49,281.05,287.61,284.03,3351016
2019-02-11,289.22,289.63,285.55,286.65,283.08,3242729
2019-02-12,286.19,289.77,284.31,285.78,282.22,2185109
2019-02-14,283.71,284.54,272.23,276.18,272.74,8415395
2019-02-15,276.37,281.00,273.02,279.67,276.19,6603478
2019-02-18,281.78,282.01,275.49,277.79,274.33,4358423
2019-02-19,279.03,287.84,276.87,278.85,275.37,7454027
2019-02-20,280.54,285.41,279.99,283.71,280.18,6102393
2019-02-21,280.87,285.55,278.20,284.54,280.99,5698776
2019-02-22,283.90,290.60,282.84,288.17,284.58,6085354
2019-02-25,288.30,293.81,286.10,291.29,287.66,4078190
2019-02-26,289.86,294.27,287.75,289.63,286.03,5459709
2019-02-27,292.85,298.63,288.62,293.95,290.29,4443715
2019-02-28,298.31,300.19,290.09,292.02,288.38,7546004
2019-03-01,291.79,291.79,277.38,282.47,278.95,29032737
2019-03-05,282.79,283.90,278.75,282.66,279.13,11186728
2019-03-06,285.50,287.61,283.07,284.08,280.54,6962671
2019-03-07,284.63,286.65,281.88,282.47,278.95,6347410
2019-03-08,284.40,286.47,282.47,283.44,279.91,4359661
2019-03-11,283.76,309.51,283.44,306.48,302.66,16744630
2019-03-12,305.56,325.03,302.40,323.01,318.99,29515923
2019-03-13,319.98,327.37,308.96,310.11,306.25,13735921
2019-03-14,309.42,317.64,307.17,314.38,310.46,6803550
2019-03-15,315.85,316.63,304.10,310.06,306.20,11324107
2019-03-18,310.34,315.53,302.35,303.59,299.81,5737237
2019-03-19,304.83,311.67,304.83,309.19,305.34,5535508
2019-03-20,309.56,312.08,305.15,306.67,302.85,3248513
2019-03-22,308.50,318.97,302.35,304.42,300.62,8945744
2019-03-25,305.66,307.49,296.75,300.24,296.50,5156688
2019-03-26,301.66,304.28,299.55,300.97,297.22,4168956
2019-03-27,303.91,305.75,294.18,296.11,292.42,5842228
2019-03-28,296.20,305.75,291.75,302.95,299.17,13365981
2019-04-01,306.57,316.72,305.93,312.91,309.01,6949926
2019-04-02,314.93,329.62,314.93,327.28,323.20,21841416
2019-04-03,326.87,333.29,319.06,321.36,317.35,12025039
2019-04-04,323.19,330.08,323.19,327.60,323.52,11943908
2019-04-05,329.25,330.31,324.62,327.46,323.38,3659366
2019-04-08,329.07,334.03,323.70,325.90,321.84,5551944
2019-04-09,329.21,331.46,313.55,322.83,318.80,9888327
2019-04-10,322.09,325.40,310.34,312.18,308.29,4671700
2019-04-11,313.74,322.51,309.56,318.01,314.04,17854063
2019-04-12,318.60,321.68,311.26,313.97,310.05,8195881
2019-04-15,316.67,320.44,307.40,319.25,315.27,10021890
2019-04-16,319.52,322.37,312.86,320.21,316.22,9343948
2019-04-18,320.90,321.77,305.43,318.56,314.59,15841399
2019-04-22,315.85,329.21,309.05,320.81,316.81,15056704
2019-04-23,325.0,325.39,314.20,316.5,312.55,11412878
2019-04-24,316.5,326.29,315.60,324.5,320.45,7029531
2019-04-25,322.79,332.89,321.0,328.5,324.40,11305703
2019-04-26,330.0,335.70,322.29,325.45,321.39,4908166
2019-04-30,324.0,326.79,314.04,320.29,316.30,6026790
2019-05-02,322.89,329.39,321.60,324.20,320.16,7779750
2019-05-03,324.45,333.85,324.45,331.45,327.32,9718936
2019-05-06,331.45,336.39,326.5,333.45,329.29,14596079
2019-05-07,340.0,340.85,321.45,324.95,320.90,17408388
2019-05-08,324.85,327.45,320.10,324.5,320.45,4774792
2019-05-09,321.25,326.20,312.60,315.45,311.52,7850740
2019-05-10,318.89,328.39,315.20,324.10,320.06,7711197
2019-05-13,321.5,327.35,314.64,318.64,314.68,6498273
2019-05-14,316.0,339.70,315.20,336.60,332.40,10752770
2019-05-15,336.0,338.0,328.70,331.25,327.12,7639127
2019-05-16,332.0,333.29,321.04,325.20,321.14,4507071
2019-05-17,323.70,330.70,322.14,328.45,324.35,4042029
2019-05-20,332.04,341.95,331.0,340.10,335.86,7713557
2019-05-21,340.0,340.10,328.54,330.64,326.53,4237059
2019-05-22,331.0,337.95,328.64,335.14,330.97,6666818
2019-05-23,337.54,349.0,334.20,338.79,334.57,5349429
2019-05-24,340.04,356.0,340.0,353.20,348.79,9576934
2019-05-27,349.70,351.89,346.35,349.5,345.14,3930538
2019-05-28,348.75,351.70,341.70,345.60,341.29,8484214
2019-05-29,343.79,345.14,337.85,338.79,334.57,4497114
2019-05-30,340.0,349.54,339.54,346.70,342.38,13891400
2019-05-31,349.0,352.39,344.45,348.79,344.45,10825441
2019-06-03,351.5,355.75,348.85,352.75,348.35,5118048
