Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,3120.0,3128.89,3080.0,3103.05,2828.76,140863
2019-01-02,3100.0,3131.0,3081.19,3116.85,2841.34,152324
2019-01-03,3116.85,3177.0,3097.39,3135.89,2858.71,311498
2019-01-04,3137.94,3159.19,3105.55,3122.69,2846.68,170818
2019-01-07,3137.10,3155.0,3125.0,3143.80,2865.91,152966
2019-01-08,3155.0,3155.0,3080.0,3089.55,2816.46,217274
2019-01-09,3114.0,3119.85,3081.0,3092.64,2819.28,257227
2019-01-10,3100.0,3100.0,3073.0,3088.94,2815.91,229690
2019-01-11,3090.0,3116.75,3079.60,3096.85,2823.11,353709
2019-01-14,3102.0,3124.0,3063.0,3113.64,2838.43,154975
2019-01-15,3120.14,3199.89,3095.0,3183.89,2902.47,278642
2019-01-16,3184.0,3204.89,3145.0,3175.75,2895.04,182044
2019-01-17,3181.0,3212.0,3175.05,3207.10,2923.62,154540
2019-01-18,3214.85,3217.35,3134.25,3171.35,2891.03,161433
2019-01-21,3170.0,3198.55,3136.5,3148.39,2870.10,174710
2019-01-22,3150.0,3174.94,3130.14,3153.64,2874.89,156085
2019-01-23,3177.0,3229.0,3161.05,3203.85,2920.65,286992
2019-01-24,3217.0,3225.0,3190.55,3216.85,2932.51,148520
2019-01-25,3221.0,3270.0,3193.05,3206.64,2923.21,325166
2019-01-28,3210.5,3222.0,3131.0,3203.44,2920.29,216799
2019-01-29,3197.0,3197.0,3152.5,3180.05,2898.96,179979
2019-01-30,3197.0,3222.0,3180.10,3208.80,2925.17,116521
2019-01-31,3231.94,3231.94,3189.19,3197.69,2915.05,255273
2019-02-01,3201.0,3286.0,3201.0,3251.0,2963.64,387188
2019-02-04,3251.35,3280.39,3228.19,3266.0,2977.31,140277
2019-02-05,3278.0,3316.0,3150.10,3167.05,2887.11,503959
2019-02-06,3188.5,3199.94,3105.05,3181.39,2900.19,313476
2019-02-07,3210.0,3230.0,3174.10,3214.10,2930.00,374133
2019-02-08,3138.5,3210.0,3095.0,3110.0,2835.10,640983
2019-02-11,3120.0,3132.30,3055.30,3107.55,2832.87,265355
2019-02-12,3105.0,3107.0,3001.0,3008.60,2742.66,515301
2019-02-14,2915.0,2949.0,2900.0,2924.60,2666.09,288540
2019-02-15,2945.0,2945.0,2846.0,2858.35,2605.69,374811
2019-02-18,2860.0,2939.0,2759.0,2911.69,2654.33,700981
2019-02-19,2910.19,2975.94,2851.0,2873.55,2619.55,484180
2019-02-20,2884.0,2930.0,2884.0,2922.30,2663.99,271061
2019-02-21,2943.94,3018.0,2935.0,3001.60,2736.28,724297
2019-02-22,3008.0,3057.30,2972.69,3012.80,2746.49,313430
2019-02-25,3013.19,3077.0,2982.0,3048.19,2778.76,336072
2019-02-26,3056.0,3092.94,3018.25,3073.5,2801.83,568492
2019-02-27,3080.0,3108.94,3023.35,3058.60,2788.24,393442
2019-02-28,3071.0,3098.60,3032.89,3056.89,2786.69,447041
2019-03-01,3083.0,3090.35,3062.30,3077.25,2805.24,217420
2019-03-05,3065.19,3100.25,3060.0,3068.85,2797.59,246280
2019-03-06,3086.94,3086.94,3009.0,3026.85,2759.30,383038
2019-03-07,3045.0,3069.0,3028.69,3043.85,2774.80,254411
2019-03-08,3041.0,3079.5,3021.0,3071.19,2799.73,190651
2019-03-11,3086.0,3139.5,3066.5,3133.44,2856.48,336189
2019-03-12,3165.89,3178.80,3120.89,3135.14,2858.03,413123
