Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,520.0,524.0,518.65,523.04,509.21,1361809
2019-01-02,521.90,522.5,513.15,514.54,500.94,1243067
2019-01-03,516.5,520.5,511.20,512.40,498.84,2086150
2019-01-04,513.0,514.90,508.04,512.79,499.23,1651456
2019-01-07,516.0,517.75,510.29,514.04,500.45,1168002
2019-01-08,516.0,517.20,511.25,513.65,500.06,1765015
2019-01-09,515.54,516.75,507.5,510.10,496.60,1929305
2019-01-10,509.0,514.90,509.0,513.25,499.67,1252439
2019-01-11,513.40,519.0,508.25,510.20,496.70,2051418
2019-01-14,510.20,514.0,505.60,511.95,498.40,1472415
2019-01-15,514.5,515.34,509.5,514.95,501.32,1177377
2019-01-16,515.0,515.95,509.0,511.5,497.97,1446921
2019-01-17,512.5,514.95,507.60,509.60,496.12,1598184
2019-01-18,510.20,513.0,507.29,509.39,495.92,1502360
2019-01-21,510.0,514.20,508.20,509.25,495.78,1150380
2019-01-22,510.0,511.39,502.45,507.10,493.68,1455953
2019-01-23,510.0,511.70,507.10,509.29,495.82,1358623
2019-01-24,510.0,510.70,496.10,500.70,487.45,1620195
2019-01-25,502.10,508.60,501.35,507.64,494.22,1193442
2019-01-28,509.0,509.0,489.10,492.14,479.13,3215535
2019-01-29,489.10,507.54,483.75,505.04,491.69,2675481
2019-01-30,504.95,507.10,497.70,505.79,492.42,1524621
2019-01-31,506.0,519.84,504.25,517.29,503.61,2203919
2019-02-01,517.65,522.54,512.5,521.34,507.56,1380838
2019-02-04,521.0,521.0,506.20,509.60,496.12,1480952
2019-02-05,506.54,514.0,501.20,508.0,494.56,4358002
2019-02-06,510.5,546.70,504.10,534.95,520.80,8775759
2019-02-07,537.09,546.59,528.15,532.90,518.80,4417618
2019-02-08,532.84,543.70,531.20,534.25,520.11,2747159
2019-02-11,538.70,545.90,535.84,543.29,528.92,2989919
2019-02-12,540.04,545.70,536.09,543.29,528.92,2252766
2019-02-14,542.90,556.0,537.40,542.90,528.54,2766535
2019-02-15,540.0,551.40,528.5,540.54,526.25,2491806
2019-02-18,542.0,545.04,532.29,541.15,526.83,1590101
2019-02-19,544.79,545.0,536.75,539.65,525.37,1879600
2019-02-20,540.20,543.20,538.65,541.09,526.78,1208930
2019-02-21,542.84,547.90,540.5,545.5,531.07,1093548
2019-02-22,543.79,546.09,539.09,541.29,526.98,1592112
2019-02-25,541.5,550.84,541.0,548.29,533.79,1961905
2019-02-26,545.09,553.65,538.04,550.40,535.84,1952961
2019-02-27,551.0,555.34,544.25,551.90,537.30,2389977
2019-02-28,555.0,558.29,546.0,554.54,539.88,2618486
2019-03-01,555.0,555.29,547.40,551.54,536.96,2430914
2019-03-05,550.0,551.5,546.54,548.65,534.13,1644098
2019-03-06,551.0,552.0,541.95,547.54,533.06,1587182
2019-03-07,547.65,550.0,539.65,541.34,527.03,1144534
2019-03-08,541.0,543.40,538.25,539.95,525.66,2618767
2019-03-11,542.0,542.0,535.5,540.09,525.81,2342102
2019-03-12,541.90,543.65,537.29,538.75,524.50,2049339
2019-03-13,542.0,542.5,531.0,532.79,518.70,1582245
2019-03-14,532.04,534.09,530.5,532.75,518.65,1490894
2019-03-15,534.09,535.40,528.95,532.59,518.51,2019240
2019-03-18,533.04,535.79,529.0,534.5,520.36,1266863
2019-03-19,537.15,537.70,530.20,533.65,519.53,874797
2019-03-20,532.0,534.79,531.09,533.25,519.14,1255306
2019-03-22,534.90,539.0,523.59,526.79,512.86,1579084
2019-03-25,525.59,528.70,516.20,526.84,512.91,1874898
2019-03-26,528.5,532.5,525.70,529.29,515.30,3044792
2019-03-27,531.40,533.59,524.04,525.5,511.60,1217387
2019-03-28,525.29,527.34,522.29,525.59,511.69,4133379
2019-04-01,516.29,528.75,516.29,525.65,511.74,4091454
2019-04-02,529.95,529.95,521.15,522.65,508.82,1268431
2019-04-03,523.0,524.79,519.09,520.45,506.68,3276338
2019-04-04,519.0,522.0,517.5,521.0,507.21,5555991
2019-04-05,531.40,541.0,526.0,532.09,518.02,9784780
2019-04-08,536.5,536.90,522.70,525.40,511.50,2429845
2019-04-09,526.25,534.5,525.40,532.0,517.92,2301681
2019-04-10,531.54,551.75,530.79,546.45,531.99,5992326
2019-04-11,546.34,554.70,542.0,544.84,530.43,2977870
2019-04-12,547.95,556.70,545.29,554.84,540.17,4347530
2019-04-15,555.0,569.20,552.0,566.29,551.32,2252373
2019-04-16,570.0,571.75,556.59,559.34,544.55,2246831
2019-04-18,562.0,566.65,553.20,561.54,546.69,2306549
2019-04-22,560.0,566.0,556.59,561.09,546.25,1205612
2019-04-23,562.5,575.95,560.40,561.70,546.84,2179959
2019-04-24,561.40,564.5,553.20,558.54,543.77,1896565
2019-04-25,558.70,563.95,551.15,555.59,540.90,2416194
2019-04-26,558.25,572.90,557.20,567.95,552.92,2593397
2019-04-30,569.90,571.04,558.65,565.0,550.05,1914026
2019-05-02,563.0,569.70,556.70,565.59,550.64,1700976
2019-05-03,568.0,573.0,561.65,564.5,549.56,2758638
2019-05-06,556.0,564.5,556.0,563.34,548.44,1715311
2019-05-07,564.0,566.29,555.15,557.95,543.19,1478212
2019-05-08,556.0,561.40,549.0,558.0,543.24,1890174
2019-05-09,559.90,561.04,548.70,557.75,542.99,1672967
2019-05-10,557.75,562.70,551.0,555.54,540.85,1687480
2019-05-13,552.0,556.75,529.59,546.70,532.23,2027570
2019-05-14,546.0,560.75,541.20,556.0,541.29,1822829
2019-05-15,554.0,562.5,551.5,555.70,541.00,1396473
2019-05-16,554.0,556.70,541.04,550.20,535.64,2589467
2019-05-17,549.0,551.95,541.0,544.15,529.75,1194005
2019-05-20,560.0,567.0,550.40,565.45,550.49,1586746
2019-05-21,565.45,580.0,552.75,559.34,544.55,4286383
2019-05-22,562.0,574.0,550.04,553.0,538.37,7762734
2019-05-23,561.90,568.90,543.75,564.75,549.81,5640728
2019-05-24,569.20,572.5,559.45,570.59,555.50,1796355
2019-05-27,570.0,586.0,568.0,578.70,563.39,1959075
2019-05-28,579.0,584.20,571.5,577.95,562.66,2469586
2019-05-29,577.40,582.45,559.90,564.34,549.42,1948077
2019-05-30,560.09,563.5,554.25,561.95,547.08,2577559
2019-05-31,562.70,569.0,550.84,558.84,544.06,1912387
2019-06-03,559.0,569.45,552.5,568.25,553.21,1284381
2019-06-04,564.0,575.0,561.09,562.65,547.76,1558827
2019-06-06,565.0,568.29,556.54,559.79,544.99,1750285
2019-06-07,565.0,565.0,542.0,549.5,534.96,2696228
2019-06-10,550.59,562.59,550.0,554.54,539.88,1708042
2019-06-11,555.40,566.40,551.0,559.84,545.04,2518184
2019-06-12,558.90,567.0,556.25,561.59,546.74,1253337
2019-06-13,560.04,566.59,559.25,564.59,549.66,1594956
2019-06-14,560.15,564.45,554.15,555.59,540.90,1808363
2019-06-17,555.5,556.59,543.84,545.15,530.73,1267159
2019-06-18,545.20,555.5,545.04,547.59,533.11,1257992
2019-06-19,550.59,551.90,532.54,533.70,519.58,1137906
2019-06-20,531.79,552.45,528.65,551.29,536.71,1986432
2019-06-21,549.84,553.79,545.20,551.54,536.96,1534007
2019-06-24,548.54,552.45,545.09,549.90,535.35,981017
