Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,241.0,242.44,240.25,241.5,149.28,2227003
2019-01-02,240.89,241.44,236.05,236.69,146.31,3897893
2019-01-03,238.69,238.69,233.19,235.0,145.26,5664136
2019-01-04,234.10,237.69,233.75,236.5,146.19,2885669
2019-01-07,238.0,238.0,233.5,234.5,144.95,7347326
2019-01-08,234.5,235.14,232.14,233.30,144.21,4206563
2019-01-09,234.19,234.85,231.80,232.64,143.81,2954253
2019-01-10,233.80,233.94,232.05,233.0,144.02,2292058
2019-01-11,233.69,233.75,231.5,232.25,143.56,2446815
2019-01-14,232.39,232.5,229.05,230.89,142.72,2273231
2019-01-15,231.5,233.60,231.05,232.64,143.81,2323323
2019-01-16,232.80,233.39,231.55,232.05,143.44,2050899
2019-01-17,232.75,232.75,230.39,232.05,143.44,3220136
2019-01-18,232.14,232.55,229.60,230.0,142.17,2944908
2019-01-21,230.44,231.25,228.14,229.0,141.55,1904575
2019-01-22,228.44,230.35,225.80,227.75,140.78,4564028
2019-01-23,227.80,228.0,225.25,225.55,139.42,2328748
2019-01-24,225.69,226.25,223.0,223.85,138.37,2838220
2019-01-25,224.25,226.19,220.10,220.94,136.57,3432012
2019-01-28,221.25,227.5,218.05,225.19,139.20,3917992
2019-01-29,225.39,225.85,221.14,222.55,137.56,3850399
2019-01-30,222.0,228.0,220.55,225.19,139.20,7349253
2019-01-31,226.5,227.5,223.05,224.64,138.86,15389786
2019-02-01,224.35,226.69,222.75,223.19,137.97,2820146
2019-02-04,223.30,224.19,220.05,222.10,137.29,3417620
2019-02-05,222.0,223.39,215.69,216.39,133.76,5557034
2019-02-06,216.5,220.69,216.35,219.94,135.96,3707342
2019-02-07,220.80,224.64,220.14,224.19,138.58,3111207
2019-02-08,223.89,225.64,217.60,218.64,135.15,2962142
2019-02-11,217.69,220.35,214.14,218.80,135.25,4580373
2019-02-12,219.80,223.89,219.35,223.05,137.87,7857592
2019-02-14,217.0,219.69,211.39,217.19,134.26,14953813
2019-02-15,219.89,221.5,214.69,219.94,135.96,11511255
2019-02-18,218.0,218.0,214.80,215.14,132.99,3651021
2019-02-19,215.25,218.94,213.55,214.25,132.43,5288764
2019-02-20,214.80,216.39,213.55,214.94,132.87,6637981
2019-02-21,215.05,215.69,213.19,213.69,132.09,4081685
2019-02-22,214.85,216.89,213.44,214.94,132.87,5229408
2019-02-25,216.0,216.69,212.69,214.35,132.49,9386982
2019-02-26,213.30,222.0,213.0,220.14,136.08,11886116
2019-02-27,221.5,224.39,219.60,221.44,136.88,8604781
2019-02-28,223.5,229.89,222.14,228.30,141.12,32625237
2019-03-01,228.80,233.0,226.60,232.64,143.81,9526492
2019-03-05,233.39,242.0,232.69,241.14,149.06,9391114
2019-03-06,241.14,246.19,238.0,242.75,150.05,9535153
2019-03-07,243.0,243.0,233.35,235.0,145.26,7181084
2019-03-08,233.10,237.5,229.60,234.89,145.20,12803612
2019-03-11,236.69,245.0,235.25,243.39,150.45,19931174
2019-03-12,245.0,246.89,241.19,242.94,150.17,9766818
2019-03-13,242.0,242.0,233.80,238.64,147.52,17949230
2019-03-14,240.89,244.10,238.5,243.19,150.33,13627811
2019-03-15,238.85,246.14,238.0,244.35,151.04,16465364
2019-03-18,243.94,245.60,242.0,244.19,150.95,5518089
2019-03-19,244.55,247.89,241.35,242.89,150.14,10839789
2019-03-20,244.60,244.60,236.0,237.0,146.50,20268896
2019-03-22,232.69,233.80,230.0,231.94,147.00,14139706
2019-03-25,233.0,239.44,231.35,237.19,150.33,7458064
2019-03-26,237.25,242.75,234.30,236.44,149.85,7475564
2019-03-27,236.39,238.10,233.60,234.44,148.59,4777913
2019-03-28,234.39,237.64,232.75,236.10,149.63,20584925
2019-04-01,238.10,238.10,231.5,236.39,149.82,13985622
2019-04-02,238.94,239.5,235.55,236.39,149.82,7356923
2019-04-03,236.5,236.94,233.0,234.10,148.37,5120392
2019-04-04,235.0,235.55,232.55,234.80,148.81,3948463
2019-04-05,235.0,236.19,233.69,234.69,148.75,3044309
2019-04-08,235.0,236.19,231.60,232.94,147.64,4374595
2019-04-09,233.0,239.5,232.30,238.39,151.09,9383394
2019-04-10,238.89,242.89,238.39,240.05,152.14,8657560
2019-04-11,240.10,241.60,238.60,240.94,152.71,3347291
2019-04-12,242.0,242.0,239.44,240.80,152.61,3442878
2019-04-15,244.0,251.94,243.25,250.0,158.44,15659370
2019-04-16,252.0,256.70,248.05,251.60,159.46,71315879
2019-04-18,251.75,252.89,249.60,251.44,159.36,7981706
2019-04-22,251.44,252.5,248.94,252.05,159.74,4703770
2019-04-23,251.0,256.10,251.0,255.5,161.93,7446838
2019-04-24,256.0,258.29,253.39,254.0,160.98,14221692
2019-04-25,254.85,255.19,248.30,251.64,159.49,20305140
2019-04-26,253.5,255.5,250.0,250.5,158.76,2428140
2019-04-30,250.5,253.5,246.60,252.14,159.81,6190464
2019-05-02,251.60,254.89,250.44,252.35,159.93,5411707
2019-05-03,253.05,256.0,251.30,252.10,159.77,5010129
2019-05-06,250.10,253.19,248.05,251.35,159.30,3270067
2019-05-07,252.0,255.25,247.69,248.80,157.68,4320204
2019-05-08,249.60,252.10,248.55,249.10,157.87,4215463
2019-05-09,249.10,250.64,241.14,242.30,153.56,6993406
2019-05-10,242.0,244.94,240.0,241.25,152.90,5294698
2019-05-13,241.75,242.89,237.60,242.10,153.44,3539800
2019-05-14,241.0,243.0,238.80,241.80,153.25,3301180
2019-05-15,241.75,242.39,233.44,235.10,149.00,5134147
2019-05-16,235.14,236.69,229.55,232.14,147.13,4788978
2019-05-17,233.10,238.0,232.35,236.14,149.66,7517604
2019-05-20,241.89,242.89,235.80,237.69,150.65,6976701
2019-05-21,239.69,241.44,234.5,237.19,150.33,5817365
2019-05-22,237.64,242.0,237.10,241.25,152.90,3916767
2019-05-23,243.0,245.0,239.69,244.14,154.73,4979182
2019-05-24,244.75,245.94,241.39,244.89,155.21,2407824
2019-05-27,244.89,246.44,243.10,244.10,154.70,1947123
2019-05-28,244.89,251.80,244.44,250.69,158.89,13294021
2019-05-29,249.89,251.60,247.44,250.69,158.89,3325742
2019-05-30,251.94,255.25,249.10,252.94,160.31,16592348
2019-05-31,261.0,262.95,252.19,253.5,160.66,22235393
2019-06-03,255.0,261.89,253.19,260.89,165.35,6895062
2019-06-04,258.79,264.14,258.10,263.39,166.94,6111033
2019-06-06,263.89,271.45,263.64,269.14,170.58,11211307
2019-06-07,269.10,269.70,263.60,265.54,168.30,4860923
2019-06-10,267.0,268.0,257.70,259.29,164.34,4916941
2019-06-11,260.39,262.45,257.54,258.75,163.99,4303321
2019-06-12,258.70,258.89,255.39,257.0,162.88,3093642
2019-06-13,256.0,258.70,253.60,255.60,161.99,3433631
2019-06-14,255.35,256.89,253.44,255.14,161.71,2805760
2019-06-17,255.0,257.64,250.69,255.30,161.80,5008880
2019-06-18,255.44,260.89,255.25,260.35,165.00,4171426
2019-06-19,260.5,262.60,255.14,257.04,162.91,2982858
2019-06-20,256.0,261.0,256.0,260.35,165.00,3042607
2019-06-21,260.0,265.35,251.89,254.25,161.14,20185830
2019-06-24,255.89,258.25,253.35,256.75,162.72,2633348
2019-06-25,255.0,259.0,254.55,258.35,163.73,2590646
2019-06-26,257.89,263.25,257.14,260.29,164.97,4030718
2019-06-27,259.25,261.70,258.0,259.39,164.40,13174124
2019-06-28,259.45,260.79,253.0,253.80,160.85,4626498
2019-07-01,254.25,256.39,248.0,249.25,157.97,4839632
2019-07-02,248.30,253.0,247.10,252.69,160.15,3955456
2019-07-03,252.69,254.14,250.30,250.94,159.04,2828456
2019-07-04,251.35,252.85,249.44,251.10,159.14,2555817
2019-07-05,251.5,253.19,240.85,241.89,153.31,4271783
2019-07-08,241.39,241.44,230.44,232.39,147.29,4588708
2019-07-09,232.5,235.19,228.19,229.60,145.51,9158261
2019-07-10,231.39,234.5,230.05,233.35,147.89,5900374
2019-07-11,235.0,235.75,232.60,234.89,148.87,4033341
2019-07-12,234.89,236.35,229.30,231.25,146.56,6741721
2019-07-15,231.0,231.69,228.25,230.39,146.02,3265924
2019-07-16,229.44,233.64,229.35,232.80,147.54,3739400
2019-07-17,232.0,234.14,229.0,230.0,145.77,5404435
2019-07-18,230.0,230.89,219.5,220.30,139.62,8729774
2019-07-19,222.0,224.05,217.39,221.89,140.63,19100281
2019-07-22,222.80,223.14,216.35,221.39,140.32,5607789
2019-07-23,222.0,222.89,217.0,218.05,138.19,4983571
2019-07-24,218.39,219.44,215.39,216.85,137.43,4877895
2019-07-25,217.64,217.64,208.10,209.05,132.49,19251346
2019-07-26,209.0,212.94,205.5,210.64,133.50,10490177
2019-07-29,210.64,212.60,204.5,205.39,130.18,11715160
2019-07-30,205.60,206.80,198.0,199.55,126.47,10527314
2019-07-31,199.19,206.0,197.05,204.44,129.57,10992207
2019-08-01,205.25,205.25,200.5,202.44,128.31,6018424
2019-08-02,200.89,201.05,195.35,197.19,124.98,6376599
2019-08-05,196.0,202.89,193.10,200.60,127.13,8942376
2019-08-06,198.55,207.75,198.55,205.10,129.99,12536563
2019-08-07,204.19,209.10,201.75,206.10,130.62,9270695
2019-08-08,206.14,213.30,204.85,211.85,134.26,8622272
2019-08-09,213.89,214.0,207.0,207.60,131.57,7027377
2019-08-13,207.89,211.44,202.5,203.75,129.13,6907370
2019-08-14,208.5,208.5,195.64,200.5,127.07,16687905
2019-08-16,200.0,202.85,199.69,201.94,127.99,12556891
2019-08-19,202.69,203.10,198.55,198.94,126.09,5848151
2019-08-20,199.39,199.5,194.39,195.30,123.77,7496337
2019-08-21,195.0,195.44,188.10,188.80,119.65,10788976
2019-08-22,188.0,188.44,177.69,180.85,114.62,13370852
2019-08-23,180.85,189.39,180.14,188.0,119.15,11447263
