Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,361.5,364.79,356.39,363.75,356.70,7759872
2019-01-02,361.5,367.89,360.29,364.60,357.54,18243156
2019-01-03,365.0,367.29,362.04,363.25,356.21,12884409
2019-01-04,361.85,368.79,358.04,365.20,358.13,22896026
2019-01-07,367.5,371.0,366.54,367.70,360.58,12719847
2019-01-08,367.79,381.79,366.60,380.14,372.79,21501136
2019-01-09,381.64,383.54,375.60,382.25,374.85,21730142
2019-01-10,380.95,382.14,376.04,379.5,372.15,14497154
2019-01-11,380.60,381.20,375.25,378.54,371.22,12537973
2019-01-14,378.70,378.70,372.70,373.35,366.12,14844029
2019-01-15,373.54,375.39,370.60,372.75,365.53,12960779
2019-01-16,372.04,379.75,372.04,375.29,368.03,15106484
2019-01-17,376.0,377.95,372.79,374.60,367.34,13171721
2019-01-18,374.60,376.39,370.35,372.0,364.79,12212121
2019-01-21,373.0,376.14,370.60,371.70,364.50,8908581
2019-01-22,370.54,372.5,366.10,369.04,361.90,14756076
2019-01-23,368.79,373.70,366.45,367.39,360.28,9726450
2019-01-24,366.60,368.5,361.75,364.79,357.73,17521254
2019-01-25,362.35,364.64,354.54,357.20,350.28,22978238
2019-01-28,353.20,354.89,336.64,343.54,336.90,34362360
2019-01-29,342.95,350.10,341.35,346.85,340.13,20738442
2019-01-30,351.0,368.60,351.0,365.89,358.81,39400056
2019-01-31,372.70,376.64,354.10,364.45,357.39,85917249
2019-02-01,364.5,364.89,348.75,354.64,347.78,25605469
2019-02-04,351.0,356.89,346.0,354.54,347.68,17039321
2019-02-05,354.60,356.10,348.85,352.64,345.82,12197271
2019-02-06,353.60,361.89,353.20,359.29,352.34,15396216
2019-02-07,359.10,361.79,356.5,358.64,351.70,10247434
2019-02-08,356.89,358.39,350.75,355.10,348.22,9308651
2019-02-11,354.60,354.70,349.04,350.04,343.27,9419635
2019-02-12,349.0,352.0,343.25,344.29,337.63,14924394
2019-02-14,339.85,346.85,336.14,343.95,337.29,15172596
2019-02-15,344.04,347.75,340.60,342.14,335.52,20316848
2019-02-18,342.20,343.0,337.54,338.75,332.19,10601490
2019-02-19,339.10,350.39,339.10,343.25,336.60,14384763
2019-02-20,345.0,347.60,342.35,345.20,338.51,9474758
2019-02-21,346.79,354.95,346.25,351.29,344.50,18631331
2019-02-22,351.39,354.10,351.29,352.04,345.23,10997730
2019-02-25,353.04,357.45,353.04,355.60,348.71,10344411
2019-02-26,350.0,352.70,346.60,348.20,341.46,18096382
2019-02-27,351.0,354.70,343.29,345.54,338.86,17325417
2019-02-28,348.45,351.75,345.0,350.14,343.37,18347113
2019-03-01,352.04,355.0,350.64,354.25,347.39,14190221
2019-03-05,355.0,364.14,352.79,363.25,356.21,17638277
2019-03-06,365.25,372.85,365.25,371.95,364.75,31436190
2019-03-07,371.5,374.0,368.5,370.79,363.62,15355303
2019-03-08,369.79,373.39,367.64,370.60,363.42,16143455
2019-03-11,371.79,378.39,370.0,375.85,368.57,11449587
2019-03-12,378.0,389.0,377.35,388.20,380.68,37108265
2019-03-13,387.89,393.25,384.29,391.89,384.31,19574619
2019-03-14,392.0,393.0,386.79,387.89,380.39,13182462
2019-03-15,388.85,398.25,388.10,395.29,387.64,31466545
2019-03-18,396.25,399.89,393.5,398.04,390.34,21220626
2019-03-19,398.39,400.95,393.89,398.39,390.68,11670392
2019-03-20,397.60,398.14,392.20,392.89,385.29,14181408
2019-03-22,394.45,396.29,390.0,391.79,384.21,17409249
2019-03-25,387.95,387.95,382.5,383.5,376.07,12345034
2019-03-26,384.95,395.5,383.39,394.10,386.47,14063632
2019-03-27,395.39,398.45,390.14,393.20,385.58,17950017
2019-03-28,392.75,401.89,392.75,400.54,392.79,23117485
2019-04-01,401.45,409.54,395.75,398.25,390.54,16106604
2019-04-02,400.0,400.0,393.45,397.14,389.46,13010810
2019-04-03,399.0,402.79,390.64,392.10,384.51,12317200
2019-04-04,394.39,395.70,387.29,388.75,381.22,14521564
2019-04-05,389.25,392.5,385.60,390.54,382.99,10853927
2019-04-08,391.45,391.45,385.0,387.10,379.60,6305407
2019-04-09,387.39,398.35,387.14,397.14,389.46,13206348
2019-04-10,395.54,398.79,392.70,394.20,386.57,14000018
2019-04-11,394.5,394.5,387.54,390.04,382.50,8704774
2019-04-12,390.60,395.54,388.25,394.60,386.96,7035256
2019-04-15,394.20,396.95,391.79,392.75,385.14,9770752
