Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,282.20,283.54,279.79,282.70,234.29,2490548
2019-01-02,282.25,283.25,277.54,280.60,232.55,9934187
2019-01-03,280.60,282.45,277.75,278.85,231.10,6114946
2019-01-04,279.14,282.95,279.14,280.95,232.84,7805148
2019-01-07,284.29,285.25,281.0,281.64,233.42,9757529
2019-01-08,282.0,285.5,281.35,284.25,235.58,7480522
2019-01-09,285.60,291.70,284.60,290.39,240.67,12182118
2019-01-10,290.75,293.70,288.89,289.60,240.01,10288580
2019-01-11,291.89,296.0,291.5,295.35,244.78,16773035
2019-01-14,294.5,294.79,290.0,294.29,243.91,6400147
2019-01-15,295.25,297.39,294.0,296.54,245.77,7213165
2019-01-16,296.0,296.54,291.70,294.04,243.70,7784035
2019-01-17,294.10,295.60,290.14,293.95,243.62,10601100
2019-01-18,293.25,295.10,290.64,291.45,241.54,10994807
2019-01-21,292.85,293.20,288.70,289.89,240.26,8203333
2019-01-22,289.85,291.0,285.14,289.75,240.14,10329563
2019-01-23,291.5,294.39,275.0,277.29,229.82,40188183
2019-01-24,279.29,283.35,277.85,278.89,231.14,28026449
2019-01-25,280.0,282.70,278.5,279.20,231.39,8897906
2019-01-28,278.89,279.45,274.20,274.75,227.70,8992136
2019-01-29,275.29,279.0,274.75,278.45,230.77,6998389
2019-01-30,280.10,280.20,274.20,275.5,228.33,10449713
2019-01-31,276.5,279.60,273.60,278.64,230.94,15346406
2019-02-01,280.64,285.20,279.10,280.85,232.76,18353829
2019-02-04,281.89,281.89,276.04,277.10,229.65,6056619
2019-02-05,277.35,277.79,272.5,274.14,227.21,9827060
2019-02-06,275.0,278.39,274.54,277.70,230.15,8097580
2019-02-07,277.89,281.0,277.0,280.29,232.30,5947966
2019-02-08,279.5,281.20,274.60,275.5,228.33,4405887
2019-02-11,275.79,278.20,268.45,277.10,229.65,9952322
2019-02-12,277.04,280.5,274.60,275.29,228.16,7341352
2019-02-14,277.0,280.20,277.0,277.89,230.31,9993785
2019-02-15,279.0,280.95,275.39,280.10,232.14,37552143
2019-02-18,278.79,282.45,273.89,274.70,227.66,40666405
2019-02-19,274.0,279.20,274.0,275.89,228.66,34451117
2019-02-20,277.25,277.5,274.25,275.85,228.62,5977880
2019-02-21,275.89,276.75,274.20,275.04,227.95,6995026
2019-02-22,275.60,275.95,273.10,274.29,227.33,8763445
2019-02-25,274.5,277.14,273.0,276.70,229.32,30047503
2019-02-26,274.95,277.0,274.04,275.5,228.33,11779606
2019-02-27,276.0,278.89,273.89,275.10,227.99,13128412
2019-02-28,277.29,277.29,274.25,276.04,228.78,43208896
2019-03-01,276.45,279.0,276.25,278.20,230.56,8830848
2019-03-05,280.0,284.0,276.04,282.54,234.17,13580306
2019-03-06,285.0,289.20,284.75,285.75,236.82,20045621
2019-03-07,286.70,291.0,285.85,290.10,240.43,14287507
2019-03-08,290.29,293.0,288.39,292.0,242.00,12681454
2019-03-11,293.0,294.89,291.10,292.95,242.79,14720968
2019-03-12,294.0,295.64,293.14,294.5,244.07,14142103
2019-03-13,295.0,297.0,294.14,294.89,244.40,11070294
2019-03-14,295.39,296.0,290.45,295.5,244.90,10113962
2019-03-15,295.95,296.54,289.35,290.79,241.01,21395473
2019-03-18,292.0,294.20,291.29,293.54,243.29,9166882
2019-03-19,294.60,300.0,293.35,299.45,248.17,15756420
2019-03-20,300.0,301.95,296.60,298.89,247.72,15619922
2019-03-22,300.0,300.0,296.54,298.20,247.14,8067384
2019-03-25,297.0,297.0,293.20,295.04,244.53,8015871
2019-03-26,295.0,296.35,291.04,293.39,243.16,10763629
2019-03-27,294.0,296.70,291.60,293.10,242.91,8432517
2019-03-28,294.10,302.0,293.0,300.0,248.63,17752380
2019-04-01,297.0,299.20,296.54,297.25,246.35,6203276
2019-04-02,297.39,300.0,294.64,297.89,246.89,9849417
2019-04-03,298.0,299.0,295.14,296.14,245.44,9064767
2019-04-04,296.0,297.29,293.75,294.79,244.32,6965053
2019-04-05,295.04,296.39,292.64,294.54,244.11,7806991
2019-04-08,294.64,295.0,291.70,292.75,242.62,5288853
2019-04-09,292.5,296.70,292.25,296.29,245.56,6175672
2019-04-10,296.04,296.54,293.5,294.70,244.24,5334642
2019-04-11,294.54,297.45,293.0,296.39,245.65,10764968
2019-04-12,296.64,307.39,295.60,305.75,253.40,21818291
2019-04-15,307.89,310.0,304.35,305.5,253.19,12612414
2019-04-16,306.79,309.95,306.14,307.20,254.60,9746168
2019-04-18,308.25,308.25,303.54,304.39,252.28,8838122
2019-04-22,303.85,305.5,301.04,301.79,250.12,6672456
2019-04-23,302.14,304.79,301.54,303.39,251.45,7496038
2019-04-24,303.39,307.20,298.5,306.45,253.98,11447878
2019-04-25,307.25,309.79,302.0,304.14,252.07,23240675
2019-04-26,304.60,306.39,302.54,304.54,252.40,4654775
2019-04-30,304.54,307.54,299.5,301.35,249.75,11163210
2019-05-02,301.10,306.5,300.60,305.0,252.77,7493271
2019-05-03,304.25,307.45,303.29,304.25,252.15,5885895
2019-05-06,304.0,307.5,300.75,307.0,254.43,6737627
2019-05-07,308.25,309.5,300.85,301.89,250.21,8655871
2019-05-08,300.0,303.39,298.64,300.64,249.17,7876031
2019-05-09,299.39,301.29,296.35,299.85,248.51,10223616
2019-05-10,300.0,300.45,296.89,297.75,246.77,6904657
2019-05-13,295.10,303.5,287.70,289.29,239.76,35880558
