Date,Open,High,Low,Close,Adj Close,Volume
2023-08-21,262.0,262.04,248.89,248.89,248.89,74715306
2023-08-22,236.44,236.44,236.44,236.44,236.44,7281398
2023-08-23,224.64,224.64,224.64,224.64,224.64,4289046
2023-08-24,213.44,213.44,213.44,213.44,213.44,27673350
2023-08-25,202.80,224.10,202.80,214.5,214.5,281040100
2023-08-28,213.35,222.25,207.55,211.14,211.14,87522120
2023-08-29,212.0,221.69,207.25,220.25,220.25,92693420
2023-08-30,224.89,231.25,224.69,231.25,231.25,21403170
2023-08-31,241.69,242.80,231.14,233.5,233.5,124122100
2023-09-01,235.0,245.14,234.19,245.14,245.14,39481020
2023-09-04,255.30,266.95,249.0,253.44,253.44,99246730
2023-09-05,257.0,260.0,253.0,255.05,255.05,47127070
2023-09-06,247.0,259.79,246.05,252.85,252.85,225413100
2023-09-07,252.0,257.29,251.25,251.80,251.80,43856830
2023-09-08,254.0,255.0,249.5,253.19,253.19,36090000
2023-09-11,256.95,257.70,250.0,250.14,250.14,24982850
2023-09-12,251.75,252.0,240.89,244.25,244.25,39500710
2023-09-13,244.80,247.80,236.60,240.19,240.19,27810990
2023-09-14,242.0,244.55,241.25,242.55,242.55,14055230
2023-09-15,243.80,244.64,237.64,239.39,239.39,27416100
2023-09-18,240.0,240.85,232.10,233.19,233.19,24694410
2023-09-20,230.39,232.0,229.0,229.64,229.64,18317600
2023-09-21,230.0,235.60,226.80,227.64,227.64,33101550
2023-09-22,227.94,232.25,226.35,227.80,227.80,38327550
2023-09-25,230.0,230.85,227.5,229.75,229.75,13392150
2023-09-26,231.10,231.69,230.0,230.39,230.39,8058261
2023-09-27,231.19,231.19,227.0,227.35,227.35,10984320
2023-09-28,228.0,228.85,224.75,225.05,225.05,9143582
2023-09-29,225.89,232.89,225.0,231.19,231.19,12411230
2023-10-03,231.5,233.89,230.55,231.39,231.39,13185430
2023-10-04,230.0,230.0,223.5,224.64,224.64,23296540
2023-10-05,225.89,227.89,224.19,225.39,225.39,13894930
2023-10-06,226.5,227.64,223.69,225.10,225.10,7531900
2023-10-09,223.0,223.0,218.85,219.64,219.64,9696908
2023-10-10,221.0,223.89,219.75,220.14,220.14,10451280
2023-10-11,222.0,227.69,220.60,225.10,225.10,11765080
2023-10-12,227.0,227.39,224.75,225.14,225.14,7780605
2023-10-13,224.0,225.89,222.0,224.55,224.55,10137210
2023-10-16,224.89,225.94,224.0,224.80,224.80,10850720
2023-10-17,231.5,233.0,220.5,220.94,220.94,34190040
2023-10-18,221.60,222.89,215.55,216.0,216.0,27712060
2023-10-19,216.0,216.0,209.05,214.19,214.19,42127110
2023-10-20,215.5,217.0,213.0,214.19,214.19,11101460
2023-10-23,214.0,214.19,204.25,206.60,206.60,17817780
2023-10-25,206.60,211.80,206.5,210.14,210.14,22079260
2023-10-26,208.0,217.0,206.44,215.85,215.85,23734030
2023-10-27,219.60,225.60,216.44,222.89,222.89,20929440
2023-10-30,224.5,226.19,218.14,219.0,219.0,13508660
2023-10-31,222.0,223.19,215.55,219.0,219.0,17538200
2023-11-01,216.0,222.05,215.30,217.64,217.64,15862620
2023-11-02,218.5,219.60,216.69,217.35,217.35,13261560
2023-11-03,219.0,220.64,217.64,219.05,219.05,8569115
2023-11-06,220.39,220.69,216.75,217.14,217.14,11494090
2023-11-07,217.89,218.80,216.5,217.19,217.19,7558170
2023-11-08,217.80,217.89,213.80,214.14,214.14,17101600
2023-11-09,214.85,217.69,214.85,215.14,215.14,17250090
2023-11-10,214.85,222.94,214.35,221.94,221.94,18467210
2023-11-13,223.0,225.89,222.25,224.75,224.75,12086990
2023-11-15,226.94,227.35,223.19,224.14,224.14,15782000
2023-11-16,225.5,229.30,223.85,226.94,226.94,17856030
2023-11-17,226.0,226.0,220.39,220.80,220.80,19607100
2023-11-20,221.75,221.75,215.05,215.5,215.5,20403360
