Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,308.89,308.89,302.5,303.95,267.47,3622654
2019-01-02,296.04,297.95,286.60,288.70,254.05,8855139
2019-01-03,287.5,290.60,280.29,282.64,248.73,10003388
2019-01-04,281.89,289.45,280.70,287.95,253.39,6070751
2019-01-07,292.29,295.25,288.14,289.85,255.07,7041362
2019-01-08,290.10,295.85,288.10,293.89,258.63,4528899
2019-01-09,295.0,296.79,286.54,290.75,255.86,5848215
2019-01-10,290.0,292.70,287.64,289.29,254.58,4352095
2019-01-11,289.75,294.14,286.45,288.79,254.14,4483554
2019-01-14,288.45,288.45,282.04,283.89,249.83,3756403
2019-01-15,285.0,293.0,282.29,292.10,257.05,6557577
2019-01-16,292.04,293.25,285.35,286.45,252.07,3752082
2019-01-17,287.5,290.54,285.79,289.0,254.32,4817690
2019-01-18,288.35,291.85,283.25,285.60,251.33,4210472
2019-01-21,285.89,288.95,283.95,284.60,250.45,2854706
2019-01-22,284.0,284.60,274.54,278.0,244.64,5006219
2019-01-23,278.0,284.89,277.20,280.89,247.19,4489030
2019-01-24,281.5,284.39,276.5,283.64,249.61,3705336
2019-01-25,284.60,285.5,273.25,274.64,241.69,5191436
2019-01-28,274.0,274.25,263.04,267.75,235.62,4518237
2019-01-29,267.54,273.0,265.25,270.95,238.43,4113613
2019-01-30,271.5,273.45,262.20,268.89,236.63,6941276
2019-01-31,271.0,275.85,266.60,274.60,241.65,4666551
2019-02-01,274.25,280.0,266.64,274.95,241.95,6496209
2019-02-04,275.45,276.45,267.64,273.5,240.68,4804512
2019-02-05,272.0,277.64,270.64,273.54,240.72,4726380
2019-02-06,274.39,282.89,271.5,279.29,245.78,5746435
2019-02-07,278.0,281.39,272.0,273.10,240.33,6252085
2019-02-08,271.60,273.0,260.35,262.85,231.31,5765740
2019-02-11,264.0,266.0,256.60,261.60,230.21,5228180
2019-02-12,261.54,274.5,257.5,271.75,239.14,12748459
2019-02-14,269.39,282.5,264.04,280.64,246.97,9767547
2019-02-15,279.95,279.95,265.45,266.89,234.87,10241930
2019-02-18,268.0,269.95,261.0,261.89,230.47,6612006
2019-02-19,262.60,271.75,261.0,266.85,234.83,8114832
2019-02-20,267.85,276.20,267.5,274.04,241.16,10302096
2019-02-21,276.0,279.0,273.39,277.04,243.80,8238650
2019-02-22,276.0,286.79,271.79,285.85,251.55,10779149
2019-02-25,286.35,293.79,286.35,287.79,253.26,12551599
2019-02-26,279.0,286.79,277.10,284.5,250.36,8622676
2019-02-27,287.39,291.45,282.0,284.0,249.92,7076524
2019-02-28,285.5,290.0,279.79,281.10,247.37,9337518
2019-03-01,284.39,285.10,280.70,282.10,248.25,7362711
2019-03-05,284.95,292.10,282.0,291.20,256.25,11469935
2019-03-06,292.70,294.0,286.75,289.95,255.15,6718322
2019-03-07,290.39,294.0,285.39,289.70,254.93,7010707
2019-03-08,288.20,289.39,284.20,286.39,252.03,5961633
2019-03-11,289.39,294.64,287.14,292.64,257.53,7863518
2019-03-12,294.04,298.0,290.04,291.79,256.78,8891811
2019-03-13,290.0,290.39,282.10,286.25,251.90,9122437
2019-03-14,286.35,289.79,284.0,286.89,252.47,5351600
2019-03-15,287.39,291.25,285.29,288.45,253.83,7053371
2019-03-18,290.0,296.0,286.54,294.95,259.55,7431744
2019-03-19,296.10,296.75,287.35,288.5,253.88,7444759
2019-03-20,290.0,290.0,281.04,282.29,248.42,9165038
2019-03-22,284.79,289.54,283.0,285.75,251.46,7325504
2019-03-25,282.0,282.0,276.0,278.79,245.34,6778846
2019-03-26,277.95,282.39,276.5,281.35,247.59,6247666
2019-03-27,283.0,289.25,281.5,287.5,253.00,6490731
2019-03-28,286.0,290.0,284.0,288.25,253.66,21745652
2019-04-01,297.45,300.0,290.5,292.29,257.22,7766553
2019-04-02,295.75,295.75,285.5,287.10,252.65,7105140
2019-04-03,290.0,294.5,288.5,289.89,255.11,6899752
2019-04-04,289.85,290.29,285.20,287.79,253.26,4338250
2019-04-05,288.45,295.75,288.10,294.25,258.94,5310432
2019-04-08,297.0,298.64,289.0,290.39,255.55,5645872
2019-04-09,290.95,293.0,285.64,291.54,256.56,3725301
2019-04-10,290.20,293.75,287.29,288.54,253.92,5316890
2019-04-11,288.0,289.70,285.04,287.0,252.56,3147541
2019-04-12,287.0,288.45,285.0,286.85,252.43,2486341
2019-04-15,288.0,293.79,287.20,292.14,257.09,4009776
2019-04-16,294.0,294.85,290.35,291.20,256.25,4394114
2019-04-18,291.20,301.29,286.5,299.14,263.25,7668228
2019-04-22,298.70,302.45,289.25,291.25,256.30,6083105
2019-04-23,293.04,294.60,287.29,288.29,253.70,3648863
2019-04-24,289.25,293.0,286.39,292.35,257.27,4200919
2019-04-25,291.5,294.5,285.5,286.60,252.21,4132700
2019-04-26,288.5,299.0,286.10,294.0,258.72,11729751
2019-04-30,294.5,309.89,290.85,308.35,271.35,12707875
2019-05-02,309.04,314.0,303.5,306.64,269.85,10375665
2019-05-03,308.0,310.45,305.10,308.85,271.79,5705828
2019-05-06,301.0,302.39,295.0,296.70,261.09,7433027
2019-05-07,301.0,302.20,287.0,288.10,253.53,6762525
2019-05-08,286.45,292.79,285.0,289.25,254.54,7900967
2019-05-09,288.0,290.5,280.35,285.45,251.19,7620385
2019-05-10,286.0,289.29,283.0,287.35,252.87,7076251
2019-05-13,286.0,286.89,273.45,276.89,243.67,4291656
2019-05-14,275.0,282.95,272.45,281.0,247.28,5277444
2019-05-15,281.0,281.70,266.95,268.5,236.28,6212125
2019-05-16,270.0,277.45,268.5,275.95,242.83,4697435
2019-05-17,275.45,277.70,271.54,276.39,243.23,3064045
2019-05-20,283.10,293.64,280.79,285.5,251.24,5009313
2019-05-21,284.85,286.5,277.5,279.39,245.87,4196280
2019-05-22,280.39,281.25,272.29,276.95,243.71,5052534
2019-05-23,284.0,289.89,274.5,275.95,242.83,5355880
2019-05-24,279.95,291.5,273.54,288.0,253.44,9795647
2019-05-27,281.0,289.29,277.04,287.75,253.22,9081309
2019-05-28,287.75,297.5,286.75,292.95,257.79,10338894
2019-05-29,292.0,295.70,279.70,280.54,246.88,7940056
2019-05-30,281.0,283.25,275.10,276.60,243.41,7941828
2019-05-31,278.25,279.79,269.60,271.70,239.09,7316925
2019-06-03,273.0,276.10,269.14,274.54,241.60,6265379
2019-06-04,274.0,276.0,272.39,274.20,241.29,4512003
2019-06-06,274.89,274.89,265.29,266.70,234.69,5090763
2019-06-07,267.0,270.0,261.60,262.39,230.91,5599533
2019-06-10,264.39,267.89,262.35,266.85,234.83,3704937
2019-06-11,268.0,274.5,265.29,273.35,240.55,4208927
2019-06-12,274.45,277.29,270.25,271.25,238.70,7380929
2019-06-13,272.0,275.0,265.64,274.35,241.43,5646873
2019-06-14,272.10,275.39,267.60,271.25,238.70,4349503
2019-06-17,271.0,271.0,259.0,260.20,228.97,8505525
2019-06-18,261.0,265.0,254.89,263.54,231.92,6059478
2019-06-19,264.0,267.64,256.0,260.54,229.28,7432697
2019-06-20,261.0,270.0,258.25,269.25,236.94,5160169
2019-06-21,265.95,268.95,264.25,267.14,235.09,6144176
2019-06-24,267.0,268.5,257.10,257.79,226.86,5807872
2019-06-25,254.39,268.29,252.64,267.04,235.00,9616552
2019-06-26,263.60,277.79,263.35,277.14,243.89,6924967
2019-06-27,276.95,280.79,275.54,277.35,244.07,7806500
2019-06-28,277.0,278.75,273.10,276.60,243.41,4088477
2019-07-01,278.54,281.79,273.85,275.75,242.66,3935030
2019-07-02,275.70,277.20,272.10,276.14,243.01,3233802
2019-07-03,276.0,279.79,273.75,277.39,244.11,3416371
2019-07-04,277.0,278.0,273.79,275.04,242.04,3266606
2019-07-05,275.75,278.70,265.04,266.64,234.65,4112441
2019-07-08,262.10,267.20,257.89,262.25,234.38,3816891
2019-07-09,262.0,265.5,260.5,262.35,238.20,3210950
2019-07-10,263.5,264.35,252.0,254.89,231.43,6051189
2019-07-11,259.29,268.10,257.85,267.29,242.69,11021639
2019-07-12,267.29,270.85,261.70,267.89,243.23,7690461
2019-07-15,267.39,272.75,263.70,270.95,246.00,4909761
2019-07-16,269.95,275.0,269.0,273.89,248.68,3794706
2019-07-17,272.0,275.0,268.79,271.89,246.87,3290727
2019-07-18,270.0,270.75,264.89,266.10,241.60,3627824
2019-07-19,267.29,269.20,258.20,259.04,235.20,3828583
2019-07-22,259.89,265.5,256.29,264.39,240.06,3426665
2019-07-23,266.0,266.0,259.79,263.29,239.06,3534413
2019-07-24,263.0,263.85,246.75,255.25,231.75,10491930
2019-07-25,254.80,257.89,247.80,248.64,225.76,6895024
2019-07-26,248.94,253.35,247.10,249.69,226.71,5386836
2019-07-29,245.85,246.25,236.85,241.39,219.17,7935024
2019-07-30,243.05,248.0,220.0,230.25,209.05,8938349
2019-07-31,228.35,238.30,226.10,237.44,215.59,5983362
2019-08-01,235.10,235.80,222.69,225.25,204.51,7768510
2019-08-02,223.0,230.44,217.80,225.14,204.42,11444553
2019-08-05,220.80,221.25,212.25,217.69,197.66,7681043
2019-08-06,214.60,221.44,214.14,217.55,197.52,6703116
2019-08-07,217.69,217.80,210.60,212.25,192.71,7073513
2019-08-08,213.30,222.85,208.75,221.69,201.29,8752577
2019-08-09,221.69,228.44,219.30,220.60,200.29,9077239
2019-08-13,217.60,224.44,216.44,220.14,199.88,6628569
2019-08-14,222.60,229.89,220.75,227.75,206.78,6940915
2019-08-16,226.35,228.94,221.60,227.14,206.24,6083438
2019-08-19,228.30,230.85,224.75,226.19,205.37,4394801
2019-08-20,225.05,226.10,221.64,224.85,204.15,5107078
2019-08-21,223.5,226.0,217.69,219.0,198.84,5016435
2019-08-22,215.0,220.39,212.80,217.0,197.02,6938275
2019-08-23,214.5,223.60,213.75,220.64,200.33,4978377
2019-08-26,222.14,225.0,206.30,214.10,194.39,13555325
2019-08-27,217.39,217.5,212.80,213.39,193.75,12287346
2019-08-28,214.0,214.25,202.80,205.75,186.81,9056214
