Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,1445.0,1445.0,1425.19,1441.90,1329.89,786846
2019-01-02,1441.0,1444.90,1417.09,1425.5,1314.76,2058504
2019-01-03,1426.0,1429.0,1391.0,1395.0,1286.63,2290756
2019-01-04,1401.90,1407.59,1373.55,1388.05,1280.22,2711485
2019-01-07,1397.0,1408.59,1379.05,1383.80,1276.30,1851513
2019-01-08,1387.5,1393.84,1375.0,1382.19,1274.83,1437271
2019-01-09,1389.5,1393.55,1372.0,1386.05,1278.38,1413005
2019-01-10,1388.0,1398.90,1383.25,1392.59,1284.42,1063647
2019-01-11,1393.0,1393.90,1361.05,1369.59,1263.21,2489197
2019-01-14,1367.19,1367.19,1331.0,1333.90,1230.28,3080984
2019-01-15,1340.0,1348.0,1330.0,1340.90,1236.74,3079248
2019-01-16,1342.90,1361.5,1336.0,1342.15,1237.89,2454470
2019-01-17,1345.09,1351.80,1336.94,1346.05,1241.49,1610419
2019-01-18,1350.84,1352.0,1313.0,1317.90,1215.52,2135781
2019-01-21,1279.0,1337.25,1273.44,1314.55,1212.43,8813681
2019-01-22,1316.90,1321.5,1298.09,1301.15,1200.07,2544978
2019-01-23,1301.0,1306.90,1293.55,1301.44,1200.35,1821323
2019-01-24,1305.0,1305.55,1287.0,1295.34,1194.72,1654706
2019-01-25,1300.0,1314.09,1281.5,1285.44,1185.59,3136788
2019-01-28,1295.44,1337.90,1291.65,1300.44,1199.43,8004136
2019-01-29,1304.0,1308.80,1268.19,1278.05,1178.77,3685535
2019-01-30,1284.30,1309.0,1281.0,1294.44,1193.89,2385425
2019-01-31,1304.0,1321.69,1296.55,1314.30,1212.20,5852257
2019-02-01,1315.5,1334.55,1313.0,1324.59,1221.70,2515736
2019-02-04,1326.84,1326.84,1302.59,1307.40,1205.84,2308931
2019-02-05,1310.69,1323.0,1300.0,1304.59,1203.26,1447400
2019-02-06,1308.0,1322.0,1293.05,1314.40,1212.29,2034886
2019-02-07,1314.0,1320.84,1289.19,1296.05,1195.37,1556295
2019-02-08,1295.0,1298.90,1255.55,1261.75,1163.73,2993525
2019-02-11,1259.0,1259.0,1221.0,1246.5,1149.67,2981408
2019-02-12,1244.5,1264.90,1241.55,1246.84,1149.99,1571390
2019-02-14,1219.0,1231.75,1201.09,1227.59,1132.24,6974738
2019-02-15,1244.0,1253.90,1230.90,1243.09,1146.53,3620228
2019-02-18,1245.0,1259.55,1240.0,1244.5,1147.82,2186849
2019-02-19,1245.0,1270.0,1245.0,1258.30,1160.55,2389086
2019-02-20,1265.0,1282.65,1264.19,1276.55,1177.38,2433082
2019-02-21,1282.0,1291.5,1265.09,1284.09,1184.35,2392129
2019-02-22,1282.0,1283.40,1265.5,1280.34,1180.89,2390188
2019-02-25,1280.34,1286.44,1264.0,1275.84,1176.74,5873730
2019-02-26,1263.80,1275.0,1253.0,1265.84,1167.52,2417931
2019-02-27,1270.55,1295.0,1268.0,1284.69,1184.90,3555914
2019-02-28,1293.0,1302.94,1273.30,1292.94,1192.51,9321535
2019-03-01,1300.30,1311.94,1297.25,1308.55,1206.90,2831577
2019-03-05,1302.0,1310.40,1277.05,1305.80,1204.36,3948051
2019-03-06,1310.5,1327.55,1310.5,1317.0,1214.69,2776738
2019-03-07,1323.84,1357.30,1310.0,1352.40,1247.34,6207580
2019-03-08,1350.0,1363.0,1337.0,1339.40,1235.35,4868283
2019-03-11,1343.55,1351.0,1340.0,1346.55,1241.95,2661353
2019-03-12,1355.0,1403.0,1355.0,1388.90,1281.01,6631152
2019-03-13,1395.69,1397.55,1372.84,1378.59,1271.51,2241672
2019-03-14,1384.69,1396.0,1377.0,1379.75,1272.57,1838850
2019-03-15,1386.0,1410.80,1378.59,1396.5,1288.02,5723980
2019-03-18,1397.0,1411.69,1370.34,1378.90,1271.78,2450686
2019-03-19,1371.0,1374.94,1346.5,1357.94,1252.46,4053209
2019-03-20,1362.0,1382.0,1361.0,1370.90,1264.41,3871744
2019-03-22,1379.0,1415.0,1376.19,1394.69,1286.36,3788604
2019-03-25,1387.0,1389.0,1370.09,1376.75,1269.80,1666203
2019-03-26,1379.80,1388.80,1367.75,1372.80,1266.16,2021089
2019-03-27,1379.0,1391.09,1363.15,1366.44,1260.30,2558997
2019-03-28,1371.0,1392.5,1364.0,1386.69,1278.98,3184285
2019-04-01,1390.09,1424.0,1390.09,1412.19,1302.50,3842703
2019-04-02,1415.09,1426.94,1403.5,1409.75,1300.24,2737093
2019-04-03,1409.40,1415.0,1375.0,1378.05,1271.00,2366304
2019-04-04,1384.90,1393.90,1365.69,1368.69,1262.38,1980318
2019-04-05,1373.75,1392.75,1370.30,1373.80,1267.08,2037782
2019-04-08,1379.69,1386.80,1365.44,1373.65,1266.94,1013017
2019-04-09,1375.90,1387.0,1366.0,1375.19,1268.37,2209945
2019-04-10,1370.0,1382.0,1365.0,1371.55,1265.01,2014958
2019-04-11,1371.65,1387.94,1371.65,1378.0,1270.95,3110225
2019-04-12,1380.0,1381.84,1358.30,1360.90,1255.18,2751659
2019-04-15,1365.0,1368.0,1354.0,1356.90,1251.49,1933204
2019-04-16,1360.0,1390.90,1360.0,1381.40,1274.09,3217456
2019-04-18,1387.0,1387.59,1357.40,1360.69,1255.00,2594906
2019-04-22,1362.0,1370.90,1352.5,1360.15,1254.49,3101477
2019-04-23,1361.69,1365.0,1336.59,1348.19,1243.47,2016454
2019-04-24,1353.0,1363.44,1350.0,1360.65,1254.95,1753395
2019-04-25,1366.84,1380.55,1352.15,1355.15,1249.88,2886022
2019-04-26,1358.19,1367.0,1351.0,1358.19,1252.69,1767153
2019-04-30,1365.0,1366.5,1340.0,1348.55,1243.79,1905624
2019-05-02,1349.44,1376.5,1342.0,1358.75,1253.20,1985540
2019-05-03,1362.0,1373.19,1360.0,1363.59,1257.67,1239667
2019-05-06,1353.30,1364.84,1349.90,1352.69,1247.62,1515052
2019-05-07,1357.40,1374.34,1350.0,1366.59,1260.44,2596385
2019-05-08,1363.90,1371.0,1355.0,1360.34,1254.68,1601700
2019-05-09,1357.0,1368.80,1337.59,1356.44,1251.08,2464425
2019-05-10,1359.65,1362.5,1345.09,1355.5,1250.20,1466154
2019-05-13,1345.0,1355.0,1312.0,1317.65,1215.29,3422913
2019-05-14,1309.0,1347.65,1285.30,1341.80,1237.57,3132767
2019-05-15,1347.5,1355.0,1320.5,1325.80,1222.81,2054728
2019-05-16,1326.0,1348.0,1308.30,1337.15,1233.28,2058450
2019-05-17,1335.0,1371.5,1332.55,1361.90,1256.10,2776586
2019-05-20,1400.0,1455.0,1400.0,1451.44,1338.70,6210427
2019-05-21,1455.0,1462.05,1437.84,1449.09,1336.53,2961180
2019-05-22,1450.09,1473.40,1441.59,1461.09,1347.60,3304912
2019-05-23,1476.19,1562.40,1466.0,1476.09,1361.43,10485813
2019-05-24,1493.0,1549.19,1490.34,1544.15,1424.20,5626500
2019-05-27,1543.69,1600.0,1532.09,1596.0,1472.02,6730594
2019-05-28,1596.0,1607.0,1563.30,1574.5,1452.19,4987068
2019-05-29,1570.19,1596.94,1546.19,1552.44,1431.85,3070738
2019-05-30,1550.0,1569.34,1540.0,1558.59,1437.53,2675199
2019-05-31,1569.94,1581.5,1534.80,1557.55,1436.56,3945900
2019-06-03,1563.69,1570.0,1546.40,1559.40,1438.26,2617068
2019-06-04,1561.0,1585.0,1558.0,1569.80,1447.86,3854101
2019-06-06,1569.65,1571.80,1511.59,1515.90,1398.14,3268594
2019-06-07,1518.55,1533.69,1495.5,1513.84,1396.25,2572146
2019-06-10,1525.0,1542.0,1521.30,1532.09,1413.08,1608705
2019-06-11,1540.19,1540.19,1522.0,1524.30,1405.89,1745105
