Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,1731.19,1733.80,1705.09,1713.44,1606.87,36404
2019-01-02,1722.90,1753.90,1705.0,1733.55,1625.72,131933
2019-01-03,1733.55,1760.0,1731.0,1738.15,1630.03,188170
2019-01-04,1744.0,1754.0,1674.94,1693.19,1587.88,180512
2019-01-07,1708.90,1718.94,1699.34,1709.69,1603.35,102330
2019-01-08,1713.0,1716.0,1684.0,1688.19,1583.19,110580
2019-01-09,1696.09,1774.0,1690.0,1755.65,1646.44,250572
2019-01-10,1777.0,1822.0,1758.59,1789.90,1678.56,301057
2019-01-11,1785.0,1798.90,1712.84,1731.19,1623.51,138640
2019-01-14,1731.05,1757.0,1711.65,1729.19,1621.64,106114
2019-01-15,1739.80,1745.0,1706.15,1731.75,1624.03,104396
2019-01-16,1741.0,1774.0,1735.0,1768.94,1658.92,88045
2019-01-17,1779.90,1800.0,1768.0,1780.80,1670.03,127885
2019-01-18,1787.69,1819.0,1755.0,1807.25,1694.83,333207
2019-01-21,1805.0,1805.0,1768.0,1779.80,1669.09,301619
2019-01-22,1778.0,1800.0,1762.30,1777.80,1667.22,121217
2019-01-23,1792.0,1800.0,1739.15,1756.94,1647.66,248782
2019-01-24,1763.80,1773.40,1740.0,1747.0,1638.33,65547
2019-01-25,1745.0,1762.0,1710.0,1713.44,1606.87,86229
2019-01-28,1713.0,1747.44,1681.0,1702.69,1596.79,114823
2019-01-29,1720.0,1735.0,1700.0,1710.80,1604.38,51435
2019-01-30,1710.0,1739.80,1691.69,1731.84,1624.12,136202
2019-01-31,1730.0,1770.0,1719.25,1760.84,1651.32,177926
2019-02-01,1770.0,1785.0,1752.59,1768.75,1658.73,71991
2019-02-04,1757.90,1765.69,1741.5,1754.69,1645.55,50440
2019-02-05,1750.0,1870.0,1750.0,1814.80,1701.91,423680
2019-02-06,1821.90,1856.25,1818.05,1849.05,1734.03,168603
2019-02-07,1870.0,1896.69,1850.5,1871.15,1754.76,200619
2019-02-08,1865.75,1872.90,1826.65,1840.65,1726.16,106659
2019-02-11,1844.0,1844.0,1781.05,1795.09,1683.44,191046
2019-02-12,1797.0,1835.0,1770.05,1788.05,1676.83,101126
2019-02-14,1788.94,1788.94,1763.25,1769.15,1659.10,32711
2019-02-15,1770.0,1795.0,1725.25,1781.05,1670.26,100275
2019-02-18,1775.0,1775.0,1740.05,1748.0,1639.27,74466
2019-02-19,1742.25,1755.0,1725.15,1738.19,1630.08,53503
2019-02-20,1732.69,1768.90,1629.0,1735.5,1627.55,142437
2019-02-21,1729.94,1748.19,1720.0,1725.55,1618.22,57733
2019-02-22,1732.80,1737.44,1711.30,1715.15,1608.46,50313
2019-02-25,1716.0,1732.75,1696.0,1704.34,1598.33,82916
2019-02-26,1695.0,1719.94,1680.5,1699.40,1593.69,52708
2019-02-27,1714.84,1736.25,1692.05,1725.84,1618.50,109195
2019-02-28,1742.0,1743.69,1710.0,1719.55,1612.59,53949
2019-03-01,1720.0,1741.55,1705.19,1711.05,1604.62,68187
2019-03-05,1721.0,1727.0,1666.0,1671.90,1567.90,229598
2019-03-06,1684.0,1690.0,1648.0,1649.90,1547.27,182090
2019-03-07,1650.0,1667.59,1635.30,1640.40,1538.36,108095
2019-03-08,1641.0,1660.09,1600.0,1648.40,1545.86,151972
2019-03-11,1641.34,1662.0,1616.05,1647.5,1545.02,243191
2019-03-12,1648.0,1660.0,1624.0,1630.40,1528.98,116165
2019-03-13,1644.40,1665.0,1630.0,1632.55,1531.00,146478
2019-03-14,1646.94,1662.94,1633.0,1655.94,1552.94,91460
2019-03-15,1662.0,1670.0,1613.0,1618.65,1517.96,180262
2019-03-18,1629.0,1629.0,1555.05,1568.0,1470.47,271513
2019-03-19,1582.94,1672.80,1540.0,1635.55,1533.81,975731
2019-03-20,1645.0,1665.0,1618.05,1660.94,1557.63,311672
2019-03-22,1669.94,1675.0,1653.05,1661.59,1558.24,183507
2019-03-25,1645.0,1670.0,1625.0,1665.59,1561.99,229280
2019-03-26,1673.94,1677.5,1648.0,1667.90,1564.15,98076
2019-03-27,1680.0,1685.0,1662.15,1671.0,1567.06,114037
2019-03-28,1665.0,1698.90,1655.05,1673.19,1569.12,338853
2019-04-01,1718.94,1724.80,1702.5,1715.34,1608.65,165470
2019-04-02,1718.05,1735.0,1711.0,1715.40,1608.70,169240
2019-04-03,1720.0,1725.0,1700.0,1703.25,1597.30,67306
2019-04-04,1700.0,1700.0,1661.0,1671.44,1567.48,88658
2019-04-05,1670.0,1675.19,1642.0,1652.44,1549.66,122902
2019-04-08,1656.0,1659.0,1625.5,1644.30,1542.02,75441
2019-04-09,1645.0,1667.80,1640.44,1659.94,1556.70,81451
2019-04-10,1656.90,1658.44,1625.15,1648.05,1545.54,141074
2019-04-11,1645.0,1667.0,1643.0,1658.59,1555.43,64659
2019-04-12,1662.0,1669.0,1634.19,1646.0,1543.61,134666
2019-04-15,1650.0,1664.55,1615.25,1622.69,1521.76,577640
2019-04-16,1630.0,1640.0,1622.05,1631.30,1529.83,129449
2019-04-18,1645.0,1658.84,1632.15,1650.19,1547.55,161637
2019-04-22,1655.09,1673.94,1640.34,1667.55,1563.82,102694
2019-04-23,1672.0,1694.90,1670.0,1685.90,1581.03,94148
2019-04-24,1698.90,1704.5,1683.69,1698.40,1592.75,61457
2019-04-25,1703.90,1717.0,1690.05,1710.75,1604.34,157556
2019-04-26,1719.0,1719.0,1695.05,1709.84,1603.49,149183
2019-04-30,1705.25,1726.69,1695.0,1716.84,1610.06,85996
2019-05-02,1727.0,1737.0,1714.0,1721.25,1614.18,112973
2019-05-03,1708.90,1708.90,1662.09,1679.94,1575.45,408818
2019-05-06,1662.05,1707.94,1662.0,1700.84,1595.05,100590
2019-05-07,1704.94,1743.0,1698.05,1715.44,1608.74,108589
2019-05-08,1703.55,1715.44,1690.0,1696.09,1590.60,296480
2019-05-09,1686.09,1692.0,1661.0,1684.19,1579.44,181871
2019-05-10,1688.09,1705.0,1681.55,1697.44,1591.86,110021
2019-05-13,1700.0,1715.0,1692.65,1710.30,1603.91,67070
2019-05-14,1709.90,1724.44,1697.30,1717.40,1610.57,138044
2019-05-15,1717.0,1764.0,1714.94,1758.09,1648.74,176080
2019-05-16,1763.90,1815.0,1729.25,1803.25,1691.08,187888
2019-05-17,1808.0,1830.0,1764.0,1788.19,1676.97,173957
2019-05-20,1825.0,1825.0,1754.0,1759.59,1650.15,216070
2019-05-21,1764.90,1785.0,1759.0,1778.30,1667.68,136473
