Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,7449.75,7494.0,7395.0,7476.79,7147.14,625360
2019-01-02,7445.0,7460.0,7244.0,7267.85,6947.41,891844
2019-01-03,7280.0,7350.0,7185.60,7203.95,6886.33,715168
2019-01-04,7239.0,7309.0,7161.20,7234.5,6915.53,774445
2019-01-07,7310.0,7407.0,7300.0,7362.04,7037.45,687845
2019-01-08,7380.0,7454.79,7322.10,7439.5,7111.49,516841
2019-01-09,7460.5,7529.0,7414.0,7492.89,7162.54,740580
2019-01-10,7500.0,7511.0,7360.14,7391.60,7065.70,452699
2019-01-11,7382.70,7400.0,7282.0,7320.5,6997.74,488399
2019-01-14,7330.0,7433.35,7257.0,7408.70,7082.05,424152
2019-01-15,7430.0,7470.0,7317.0,7355.14,7030.86,491196
2019-01-16,7349.5,7384.0,7291.10,7310.25,6987.94,424769
2019-01-17,7339.0,7398.95,7307.5,7336.25,7012.79,462725
2019-01-18,7345.0,7379.95,7318.0,7357.95,7033.54,334555
2019-01-21,7358.0,7380.0,7161.0,7208.39,6890.58,654537
2019-01-22,7180.0,7180.0,7054.5,7068.85,6757.18,896521
2019-01-23,7050.0,7132.25,7025.0,7045.39,6734.77,702474
2019-01-24,7059.89,7098.0,7014.39,7040.60,6730.18,520703
2019-01-25,7054.0,7133.0,6410.0,6513.39,6226.22,3062762
2019-01-28,6512.5,6610.0,6317.70,6511.04,6223.97,2398091
2019-01-29,6480.0,6619.14,6447.39,6526.95,6239.17,1101399
2019-01-30,6559.0,6588.0,6508.0,6548.25,6259.53,583773
2019-01-31,6575.0,6660.04,6460.04,6641.14,6348.34,926270
2019-02-01,6679.0,7204.0,6652.54,6962.29,6655.33,2545419
2019-02-04,6975.0,7039.0,6851.64,6988.20,6680.09,658776
2019-02-05,6995.0,7125.0,6985.39,7093.60,6780.84,681498
2019-02-06,7120.0,7220.0,7067.0,7183.39,6866.68,567827
2019-02-07,7201.0,7320.0,7185.10,7302.54,6980.58,690174
2019-02-08,7270.0,7300.0,7100.0,7134.25,6819.70,576159
2019-02-11,7150.0,7209.95,7051.10,7177.89,6861.42,502244
2019-02-12,7193.0,7230.0,7127.95,7162.5,6846.70,494592
2019-02-14,7036.70,7111.20,6990.0,7017.5,6708.10,622311
2019-02-15,7027.39,7058.70,6900.0,6930.04,6624.50,768798
2019-02-18,6964.70,6997.79,6817.0,6842.70,6541.00,509963
2019-02-19,6855.0,6915.89,6771.0,6804.54,6504.53,493861
2019-02-20,6842.0,6888.0,6804.39,6849.89,6547.88,534284
2019-02-21,6868.95,6879.64,6715.0,6801.54,6501.67,722938
2019-02-22,6827.0,6939.0,6819.04,6912.39,6607.63,764535
2019-02-25,6948.0,6984.89,6870.04,6924.89,6619.58,495728
2019-02-26,6885.0,6975.0,6812.60,6904.29,6599.89,673415
2019-02-27,6943.0,7048.0,6853.20,6968.5,6661.26,961829
2019-02-28,7010.0,7040.0,6801.0,6829.70,6528.58,1031563
2019-03-01,6876.79,6950.0,6827.25,6935.14,6629.38,768822
2019-03-05,6950.0,7158.14,6894.45,7117.75,6803.92,838538
2019-03-06,7137.85,7144.89,7010.0,7056.89,6745.76,557197
2019-03-07,7078.0,7092.5,7002.0,7029.04,6719.14,396771
2019-03-08,6975.0,7025.0,6951.0,6967.70,6660.49,486432
2019-03-11,6980.0,7121.60,6975.0,7081.89,6769.66,720905
2019-03-12,7097.0,7232.0,7096.0,7157.20,6841.64,828847
2019-03-13,7177.0,7202.95,7050.0,7091.04,6778.40,534982
2019-03-14,7103.0,7148.0,7047.25,7086.29,6773.86,584482
2019-03-15,7109.0,7157.0,7060.0,7084.0,6771.66,861945
2019-03-18,7077.45,7077.45,6776.60,6894.0,6590.04,1336134
2019-03-19,6900.0,6901.95,6809.25,6825.20,6524.27,816763
2019-03-20,6860.0,6860.0,6650.0,6673.54,6379.31,1017560
2019-03-22,6567.0,6716.29,6532.35,6552.70,6263.79,1715983
2019-03-25,6515.0,6621.0,6491.20,6522.60,6235.02,1093184
2019-03-26,6558.0,6600.0,6480.0,6585.70,6295.33,909087
2019-03-27,6628.0,6640.0,6500.0,6518.0,6230.62,887601
2019-03-28,6535.0,6625.0,6501.20,6596.25,6305.42,949713
2019-04-01,6730.79,6870.0,6700.0,6840.70,6539.09,1142386
2019-04-02,6859.45,6900.70,6785.5,6889.70,6585.93,866805
2019-04-03,6896.0,7098.0,6896.0,7072.89,6761.05,1491021
2019-04-04,7120.0,7170.0,7061.64,7113.10,6799.48,1388375
2019-04-05,7095.0,7143.95,7050.0,7107.70,6794.32,729603
2019-04-08,7107.0,7150.0,7044.70,7129.45,6815.11,498374
2019-04-09,7134.0,7235.0,7080.0,7216.54,6898.37,741669
2019-04-10,7218.95,7218.95,7144.60,7186.35,6869.50,590107
2019-04-11,7186.95,7220.0,7150.0,7187.85,6870.93,609539
2019-04-12,7188.89,7357.0,7161.04,7342.85,7019.10,929935
2019-04-15,7351.04,7389.95,7295.0,7352.5,7028.32,585205
2019-04-16,7369.89,7475.0,7350.0,7458.54,7129.70,707823
2019-04-18,7533.10,7539.35,7434.04,7447.45,7119.09,713163
2019-04-22,7422.0,7424.89,7300.0,7321.25,6998.45,479609
2019-04-23,7327.0,7388.89,7006.0,7048.89,6738.11,952628
2019-04-24,7065.0,7101.95,6910.0,7016.70,6707.33,1063510
2019-04-25,7014.75,7144.95,6865.0,6905.25,6600.79,3075510
2019-04-26,6805.0,6886.85,6750.0,6842.85,6541.15,1999920
2019-04-30,6700.0,6750.0,6630.0,6666.39,6372.47,1640025
2019-05-02,6550.0,6709.95,6525.0,6683.25,6388.58,1337101
2019-05-03,6675.0,6780.0,6675.0,6710.0,6414.15,795679
2019-05-06,6659.0,6732.0,6639.29,6709.64,6413.82,480317
2019-05-07,6744.89,6785.25,6680.0,6702.0,6406.51,586684
2019-05-08,6679.0,6693.0,6616.0,6650.14,6356.94,552749
2019-05-09,6637.0,6678.0,6600.0,6624.95,6332.85,570000
2019-05-10,6623.0,6664.89,6575.0,6631.60,6339.21,608669
2019-05-13,6626.0,6659.29,6500.0,6543.75,6255.23,555672
2019-05-14,6511.0,6612.0,6450.0,6576.20,6286.25,843313
2019-05-15,6590.0,6640.0,6463.29,6493.75,6207.44,612357
2019-05-16,6506.0,6527.29,6441.39,6479.64,6193.96,555991
2019-05-17,6497.0,6790.0,6485.0,6706.85,6411.14,782196
2019-05-20,6875.0,7150.0,6860.0,7084.60,6772.24,1286198
2019-05-21,7105.0,7137.75,6818.0,6875.35,6572.21,973836
2019-05-22,6877.20,6930.54,6841.0,6899.79,6595.58,645280
2019-05-23,6996.0,7049.10,6830.0,6929.25,6623.74,1364516
2019-05-24,6964.95,7120.0,6886.75,7093.14,6780.41,1002742
2019-05-27,7095.0,7193.89,6900.04,7068.45,6756.80,1022289
2019-05-28,7067.0,7130.0,7031.5,7054.64,6743.61,915732
2019-05-29,7001.0,7009.0,6870.0,6891.45,6587.60,768022
2019-05-30,6890.0,6921.0,6825.0,6867.70,6564.90,850456
2019-05-31,6891.0,6961.29,6825.0,6869.85,6566.95,1084204
2019-06-03,6760.0,7055.0,6760.0,7022.89,6713.26,1157809
2019-06-04,7000.0,7099.0,6971.75,7051.79,6740.88,575281
2019-06-06,7060.20,7099.0,6928.0,6988.70,6680.57,720856
2019-06-07,6990.0,6990.0,6862.64,6948.25,6641.90,470376
2019-06-10,6980.0,7043.29,6922.0,6969.95,6662.64,395116
2019-06-11,6989.95,7018.20,6930.0,6978.29,6670.62,387309
2019-06-12,6963.79,6967.95,6825.04,6852.0,6549.89,494886
2019-06-13,6843.0,6863.70,6766.29,6784.70,6485.56,561159
2019-06-14,6775.0,6839.0,6727.35,6747.39,6449.90,449930
2019-06-17,6749.39,6768.04,6560.5,6581.64,6291.46,567397
2019-06-18,6604.5,6649.0,6390.0,6439.0,6155.10,1048826
2019-06-19,6485.0,6560.64,6380.0,6424.64,6141.38,715496
2019-06-20,6390.0,6649.0,6340.25,6616.75,6325.01,992450
2019-06-21,6549.0,6549.0,6370.20,6417.25,6134.31,1345890
2019-06-24,6411.0,6497.10,6322.85,6459.89,6175.08,911826
2019-06-25,6459.0,6540.0,6427.35,6522.5,6234.92,580392
2019-06-26,6519.0,6557.79,6460.10,6480.29,6194.58,572239
2019-06-27,6496.20,6575.0,6475.0,6486.70,6200.70,1022011
2019-06-28,6500.0,6550.0,6475.0,6534.64,6246.53,618701
2019-07-01,6600.0,6618.0,6490.0,6507.85,6220.92,754667
2019-07-02,6510.04,6588.79,6482.0,6560.0,6270.77,518084
2019-07-03,6582.0,6590.0,6515.04,6533.79,6245.72,517709
2019-07-04,6540.0,6588.0,6510.20,6544.45,6255.90,576449
2019-07-05,6547.20,6579.0,6300.0,6360.0,6079.58,866460
2019-07-08,6280.10,6283.14,5985.64,6038.70,5772.45,1927495
2019-07-09,6060.0,6070.0,5910.0,5945.45,5683.31,1337999
2019-07-10,5959.0,5995.0,5900.0,5927.89,5666.54,809385
2019-07-11,5974.0,6050.0,5930.0,6031.20,5765.28,779113
2019-07-12,6017.70,6090.0,5951.95,5971.45,5708.17,719883
2019-07-15,5980.0,6096.0,5955.0,6079.70,5811.64,675004
2019-07-16,6079.95,6172.0,6056.0,6158.04,5886.54,627259
2019-07-17,6168.0,6174.0,6050.0,6075.70,5807.82,598778
2019-07-18,6054.39,6055.70,5857.5,5882.35,5622.99,1097857
2019-07-19,5885.0,5910.95,5710.10,5769.10,5514.74,1228672
2019-07-22,5780.0,5940.0,5745.04,5912.5,5651.81,897510
2019-07-23,5910.0,5972.39,5820.20,5873.75,5614.77,841517
2019-07-24,5865.0,5865.0,5725.29,5768.0,5513.68,800687
2019-07-25,5789.10,5844.95,5701.04,5756.75,5502.93,990461
2019-07-26,5728.0,5955.0,5683.89,5805.64,5549.68,2346714
2019-07-29,5770.0,5770.0,5540.0,5561.25,5316.05,1548125
2019-07-30,5562.0,5644.85,5492.0,5507.14,5264.34,1189163
