Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,11150.0,11170.40,10989.95,11015.04,10151.99,31709
2019-01-02,10980.5,11160.0,10907.04,11035.40,10170.75,28167
2019-01-03,11111.0,11499.0,10999.90,11207.15,10329.04,169291
2019-01-04,11139.0,11198.90,10655.54,10851.20,10000.98,206163
2019-01-07,10875.0,10939.65,10700.0,10786.09,9940.98,85959
2019-01-08,10800.0,11240.0,10690.0,11005.40,10143.10,134341
2019-01-09,11099.84,11298.40,11058.40,11252.25,10370.61,98483
2019-01-10,11320.0,11447.79,11139.59,11416.59,10522.08,76915
2019-01-11,11400.15,11458.0,11151.0,11273.0,10389.73,57253
2019-01-14,11300.0,11385.70,11189.95,11228.65,10348.86,51811
2019-01-15,11296.0,11340.0,11200.0,11282.65,10398.63,49470
2019-01-16,11261.04,11291.75,10980.0,11055.90,10189.64,136679
2019-01-17,11200.0,11232.95,11122.0,11165.70,10290.84,72737
2019-01-18,11200.0,11326.45,11181.0,11248.40,10367.06,76762
2019-01-21,11296.0,11308.95,11150.09,11255.25,10373.37,19108
2019-01-22,11290.0,11350.0,11200.0,11236.54,10356.14,39958
2019-01-23,11255.0,11348.0,11240.0,11315.90,10429.27,51210
2019-01-24,11315.90,11460.0,11306.04,11433.40,10537.57,104618
2019-01-25,11460.0,11517.0,11300.0,11365.59,10475.08,59928
2019-01-28,11365.59,11420.0,11155.0,11360.59,10470.47,103963
2019-01-29,11380.0,11440.0,11293.90,11399.09,10505.95,70632
2019-01-30,11420.0,11439.75,11280.0,11396.65,10503.70,39290
2019-01-31,11420.0,11538.95,11373.04,11497.84,10596.96,95373
2019-02-01,11498.04,11622.0,11430.15,11556.54,10651.07,61906
2019-02-04,11515.0,11642.15,11500.0,11533.75,10630.05,34434
2019-02-05,11534.95,11654.0,11510.09,11607.45,10697.98,36727
2019-02-06,11654.0,11654.0,11469.70,11617.40,10707.15,27885
2019-02-07,11615.0,11749.0,11540.0,11715.70,10797.75,36168
2019-02-08,11707.95,11751.0,11111.0,11242.70,10361.81,114697
2019-02-11,11300.0,11300.0,10765.45,10843.5,9993.89,122841
2019-02-12,10835.0,10850.0,10615.70,10783.79,9938.86,97576
2019-02-14,10541.0,10778.95,10310.0,10628.79,9796.01,124563
2019-02-15,10450.0,10740.15,10251.0,10535.45,9709.97,414813
2019-02-18,10549.0,10579.95,10176.25,10349.45,9538.54,87235
2019-02-19,10350.04,10729.04,10350.04,10515.40,9691.49,88601
2019-02-20,10531.5,10638.84,10399.25,10521.79,9697.39,62379
2019-02-21,10500.0,10671.45,10450.0,10621.95,9789.69,70280
2019-02-22,10639.90,10709.0,10561.65,10685.45,9848.22,55283
2019-02-25,10739.0,10870.0,10680.0,10831.65,9982.96,42086
2019-02-26,10799.0,10855.0,10666.5,10804.40,9957.85,72467
2019-02-27,10804.40,10820.65,10651.79,10713.70,9874.26,85713
2019-02-28,10750.0,10763.45,10555.09,10639.75,9806.10,111875
2019-03-01,10640.0,10675.0,10406.04,10451.79,9632.87,109782
2019-03-05,10281.45,10566.65,10281.45,10505.95,9682.78,81658
2019-03-06,10593.0,10593.0,10195.0,10320.75,9512.09,145434
2019-03-07,10340.0,10352.59,10165.09,10203.34,9403.89,78052
2019-03-08,10219.95,10220.0,10035.0,10095.15,9304.17,98498
2019-03-11,10099.34,10329.0,10031.65,10292.79,9486.33,114136
2019-03-12,10298.90,10511.95,10260.04,10428.90,9611.77,83043
2019-03-13,10528.0,10754.95,10500.40,10723.29,9883.10,133760
2019-03-14,10758.0,10770.0,10540.0,10739.29,9897.85,55804
2019-03-15,10701.29,10762.04,10230.04,10289.90,9483.66,183452
2019-03-18,10375.0,10495.40,10271.20,10456.59,9637.30,61262
2019-03-19,10456.59,10755.0,10409.84,10707.0,9868.08,82821
2019-03-20,10729.90,10749.95,10463.5,10530.15,9705.09,59630
2019-03-22,10593.0,10649.0,10527.25,10600.65,9770.06,85656
2019-03-25,10515.04,10549.90,10303.0,10528.29,9703.38,109785
2019-03-26,10565.20,10790.25,10515.95,10691.90,9854.16,150685
2019-03-27,10690.95,11049.0,10576.75,10892.0,10038.58,139605
2019-03-28,10938.90,11130.0,10801.0,11073.09,10205.49,91828
2019-04-01,10980.0,11121.0,10861.09,10915.15,10059.92,81431
2019-04-02,10979.70,10979.70,10700.0,10786.79,9941.63,59609
2019-04-03,10947.0,11067.0,10780.0,11003.75,10141.58,74692
2019-04-04,11059.0,11059.0,10850.0,10961.84,10102.96,40177
2019-04-05,10935.04,11091.0,10900.0,10980.75,10120.38,26013
2019-04-08,10999.0,11050.0,10804.5,10850.59,10000.43,37049
2019-04-09,10889.0,10889.0,10740.0,10790.04,9944.62,75730
2019-04-10,10792.5,10850.0,10730.0,10811.95,9964.81,48089
2019-04-11,10795.0,10899.0,10690.0,10764.09,9920.70,93902
2019-04-12,10767.90,11000.0,10764.29,10973.79,10113.98,49737
2019-04-15,11000.0,11089.0,10891.04,10970.09,10110.56,84735
2019-04-16,11000.0,11218.95,10995.0,11155.79,10281.71,89355
2019-04-18,11186.40,11239.95,10925.0,10954.45,10096.14,56399
2019-04-22,10965.0,11125.0,10851.54,10879.90,10027.43,31883
2019-04-23,10940.0,10979.0,10872.0,10910.20,10055.36,25119
2019-04-24,10907.5,11029.54,10705.0,10833.40,9984.58,76358
2019-04-25,10890.0,10990.0,10780.0,10846.45,9996.61,90249
2019-04-26,10851.0,11049.20,10822.04,10971.25,10111.63,51412
2019-04-30,10900.0,10974.95,10854.70,10905.29,10073.80,74238
2019-05-02,10905.0,10905.0,10403.04,10589.70,9804.74,44249
2019-05-03,10650.0,10650.0,10380.0,10485.70,9708.45,115448
2019-05-06,10400.0,10497.09,10305.04,10364.0,9616.86,90136
2019-05-07,10401.5,10589.95,10401.0,10477.09,9721.81,72631
2019-05-08,10487.75,10536.0,10275.70,10298.34,9555.95,46391
2019-05-09,10295.0,10409.0,10200.0,10362.20,9615.19,46552
2019-05-10,10371.90,10435.65,10171.04,10231.15,9493.59,61273
2019-05-13,10262.0,10433.25,10232.25,10300.04,9557.52,48042
2019-05-14,10310.0,10364.40,10120.04,10198.65,9463.43,54275
2019-05-15,10401.0,10509.0,10211.0,10268.54,9528.29,127190
2019-05-16,10332.70,10401.0,10255.04,10280.54,9539.43,39322
2019-05-17,10299.95,10546.20,10256.84,10465.65,9711.19,65704
2019-05-20,10680.0,10832.0,10560.34,10768.15,9991.88,49555
2019-05-21,10849.95,10884.70,10493.95,10609.20,9844.39,47182
2019-05-22,10650.04,10784.20,10600.0,10700.54,9929.15,31497
2019-05-23,10848.0,10989.0,10680.0,10797.04,10018.70,56257
2019-05-24,10813.0,10849.90,10592.29,10660.04,9891.57,49465
2019-05-27,10750.0,11083.0,10700.0,11036.25,10240.65,84400
2019-05-28,11040.0,11165.0,10950.0,11105.20,10304.63,133445
2019-05-29,11125.0,11295.95,10987.45,11206.0,10398.16,128654
2019-05-30,11175.25,11345.0,11170.0,11320.5,10504.41,93421
2019-05-31,11350.0,11540.0,11303.45,11498.09,10669.21,70172
2019-06-03,11498.59,11700.0,11498.59,11686.45,10843.98,64302
2019-06-04,11600.0,11698.0,11428.0,11552.34,10719.54,96144
