Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,124.12,124.66,122.0,123.91,97.63,4011082
2019-01-02,123.29,123.91,121.79,122.5,96.51,5201079
2019-01-03,122.5,122.83,119.04,119.5,94.15,7035283
2019-01-04,119.95,121.91,118.54,121.45,95.69,7988112
2019-01-07,121.87,124.75,121.79,123.83,97.56,14121843
2019-01-08,123.33,124.58,121.66,122.45,96.48,6656692
2019-01-09,122.5,123.70,121.16,122.12,96.22,4636543
2019-01-10,122.45,124.62,122.29,123.41,97.23,15340801
2019-01-11,123.33,125.25,122.66,123.33,97.17,13579929
2019-01-14,123.33,123.62,121.0,121.29,95.56,5010679
2019-01-15,121.66,122.04,120.12,121.5,95.72,14730974
2019-01-16,121.91,123.75,121.41,121.95,96.08,5679378
2019-01-17,122.41,123.04,120.20,120.75,95.13,7529166
2019-01-18,121.08,122.0,120.0,120.25,94.74,3100312
2019-01-21,122.08,122.29,118.87,119.5,94.15,13187677
2019-01-22,119.91,119.91,118.33,119.0,93.75,7074433
2019-01-23,119.08,119.66,116.91,117.29,92.41,5323552
2019-01-24,117.29,118.41,115.91,116.70,91.95,4250377
2019-01-25,117.08,118.25,115.04,115.25,90.80,5463236
2019-01-28,115.41,116.25,113.87,115.5,91.00,7303346
2019-01-29,115.5,116.16,114.5,115.41,90.93,9728281
2019-01-30,116.16,117.0,115.08,115.58,91.06,13777792
2019-01-31,117.08,117.66,115.83,116.41,91.72,44034840
2019-02-01,116.66,117.08,115.66,116.79,92.01,7099405
2019-02-04,116.75,117.0,113.95,114.37,90.11,6716304
2019-02-05,114.16,115.33,113.5,115.04,90.63,8526399
2019-02-06,113.16,114.79,112.5,114.25,92.41,12810810
2019-02-07,114.16,115.0,112.58,113.29,91.63,5193513
2019-02-08,112.83,114.5,109.62,110.04,89.00,5597162
2019-02-11,109.95,111.08,107.16,108.62,87.86,13126864
2019-02-12,108.37,111.62,108.33,111.04,89.81,14900754
2019-02-14,109.16,111.08,106.75,109.37,88.46,37913966
2019-02-15,110.0,114.5,110.0,113.54,91.83,25855830
2019-02-18,113.16,117.0,112.45,114.54,92.64,13001166
2019-02-19,114.25,114.91,110.37,111.41,90.12,9029095
2019-02-20,111.83,115.75,110.25,114.33,92.47,14955330
2019-02-21,114.83,115.41,112.91,113.70,91.97,4719134
2019-02-22,113.95,116.87,112.5,116.41,94.16,11678731
2019-02-25,116.33,117.5,113.54,116.95,94.60,27557787
2019-02-26,114.33,117.66,113.58,117.12,94.73,15501729
2019-02-27,116.08,119.12,115.12,115.62,93.52,18258775
2019-02-28,116.83,118.91,115.25,117.70,95.20,50183582
2019-03-01,118.08,119.79,118.04,119.16,96.38,6789074
2019-03-05,119.16,123.5,119.16,122.5,99.08,12988303
2019-03-06,123.08,124.58,122.58,124.12,100.39,10313295
2019-03-07,124.25,125.5,121.25,121.83,98.54,8337421
2019-03-08,122.91,129.0,121.12,126.83,102.59,34663172
2019-03-11,127.5,133.58,124.58,126.16,102.05,30007645
2019-03-12,125.66,130.29,125.16,126.04,101.95,23315044
2019-03-13,125.83,125.87,120.83,123.5,99.89,20943115
2019-03-14,124.08,129.08,123.41,128.04,103.56,14675396
2019-03-15,128.83,132.70,127.20,131.70,106.53,20356743
2019-03-18,131.54,134.0,129.79,132.29,107.00,19289406
2019-03-19,133.94,137.30,130.39,134.89,109.11,25950621
2019-03-20,135.80,136.0,128.10,129.25,104.54,28098992
2019-03-22,131.0,136.19,129.69,134.64,108.91,53779933
2019-03-25,133.85,137.5,133.75,135.35,109.47,31535535
2019-03-26,136.0,142.0,136.0,140.80,113.88,23510777
2019-03-27,140.89,140.89,136.19,137.0,110.81,20849776
2019-03-28,137.5,139.35,135.10,135.75,109.80,41232946
2019-04-01,136.39,137.5,133.55,135.10,109.27,26716877
2019-04-02,136.05,136.69,134.0,135.14,109.31,14343829
2019-04-03,135.94,137.5,134.0,134.80,109.03,12596804
2019-04-04,134.80,136.80,134.44,135.64,109.72,12939086
2019-04-05,135.55,136.44,134.39,134.80,109.03,7742848
2019-04-08,134.89,136.80,134.55,135.55,109.64,13409083
2019-04-09,135.5,136.44,135.05,135.89,109.92,7506763
2019-04-10,136.25,137.0,134.30,134.60,108.87,9502300
2019-04-11,134.94,136.39,134.39,135.94,109.96,8703097
2019-04-12,136.0,136.5,135.19,135.94,109.96,7212573
2019-04-15,136.25,138.30,135.39,136.75,110.61,11013801
2019-04-16,137.39,138.14,136.5,137.55,111.25,7469500
2019-04-18,137.5,137.85,135.05,135.35,109.47,6634192
2019-04-22,135.10,136.39,134.35,136.0,110.00,5541225
2019-04-23,136.0,136.10,133.25,133.64,108.10,8790522
2019-04-24,133.64,134.44,132.30,133.94,108.34,9255095
2019-04-25,134.0,135.35,132.30,132.89,107.49,29354749
2019-04-26,133.44,135.10,133.35,134.10,108.46,4789673
2019-04-30,134.25,134.80,131.44,134.05,108.42,7527996
2019-05-02,133.30,133.89,132.10,133.10,107.65,6401386
2019-05-03,133.10,136.64,133.0,135.44,109.56,9226969
2019-05-06,135.0,135.60,133.69,135.0,109.19,6080575
2019-05-07,135.44,136.19,133.60,134.10,108.46,9137799
2019-05-08,133.85,134.0,130.19,130.80,105.79,8742473
2019-05-09,130.75,130.80,126.40,127.69,103.29,14395488
2019-05-10,128.44,128.75,126.25,127.0,102.72,9724014
2019-05-13,126.90,127.0,123.0,123.55,99.93,11507204
2019-05-14,123.69,126.5,122.40,125.59,101.59,6908544
2019-05-15,126.30,126.90,123.0,123.94,100.25,9384447
2019-05-16,124.84,126.34,123.25,125.75,101.71,6519422
2019-05-17,124.75,126.59,124.0,125.5,101.51,10003051
2019-05-20,128.19,130.10,125.59,129.25,104.54,12330905
2019-05-21,129.69,129.75,127.75,128.60,104.01,8095621
2019-05-22,128.60,130.44,127.40,129.60,104.82,9540723
2019-05-23,130.60,133.44,129.35,129.85,105.03,11017547
2019-05-24,130.5,131.0,128.55,129.14,104.46,9371443
2019-05-27,132.39,136.60,130.14,133.19,107.74,19948676
2019-05-28,133.94,134.75,131.69,132.60,107.25,15628186
2019-05-29,132.0,133.25,130.19,130.89,105.87,5397986
2019-05-30,131.05,135.60,131.05,135.10,109.27,30257040
2019-05-31,135.25,136.05,132.30,133.25,107.78,11325445
2019-06-03,134.39,134.80,132.69,133.10,107.65,7302092
2019-06-04,133.14,136.35,133.14,135.05,109.23,10439893
2019-06-06,135.14,137.0,132.80,136.55,110.44,12191883
2019-06-07,137.0,137.5,134.5,135.14,109.31,9310029
2019-06-10,135.19,137.10,134.35,135.0,109.19,7295669
2019-06-11,135.39,136.64,133.75,135.30,109.43,4554162
2019-06-12,135.0,135.69,133.30,134.39,108.71,3660802
2019-06-13,134.5,135.85,133.30,134.89,109.11,5113806
2019-06-14,134.94,135.5,132.39,132.75,107.37,4761596
2019-06-17,133.44,133.85,131.39,132.25,106.97,3655275
2019-06-18,132.60,133.35,131.89,132.39,107.09,5172138
2019-06-19,132.5,135.25,132.5,134.64,108.91,5278372
2019-06-20,134.60,135.25,133.60,134.55,108.83,6963441
2019-06-21,134.85,135.19,134.05,134.55,108.83,9456244
2019-06-24,134.69,136.0,133.75,135.60,109.68,5918107
2019-06-25,135.94,139.69,135.14,138.44,111.98,18761799
2019-06-26,139.5,141.89,139.30,140.05,113.28,24643824
2019-06-27,141.05,142.0,139.05,140.14,113.36,38789825
2019-06-28,140.10,141.85,139.5,141.35,114.33,10648757
2019-07-01,142.19,145.85,138.64,142.55,115.30,31289422
2019-07-02,143.0,144.39,142.55,142.94,115.62,8847109
2019-07-03,143.85,144.39,142.64,143.25,115.86,6947927
2019-07-04,144.44,144.44,142.35,143.44,116.03,5792826
2019-07-05,142.80,143.80,135.39,136.5,110.40,21459265
2019-07-08,136.60,136.60,128.55,129.60,104.82,20404790
2019-07-09,128.44,132.0,127.59,129.55,104.78,19374808
2019-07-10,129.0,131.0,128.64,129.05,104.38,9141198
2019-07-11,130.25,130.89,128.60,128.94,104.30,6669919
2019-07-12,129.85,132.44,126.44,127.80,103.37,21467991
2019-07-15,128.0,128.94,127.30,127.94,103.49,5852788
2019-07-16,128.80,131.39,128.0,130.94,105.92,11313969
2019-07-17,131.60,132.14,128.69,129.10,104.42,10958942
2019-07-18,130.10,130.94,126.40,127.05,102.76,18049102
2019-07-19,127.94,131.0,126.05,129.89,105.07,33840376
2019-07-22,130.5,132.64,127.65,130.85,105.83,15870663
2019-07-23,131.44,133.44,130.5,133.05,107.61,9840729
2019-07-24,133.55,133.55,130.69,131.85,106.64,10421947
2019-07-25,132.0,132.85,128.39,129.75,104.94,29337351
2019-07-26,130.39,130.39,128.25,128.80,104.18,11411885
2019-07-29,128.0,128.80,126.75,127.30,102.96,22168687
2019-07-30,126.65,128.64,126.09,127.19,102.88,16228044
2019-07-31,126.19,127.34,125.5,126.55,102.36,14557889
2019-08-01,126.40,127.75,125.15,126.84,102.60,11138203
2019-08-02,126.19,126.90,122.44,123.09,99.57,21851409
2019-08-05,122.40,123.44,120.44,121.0,97.87,8713907
2019-08-06,120.0,124.90,119.75,123.34,99.77,13232442
2019-08-07,123.0,124.94,122.09,123.05,99.53,13132981
2019-08-08,123.15,125.15,122.19,124.65,100.82,8227791
2019-08-09,124.59,126.65,123.15,123.90,100.21,10566552
2019-08-13,123.0,123.0,114.75,117.15,96.70,25954194
2019-08-14,117.25,119.0,116.55,117.59,97.08,8641527
2019-08-16,117.40,119.30,116.59,117.80,97.24,10992249
2019-08-19,118.34,120.44,117.59,118.90,98.15,9653434
2019-08-20,119.0,120.25,117.34,117.94,97.36,7758935
2019-08-21,118.0,119.59,117.44,117.90,97.32,12842739
2019-08-22,118.0,118.40,113.84,114.75,94.72,16991585
2019-08-23,115.0,118.94,114.09,118.5,97.82,9284204
2019-08-26,119.0,120.59,117.69,120.05,99.10,11965007
2019-08-27,120.15,125.40,120.15,123.19,101.70,22238086
2019-08-28,123.80,124.69,119.44,119.90,98.97,11905383
2019-08-29,118.75,124.15,117.90,123.09,101.62,38336134
2019-08-30,122.90,123.65,115.59,121.65,100.42,18833819
2019-09-03,121.94,121.94,117.15,117.65,97.12,7635093
2019-09-04,118.0,119.90,116.65,119.44,98.60,7299231
2019-09-05,119.84,129.64,119.84,123.44,101.91,19432303
2019-09-06,123.44,127.80,123.30,127.0,104.84,11891983
2019-09-09,127.30,127.94,125.19,126.34,104.30,5303272
2019-09-11,126.5,127.55,123.84,124.5,102.77,5473674
2019-09-12,124.0,124.75,121.59,122.25,100.91,8444053
2019-09-13,122.34,124.30,121.25,124.05,102.40,7509999
2019-09-16,123.34,124.15,121.84,123.25,101.74,5593727
2019-09-17,122.84,123.15,120.55,120.90,99.80,5663425
2019-09-18,121.55,122.84,119.65,122.5,101.12,8627190
2019-09-19,122.94,122.94,120.09,121.69,100.46,6031946
2019-09-20,121.05,125.40,118.5,119.84,98.93,34008081
2019-09-23,121.09,121.59,114.05,116.05,95.80,33355557
2019-09-24,116.30,116.80,114.34,115.15,95.05,20864605
2019-09-25,115.59,118.59,115.05,116.90,96.50,18851203
2019-09-26,117.25,118.69,115.94,116.55,96.21,21458595
2019-09-27,117.90,119.09,116.30,117.05,96.62,9325734
2019-09-30,117.09,118.19,115.75,117.5,96.99,12045142
2019-10-01,118.0,118.90,116.25,117.05,96.62,9718865
2019-10-03,117.55,117.55,114.59,116.75,96.37,10477900
2019-10-04,117.30,120.5,116.5,117.40,96.91,20289650
2019-10-07,117.44,117.94,114.69,115.94,95.71,14111765
2019-10-09,116.0,118.0,115.40,117.25,96.79,8413122
2019-10-10,117.19,117.5,116.34,117.25,96.79,6885340
2019-10-11,117.19,118.34,115.90,116.69,96.33,9176578
2019-10-14,116.55,118.15,116.19,117.75,97.20,12146203
2019-10-15,117.0,119.80,117.0,119.40,98.56,7630007
2019-10-16,118.80,119.80,116.90,117.40,96.91,10206387
2019-10-17,117.69,119.19,116.94,118.69,97.98,10163035
2019-10-18,118.80,121.5,118.40,121.05,99.92,16961782
2019-10-22,121.65,121.65,119.94,120.90,99.80,12091476
2019-10-23,120.25,121.69,120.25,121.05,99.92,6580501
2019-10-24,122.0,122.0,119.19,120.19,99.22,8009018
2019-10-25,120.84,120.84,118.19,118.5,97.82,8505881
2019-10-27,119.0,119.09,118.55,118.80,98.07,312098
