Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,219.94,221.05,218.05,219.10,209.87,716275
2019-01-02,219.0,220.35,213.60,214.60,205.56,1081778
2019-01-03,214.94,215.35,209.89,210.05,201.21,2096553
2019-01-04,210.60,214.89,210.0,213.80,204.80,1213181
2019-01-07,214.60,216.94,214.0,214.94,205.90,871903
2019-01-08,214.60,216.14,212.69,215.14,206.09,590293
2019-01-09,216.0,216.69,210.64,212.60,203.65,908322
2019-01-10,212.05,215.19,212.05,214.14,205.13,715378
2019-01-11,214.0,215.25,211.30,211.89,202.98,698106
2019-01-14,211.75,214.25,209.64,213.5,204.51,1036107
2019-01-15,213.10,215.25,212.60,214.30,205.28,649313
2019-01-16,214.39,219.19,213.85,216.44,207.34,1088457
2019-01-17,216.5,218.75,215.05,218.14,208.96,1267904
2019-01-18,218.39,218.5,213.69,216.25,207.14,771653
2019-01-21,216.19,216.94,210.0,210.5,201.64,1005521
2019-01-22,209.69,212.55,209.19,212.10,203.17,682384
2019-01-23,211.5,214.80,210.0,210.60,201.73,937183
2019-01-24,212.10,212.64,209.44,210.80,201.92,1059068
2019-01-25,211.0,212.05,206.05,207.05,198.33,1723705
2019-01-28,207.0,210.30,201.35,209.25,200.44,1629992
2019-01-29,210.0,210.39,202.19,204.85,196.22,1325502
2019-01-30,203.75,206.55,201.89,204.5,195.89,1407845
2019-01-31,205.80,206.0,200.80,203.80,195.22,2584783
2019-02-01,203.80,207.80,201.64,204.10,195.51,948332
2019-02-04,203.5,204.44,198.0,199.85,191.43,1115503
2019-02-05,198.5,200.05,179.30,185.94,178.12,8331711
2019-02-06,184.0,189.75,178.10,188.44,180.51,3459646
2019-02-07,188.30,192.44,186.64,191.10,183.05,1968302
2019-02-08,190.0,191.5,184.39,185.69,177.88,1280248
2019-02-11,185.89,186.0,177.05,179.75,172.18,3460117
2019-02-12,179.05,189.0,178.60,186.55,178.69,2805228
2019-02-14,183.14,190.39,182.94,188.89,180.95,997833
2019-02-15,191.0,191.0,184.19,186.14,178.31,1624523
2019-02-18,186.14,186.5,181.5,182.75,175.05,1026852
2019-02-19,182.60,188.80,182.25,184.5,176.73,984628
2019-02-20,184.5,189.30,184.5,188.69,180.75,993170
2019-02-21,188.0,194.89,187.55,190.64,182.62,2511829
2019-02-22,190.0,192.05,188.05,189.25,181.28,1243941
2019-02-25,190.10,193.19,188.55,191.10,183.05,1373833
2019-02-26,189.75,192.25,185.35,191.64,183.58,1271388
2019-02-27,192.0,195.0,190.10,192.69,184.59,1816786
2019-02-28,192.39,195.0,191.55,193.69,185.54,1090108
2019-03-01,194.0,197.85,193.19,197.30,188.99,1292085
2019-03-05,197.60,199.89,196.60,197.55,189.23,1910560
2019-03-06,198.5,203.25,196.10,197.94,189.61,1716592
2019-03-07,198.80,199.89,196.14,196.60,188.32,933729
2019-03-08,196.0,197.60,192.60,193.19,185.06,1542933
2019-03-11,192.05,203.0,192.05,202.5,193.97,3592265
2019-03-12,204.44,206.19,203.14,204.89,196.27,1991333
2019-03-13,205.94,208.75,202.25,202.85,194.31,2690181
2019-03-14,204.0,211.80,203.0,206.19,197.52,6563662
2019-03-15,207.39,208.60,202.35,203.19,194.64,2025761
2019-03-18,204.89,205.0,198.55,200.25,191.82,1608207
2019-03-19,200.55,205.5,200.30,203.30,194.74,1792277
2019-03-20,203.85,204.0,197.14,198.10,189.76,2158406
2019-03-22,199.30,201.85,195.19,195.75,187.51,1298095
2019-03-25,195.0,199.5,193.60,196.64,188.37,1658129
2019-03-26,195.64,197.5,194.05,196.05,187.79,1154541
2019-03-27,196.5,200.19,195.10,196.60,188.32,1962815
2019-03-28,197.5,200.55,196.75,198.94,190.57,1586111
2019-04-01,204.55,209.30,204.19,208.10,199.34,1915582
2019-04-02,208.0,214.69,207.55,211.89,202.98,3913611
2019-04-03,212.64,213.19,207.35,208.35,199.58,2330970
