Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,173.5,174.19,171.30,173.44,172.91,6715543
2019-01-02,170.60,171.75,168.0,168.55,168.02,13410104
2019-01-03,169.0,170.14,165.10,166.05,165.53,9321842
2019-01-04,169.0,171.94,168.5,170.94,170.41,17650435
2019-01-07,173.19,178.19,173.19,175.35,174.80,21438351
2019-01-08,176.10,180.5,176.10,179.94,179.39,20128985
2019-01-09,181.5,183.60,180.19,183.05,182.48,17468948
2019-01-10,183.64,186.85,183.55,185.75,185.17,16961888
2019-01-11,186.55,187.75,179.39,180.30,179.73,25902974
2019-01-14,180.30,198.30,177.44,182.39,181.83,18935120
2019-01-15,183.30,185.80,181.25,185.35,184.77,13536578
2019-01-16,186.0,187.35,184.05,185.44,184.87,11874245
2019-01-17,186.0,187.30,183.39,184.89,184.32,9365756
2019-01-18,185.64,185.64,181.30,183.30,182.73,6797621
2019-01-21,184.30,184.94,180.64,181.5,180.93,6918258
2019-01-22,181.5,181.5,175.94,180.85,180.28,9775717
2019-01-23,181.69,182.69,178.55,180.25,179.68,9778926
2019-01-24,180.0,180.30,173.69,175.39,174.85,13461254
2019-01-25,175.94,178.89,171.94,173.25,172.71,12136892
2019-01-28,173.30,175.35,169.39,172.30,171.76,8167430
2019-01-29,172.35,174.89,170.89,173.60,173.06,6141180
2019-01-30,174.30,176.75,173.30,174.60,174.05,7757847
2019-01-31,175.80,183.89,175.80,181.19,180.63,22277646
2019-02-01,182.0,185.89,179.55,181.64,181.08,14931422
2019-02-04,181.0,183.69,178.19,180.25,179.68,11854351
2019-02-05,180.69,181.14,174.69,175.80,175.25,12064426
2019-02-06,176.0,179.44,171.89,178.5,177.94,10334594
2019-02-07,179.0,185.0,178.89,182.85,182.28,16152722
2019-02-08,164.60,164.60,129.0,150.69,150.23,102256857
2019-02-11,150.14,153.25,145.85,152.64,152.17,26161867
2019-02-12,152.94,154.39,150.60,151.80,151.32,14174912
2019-02-14,155.94,161.0,153.80,159.85,159.35,16348306
2019-02-15,159.80,162.30,153.14,161.64,161.14,20705576
2019-02-18,162.80,163.44,159.19,162.89,162.39,13503666
2019-02-19,164.0,165.94,161.55,163.75,163.24,14533142
2019-02-20,164.44,166.69,163.75,164.80,164.28,11610728
2019-02-21,165.60,170.60,165.10,169.69,169.17,14811723
2019-02-22,170.0,175.30,167.85,174.30,173.75,13011477
2019-02-25,175.14,177.5,173.5,175.75,175.20,15554532
2019-02-26,173.0,183.44,172.5,182.64,182.08,31859427
2019-02-27,183.55,186.10,176.10,177.35,176.79,19723906
2019-02-28,180.0,181.55,176.60,177.44,176.89,18692372
2019-03-01,178.64,184.0,177.35,180.30,179.73,20539919
2019-03-05,183.80,198.35,181.39,194.05,193.44,58138551
2019-03-06,195.39,195.39,187.75,188.80,188.21,22468702
2019-03-07,191.39,193.44,187.80,189.30,188.71,27051501
2019-03-08,187.80,187.94,180.0,181.19,180.63,28012914
2019-03-11,182.0,184.60,181.05,181.85,181.28,25669662
2019-03-12,184.39,186.0,183.55,184.80,184.22,18657724
2019-03-13,184.44,184.89,180.39,181.69,181.13,9769821
2019-03-14,181.5,182.44,177.64,179.55,178.99,15737080
2019-03-15,180.19,181.39,177.60,180.0,179.44,17490993
2019-03-18,181.0,184.69,179.5,182.25,181.68,14690339
2019-03-19,182.0,184.5,180.75,182.85,182.28,10318028
2019-03-20,183.0,183.44,179.60,180.19,179.64,7543753
2019-03-22,181.94,182.0,174.89,175.39,174.85,11505994
2019-03-25,173.69,173.80,170.55,171.30,170.76,11864723
2019-03-26,171.89,173.60,171.60,173.10,172.56,7820112
2019-03-27,174.0,175.0,169.14,169.85,169.32,10047628
2019-03-28,169.0,171.39,167.55,170.55,170.02,13203927
2019-04-01,176.35,189.75,176.35,187.35,186.76,46389181
2019-04-02,188.05,204.39,185.30,202.94,202.31,100834335
2019-04-03,205.0,208.94,199.19,201.35,200.72,81779620
2019-04-04,201.85,206.89,201.05,206.14,205.50,41268908
2019-04-05,208.0,209.5,202.30,205.14,204.51,32057373
2019-04-08,206.0,207.39,198.80,200.55,199.92,23877595
2019-04-09,200.0,207.60,198.14,205.89,205.26,29611268
2019-04-10,206.0,217.39,205.60,216.05,215.37,69349488
2019-04-11,216.60,219.19,213.30,218.19,217.52,41859862
2019-04-12,218.94,219.0,215.0,215.94,215.27,21788548
2019-04-15,217.14,233.25,217.14,231.75,231.02,57283251
2019-04-16,233.80,234.10,225.64,230.5,229.78,41653657
2019-04-18,231.89,239.30,230.60,236.25,235.51,42451178
2019-04-22,235.0,239.35,231.69,234.85,234.12,30282217
2019-04-23,235.0,235.85,230.25,231.64,230.93,18975358
2019-04-24,231.64,232.94,217.60,223.60,222.90,50317411
2019-04-25,223.39,225.89,220.25,221.85,221.16,27132908
2019-04-26,221.89,221.89,214.0,215.60,214.93,26038093
2019-04-30,216.19,218.64,210.30,214.30,213.63,21289116
2019-05-02,211.0,212.64,206.5,207.30,206.65,21986007
2019-05-03,205.0,213.64,203.05,209.44,208.79,37153857
2019-05-06,204.0,204.5,198.0,199.80,199.17,30117667
2019-05-07,201.69,202.85,189.35,190.94,190.35,30516908
2019-05-08,190.0,190.89,183.80,185.10,184.52,28443735
2019-05-09,184.30,189.80,182.30,186.35,185.77,32841616
2019-05-10,187.0,190.60,184.30,185.89,185.32,28910719
2019-05-13,186.19,187.14,179.60,180.75,180.18,15373536
2019-05-14,178.25,186.05,177.80,184.5,183.92,21412933
2019-05-15,185.55,185.94,167.39,169.44,168.92,31427815
2019-05-16,176.0,177.55,172.80,175.39,174.85,30308248
2019-05-17,174.94,177.69,170.19,176.85,176.30,21575989
2019-05-20,181.44,192.0,179.25,190.14,189.55,29873588
2019-05-21,185.25,186.89,174.05,176.80,176.25,57822527
2019-05-22,177.60,180.39,174.80,179.10,178.54,25845734
2019-05-23,182.85,182.85,173.5,175.14,174.60,22912106
2019-05-24,177.0,183.5,175.35,182.30,181.73,22494409
2019-05-27,181.75,183.5,179.30,181.35,180.78,14774311
2019-05-28,181.35,185.30,179.80,180.25,179.68,23272915
2019-05-29,179.85,180.0,175.35,176.35,175.80,15222008
2019-05-30,177.5,178.5,173.10,175.14,174.60,18078726
2019-05-31,177.80,177.85,170.0,172.60,172.06,21488115
2019-06-03,170.5,175.0,168.39,174.5,173.95,21288078
2019-06-04,174.25,177.19,172.39,173.25,172.71,17428731
2019-06-06,174.05,175.85,168.85,169.69,169.17,16874819
2019-06-07,169.89,171.69,167.25,169.5,168.97,14465703
2019-06-10,170.89,172.05,163.55,166.19,165.68,20209862
2019-06-11,166.85,171.89,165.64,170.75,170.21,20363493
2019-06-12,170.89,172.19,168.10,169.05,168.52,12819208
2019-06-13,166.89,168.89,164.5,167.39,166.87,15144315
2019-06-14,167.5,167.5,163.5,164.19,163.68,10920508
2019-06-17,163.75,164.14,158.0,158.75,158.25,14381813
2019-06-18,159.0,161.0,156.75,158.30,157.80,14003043
2019-06-19,160.0,163.75,152.5,154.64,154.16,25257018
2019-06-20,153.44,160.0,152.14,159.25,158.75,19247947
2019-06-21,155.0,160.75,154.5,158.89,158.40,23304207
2019-06-24,158.69,160.19,156.19,159.30,158.80,13185118
2019-06-25,158.0,161.0,156.85,160.44,159.95,13368928
2019-06-26,160.10,162.19,158.75,161.10,160.59,18481332
2019-06-27,161.85,168.0,161.10,165.85,165.33,26612983
2019-06-28,165.19,166.75,161.35,162.55,162.04,15092229
2019-07-01,163.69,169.39,163.19,168.0,167.47,23990900
2019-07-02,166.80,167.35,161.35,163.75,163.24,16903683
2019-07-03,163.75,165.0,161.69,162.30,161.79,13606179
2019-07-04,162.5,167.75,162.0,165.19,164.68,19512938
2019-07-05,165.14,166.94,159.5,160.19,159.70,14374084
2019-07-08,159.35,159.5,153.5,154.55,154.06,15149035
2019-07-09,154.0,157.14,152.75,155.80,155.31,16112345
2019-07-10,156.25,156.25,149.10,151.64,151.17,31737846
2019-07-11,153.0,157.69,150.35,156.80,156.31,24099895
2019-07-12,155.89,162.85,154.0,159.30,158.80,27307153
2019-07-15,159.0,162.60,157.85,160.94,160.44,19924720
2019-07-16,159.80,170.94,159.05,170.0,169.47,39025331
2019-07-17,170.0,172.35,166.30,167.89,167.37,25236730
2019-07-18,167.25,167.25,160.0,160.75,160.25,19055022
2019-07-19,161.44,162.39,153.85,154.85,154.36,18954216
2019-07-22,155.44,159.30,155.25,156.75,156.26,15995349
2019-07-23,157.39,159.0,154.80,156.19,155.71,12942555
2019-07-24,156.35,157.55,150.5,151.25,150.78,16292964
2019-07-25,151.30,152.5,143.75,144.30,143.85,34364032
2019-07-26,138.10,150.14,138.10,147.14,146.69,83905651
2019-07-29,146.89,146.89,136.85,137.55,137.12,38844222
2019-07-30,138.0,139.69,132.60,133.44,133.03,35725524
2019-07-31,133.5,136.39,132.5,135.60,135.17,27024859
2019-08-01,135.5,136.30,127.55,129.55,129.14,38991424
2019-08-02,128.5,133.19,127.0,130.69,130.29,44016138
2019-08-05,128.0,128.19,122.30,123.75,123.36,35452262
2019-08-06,123.05,126.55,121.75,122.5,122.11,34790369
2019-08-07,122.59,123.84,116.5,117.40,117.03,37287779
2019-08-08,118.0,125.0,116.90,124.05,123.66,35876237
2019-08-09,124.5,126.5,120.69,122.05,121.67,39245417
2019-08-13,123.80,126.30,121.0,121.94,121.57,35498118
2019-08-14,122.69,123.80,118.59,120.90,120.52,30136178
2019-08-16,119.90,122.44,117.34,121.34,120.97,35264621
2019-08-19,121.19,122.59,120.0,120.80,120.42,23194786
2019-08-20,120.0,124.80,119.0,123.84,123.46,34809225
2019-08-21,123.0,123.0,109.5,112.40,112.05,83509593
2019-08-22,112.0,114.0,106.19,107.69,107.36,58612708
2019-08-23,108.90,111.59,107.65,111.05,110.70,41178606
2019-08-26,114.55,115.40,106.80,110.55,110.20,47757623
2019-08-27,112.69,121.40,111.80,120.34,119.97,70636441
2019-08-28,120.55,124.0,114.80,116.34,115.98,74245952
2019-08-29,116.5,118.5,112.09,114.30,113.94,48098849
2019-08-30,115.59,117.30,112.0,116.69,116.33,42250518
2019-09-03,113.05,115.34,111.19,112.65,112.29,36905736
2019-09-04,112.0,113.0,106.0,109.5,109.15,76317447
2019-09-05,109.75,119.34,109.5,118.05,117.68,75789807
2019-09-06,118.34,122.30,116.55,121.25,120.87,67761586
2019-09-09,119.0,122.59,117.34,121.90,121.52,51297512
2019-09-11,127.0,135.0,125.30,134.35,133.93,96568372
2019-09-12,134.60,135.35,126.69,127.94,127.55,72084195
2019-09-13,129.19,130.94,125.5,129.55,129.14,69088728
2019-09-16,128.0,130.30,126.5,128.60,128.20,40951047
2019-09-17,129.0,130.5,121.34,122.0,121.62,47652658
2019-09-18,123.05,125.90,120.5,121.75,121.37,53048836
2019-09-19,123.5,125.34,121.19,124.19,123.81,51011848
2019-09-20,125.0,137.75,122.59,133.25,132.83,89223235
2019-09-23,135.0,138.39,126.5,127.90,127.50,51032391
2019-09-24,128.05,132.19,128.0,130.89,130.49,41659100
2019-09-25,129.89,129.89,121.5,123.05,122.66,47567575
2019-09-26,123.90,127.25,122.80,124.5,124.11,45866398
2019-09-27,122.0,122.44,118.19,119.90,119.52,45875793
2019-09-30,120.65,120.84,116.40,117.44,117.08,32158885
2019-10-01,118.0,119.84,113.0,115.30,114.94,40232789
2019-10-03,112.65,123.5,112.65,122.40,122.01,65103359
2019-10-04,122.80,123.80,118.80,119.65,119.27,35712218
2019-10-07,120.25,120.55,116.34,117.5,117.13,35471184
2019-10-09,118.5,121.69,115.44,120.90,120.52,44666296
2019-10-10,119.30,119.69,116.19,116.80,116.43,31229192
2019-10-11,118.05,122.19,117.25,121.30,120.92,41027561
2019-10-14,122.59,130.0,122.5,127.84,127.45,68048611
2019-10-15,127.09,128.89,123.69,126.94,126.55,57548920
2019-10-16,127.30,128.30,124.5,125.84,125.45,31522518
2019-10-17,127.09,144.35,125.09,139.5,139.06,67933615
2019-10-18,139.0,141.80,135.60,136.85,136.42,64884113
2019-10-22,133.35,135.60,129.80,131.75,131.34,53532482
2019-10-23,130.44,133.80,127.25,132.64,132.23,50293574
2019-10-24,133.0,135.14,130.5,133.5,133.08,41951668
2019-10-25,132.0,133.0,125.69,126.84,126.45,42868958
2019-10-27,139.5,150.69,139.5,147.69,147.24,39489993
2019-10-29,151.89,175.5,151.19,172.44,171.91,184435614
2019-10-30,175.0,175.64,166.55,171.89,171.36,90759545
2019-10-31,169.80,179.64,168.94,177.69,177.14,81392641
2019-11-01,175.19,178.0,172.39,175.05,174.50,40613555
2019-11-04,171.60,178.44,170.85,172.19,171.66,40641411
2019-11-05,173.25,175.75,169.94,172.0,171.46,36268596
