Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,52.40,52.45,51.35,51.57,44.02,41281730
2019-01-02,50.59,50.68,49.20,49.36,42.14,117473500
2019-01-03,49.29,49.31,48.02,48.12,41.08,135329440
2019-01-04,48.09,49.28,47.95,48.76,41.62,104800720
2019-01-07,49.54,50.09,48.38,48.54,41.44,84067870
2019-01-08,48.56,49.33,48.38,49.13,41.94,62697060
2019-01-09,48.89,49.72,47.52,47.91,40.90,126966600
2019-01-10,48.0,48.41,47.75,48.04,41.01,70810000
2019-01-11,48.39,48.42,47.20,47.41,40.48,75408240
2019-01-14,47.41,47.43,46.68,47.08,40.19,58899170
2019-01-15,47.29,47.65,46.90,47.50,40.55,76031810
2019-01-16,47.61,47.99,47.27,47.45,40.51,52802930
2019-01-17,47.63,47.82,47.04,47.31,40.39,42819350
2019-01-18,47.35,47.77,46.79,47.06,40.17,49148490
2019-01-21,47.29,47.75,47.00,47.16,40.26,46136900
2019-01-22,47.06,47.06,45.5,45.65,38.97,89577660
2019-01-23,45.70,46.78,45.70,46.45,39.66,72593860
2019-01-24,46.45,46.45,45.72,46.07,39.33,47908460
2019-01-25,46.22,46.58,45.11,45.29,38.66,41579670
2019-01-28,45.29,45.39,44.33,44.56,38.04,43351470
2019-01-29,44.40,45.21,44.13,44.38,37.88,52257240
2019-01-30,44.66,47.13,44.66,46.74,39.90,108579250
2019-01-31,47.20,47.88,46.76,47.66,40.69,92437290
2019-02-01,47.70,48.20,47.0,47.47,40.52,50159940
2019-02-04,47.49,47.86,45.20,47.60,40.63,109720290
2019-02-05,47.70,47.70,45.94,46.47,39.67,72819270
2019-02-06,46.59,48.66,46.38,48.50,41.41,109992650
2019-02-07,48.34,49.13,47.81,48.90,41.74,78573380
2019-02-08,48.29,48.77,46.59,46.87,40.01,84145140
2019-02-11,47.5,48.70,46.02,48.06,41.03,232623140
2019-02-12,47.84,49.72,47.66,48.74,41.60,188361110
2019-02-14,48.20,48.63,47.54,48.25,41.19,61850420
2019-02-15,48.29,48.34,46.26,46.75,39.90,74992400
2019-02-18,46.88,47.70,46.43,46.55,39.74,62535140
2019-02-19,46.54,48.06,46.54,47.09,40.20,82245450
2019-02-20,47.25,49.38,47.25,49.11,41.92,154872510
2019-02-21,49.25,50.29,49.03,49.88,42.58,117827140
2019-02-22,49.70,50.40,49.20,50.22,42.88,100057230
2019-02-25,50.40,50.95,49.82,50.50,43.11,103576040
2019-02-26,49.79,50.86,49.16,50.36,42.99,98562990
2019-02-27,50.70,51.22,49.79,50.70,43.29,94443460
2019-02-28,50.65,51.09,49.83,50.04,42.72,74854180
2019-03-01,50.34,50.97,50.20,50.75,43.33,66725690
2019-03-05,50.84,52.29,50.52,52.17,44.54,91180370
2019-03-06,52.29,52.53,51.54,52.08,44.46,63112270
2019-03-07,51.98,52.31,51.35,52.11,44.48,61536310
2019-03-08,51.68,51.86,50.63,50.78,43.35,65048470
2019-03-11,51.0,52.24,50.95,52.06,44.44,59082750
2019-03-12,52.43,53.04,52.09,52.51,44.83,82982750
2019-03-13,52.5,52.5,51.25,51.37,43.85,64091530
2019-03-14,51.39,52.18,51.34,51.76,44.19,44966420
2019-03-15,51.79,52.09,51.24,51.54,44.00,42339380
2019-03-18,51.95,52.67,51.52,52.52,44.83,63176050
2019-03-19,52.77,53.18,52.06,52.75,45.03,63298400
2019-03-20,52.60,52.62,51.10,51.36,43.84,87023070
2019-03-22,51.70,52.40,51.56,51.84,44.25,52334460
2019-03-25,51.27,51.77,50.70,51.51,43.97,50368870
2019-03-26,51.59,52.09,51.41,51.93,44.33,33298250
