Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,715.0,721.45,715.0,719.09,593.10,815535
2019-01-02,719.15,729.70,709.25,712.04,587.29,2576769
2019-01-03,715.04,716.0,685.25,691.25,570.13,3558015
2019-01-04,694.45,697.04,672.5,681.09,561.76,3926171
2019-01-07,685.0,690.84,682.54,687.5,567.04,1885000
2019-01-08,688.0,692.40,685.20,689.84,568.98,1300906
2019-01-09,694.20,701.40,684.0,693.70,572.15,2183998
2019-01-10,695.0,696.95,689.15,694.54,572.85,1454656
2019-01-11,694.0,701.25,687.0,699.20,576.69,1849817
2019-01-14,703.0,703.09,676.90,679.84,560.73,1558602
2019-01-15,682.95,710.79,682.04,706.25,582.50,2491520
2019-01-16,705.0,705.0,697.0,699.90,577.27,1922647
2019-01-17,699.5,709.09,696.0,705.54,581.93,1434040
2019-01-18,705.0,714.20,702.34,709.15,584.90,1888004
2019-01-21,710.34,721.40,709.0,713.90,588.81,2586962
2019-01-22,714.0,720.0,701.79,714.20,589.06,2839669
2019-01-23,714.0,725.90,711.0,720.70,594.42,1965283
2019-01-24,724.0,730.0,716.5,727.75,600.24,1849102
2019-01-25,732.0,735.20,724.0,729.04,601.31,2528541
2019-01-28,732.20,738.0,721.15,735.15,606.34,1804582
2019-01-29,735.20,742.40,721.40,731.5,603.33,3100457
2019-01-30,732.0,733.40,711.75,714.59,589.39,2139900
2019-01-31,718.0,736.70,718.0,731.90,603.66,3253640
2019-02-01,732.95,750.59,728.0,746.59,615.78,2260029
2019-02-04,749.0,752.25,736.59,749.15,617.89,1518373
2019-02-05,752.0,760.0,740.20,751.0,619.41,2446263
2019-02-06,784.0,814.5,774.0,811.34,669.19,14860848
2019-02-07,809.0,816.20,798.09,805.0,663.95,4966655
2019-02-08,800.0,818.0,800.0,805.54,664.41,5242725
2019-02-11,809.0,813.90,804.0,809.40,667.58,2541742
2019-02-12,809.90,814.90,796.45,805.15,664.08,2416559
2019-02-14,805.79,811.75,800.40,805.90,664.69,2464657
2019-02-15,804.79,804.79,777.25,799.65,659.54,4312334
2019-02-18,815.0,822.0,800.5,803.45,662.67,3851335
2019-02-19,807.0,809.0,788.84,791.0,652.40,2372030
2019-02-20,794.04,816.25,785.25,812.40,670.06,3340240
2019-02-21,814.0,840.0,809.09,820.65,676.86,14193982
2019-02-22,824.90,829.75,818.09,826.0,681.27,4789937
2019-02-25,830.20,832.90,822.5,830.65,685.11,2881535
2019-02-26,825.0,838.40,820.59,833.29,687.29,3319590
2019-02-27,836.40,837.95,820.59,825.59,680.94,3703224
2019-02-28,833.0,838.40,825.0,830.15,684.70,6409662
2019-03-01,831.0,836.5,829.09,831.79,686.06,3820707
2019-03-05,822.5,824.70,808.04,810.0,668.08,4927644
2019-03-06,812.0,829.70,812.0,823.54,679.25,3999053
2019-03-07,823.54,825.45,806.25,808.25,666.63,2306250
2019-03-08,810.20,813.5,802.59,811.34,669.19,1437045
2019-03-11,812.0,814.40,803.0,807.15,665.73,2699806
2019-03-12,811.0,813.75,801.15,804.70,663.70,2793702
2019-03-13,808.90,816.0,788.0,789.95,651.54,4815576
2019-03-14,792.09,795.0,775.0,788.45,650.30,3112666
2019-03-15,794.0,807.5,787.0,799.29,659.25,3854238
2019-03-18,804.95,805.70,782.25,788.59,650.43,3379301
2019-03-19,793.5,797.45,783.25,794.65,655.42,2413153
2019-03-20,797.0,806.20,787.29,789.84,651.46,3331375
2019-03-22,794.5,798.0,783.20,788.75,650.55,2815749
2019-03-25,792.0,795.45,786.40,789.59,651.25,1861646
2019-03-26,790.20,791.90,768.15,770.75,635.70,3169827
2019-03-27,771.0,773.0,761.59,764.95,630.92,3893738
2019-03-28,770.0,782.0,768.04,771.70,636.49,3908706
2019-04-01,782.84,794.79,779.0,785.5,647.87,3433947
2019-04-02,790.95,794.0,785.04,792.45,653.60,2596840
2019-04-03,792.45,793.34,776.25,777.70,641.44,1467406
2019-04-04,777.90,781.75,767.25,774.5,638.80,1751584
2019-04-05,779.0,787.09,774.5,777.25,641.06,1367411
2019-04-08,779.70,790.0,773.40,787.15,649.23,1368825
2019-04-09,790.34,797.70,787.29,789.5,651.17,2128462
2019-04-10,786.04,798.95,786.0,790.25,651.79,2497013
2019-04-11,790.40,795.75,778.59,780.95,644.12,1854222
2019-04-12,779.0,786.34,774.54,785.34,647.74,3162714
2019-04-15,785.34,799.40,785.0,797.20,657.52,3317405
2019-04-16,799.0,804.70,795.15,798.09,658.26,1868910
2019-04-18,804.0,809.0,798.09,800.34,660.12,6307643
2019-04-22,800.70,810.79,798.79,805.34,664.24,1833972
2019-04-23,806.5,807.95,800.04,804.95,663.91,1214892
2019-04-24,807.0,820.0,806.0,818.75,675.29,2710117
2019-04-25,820.0,827.0,813.45,816.5,673.44,5447101
2019-04-26,816.5,826.84,816.5,823.25,679.00,1996703
2019-04-30,825.95,838.0,823.09,836.09,689.60,2783771
2019-05-02,834.90,846.5,829.09,837.0,690.35,3241791
2019-05-03,830.0,834.45,813.0,817.40,674.18,2329144
2019-05-06,810.0,825.5,810.0,820.15,676.45,1247845
2019-05-07,822.0,824.29,809.70,814.65,671.91,1810222
2019-05-08,813.0,814.09,799.59,802.29,661.72,1270071
2019-05-09,801.0,814.75,799.20,809.65,667.79,2024710
2019-05-10,810.40,813.40,800.40,808.40,666.76,1429055
2019-05-13,811.59,825.70,809.20,817.29,674.10,3719275
2019-05-14,818.79,818.79,786.59,790.04,651.62,2701861
2019-05-15,791.0,798.40,785.54,790.29,651.83,1662095
2019-05-16,788.65,794.75,781.34,789.34,651.04,1233818
2019-05-17,793.0,793.0,776.54,784.84,647.33,1608854
2019-05-20,790.0,790.0,763.0,779.34,642.80,3754370
2019-05-21,780.0,784.79,768.09,773.04,637.60,1669926
2019-05-22,758.0,767.34,744.20,749.95,618.55,5888740
2019-05-23,760.0,761.34,740.54,743.29,613.06,3764857
2019-05-24,749.90,749.90,732.04,735.84,606.92,3591853
2019-05-27,737.0,738.0,719.5,726.04,598.83,3672605
2019-05-28,727.0,746.75,727.0,737.15,607.99,5583587
2019-05-29,736.95,748.25,733.65,738.84,609.39,2058402
2019-05-30,741.5,746.0,732.95,735.0,606.22,3367426
2019-05-31,740.0,763.79,738.15,760.34,627.13,5503111
2019-06-03,763.90,763.90,749.0,757.59,624.86,2826290
2019-06-04,756.29,762.70,746.79,748.29,617.19,2332547
2019-06-06,748.29,749.29,733.90,738.0,608.69,3225967
2019-06-07,738.09,752.70,729.40,750.75,619.21,1569343
2019-06-10,755.45,769.34,754.04,768.20,633.60,2539412
2019-06-11,770.0,770.75,759.25,762.09,628.57,2069998
2019-06-12,762.0,764.29,743.29,747.95,616.90,3056823
2019-06-13,744.0,752.70,738.5,744.09,613.72,2385606
2019-06-14,744.0,746.65,735.29,740.25,610.55,1348083
2019-06-17,740.0,743.15,734.04,736.54,607.50,1333739
2019-06-18,737.90,744.40,736.04,741.54,611.62,1645116
2019-06-19,742.0,744.29,729.54,735.59,606.71,1945921
2019-06-20,722.0,731.0,717.84,725.54,598.42,4139025
2019-06-21,729.0,744.0,726.5,740.45,610.71,7280809
2019-06-24,738.0,738.0,727.0,728.25,600.65,1242655
2019-06-25,727.0,728.15,720.0,724.34,597.43,1451025
2019-06-26,721.29,730.84,716.40,718.09,592.28,2781711
2019-06-27,715.5,719.0,691.65,701.95,578.96,8567309
2019-06-28,706.90,715.0,704.09,706.59,582.79,3421172
2019-07-01,709.70,711.20,702.34,704.65,581.18,2073961
2019-07-02,702.04,713.0,700.25,711.65,586.96,2432132
2019-07-03,713.0,713.45,698.5,701.09,578.26,2040614
2019-07-04,701.40,706.75,697.0,700.59,577.84,2838357
2019-07-05,700.5,703.0,678.29,681.09,561.76,2813644
2019-07-08,680.0,685.75,665.5,680.34,561.14,2293102
2019-07-09,681.0,684.0,668.59,675.90,557.47,2180104
2019-07-10,671.04,684.79,668.0,674.84,556.61,2468773
2019-07-11,676.70,676.70,658.40,665.70,549.06,3449721
2019-07-12,665.0,672.90,663.0,665.79,549.14,1792810
2019-07-15,675.0,680.70,665.84,677.90,559.12,1883164
2019-07-16,680.0,681.59,670.5,675.95,557.51,2015642
2019-07-17,675.95,695.5,673.04,690.79,569.76,3271680
2019-07-18,687.34,694.25,680.09,687.20,566.79,2984256
2019-07-19,687.20,691.5,664.40,675.04,556.77,2005513
2019-07-22,671.0,679.0,670.0,671.95,554.21,1286218
2019-07-23,673.25,675.54,665.75,671.20,553.59,1462269
2019-07-24,670.34,679.79,651.45,660.45,544.73,3060459
2019-07-25,647.79,657.65,641.5,652.5,549.83,2751865
2019-07-26,649.70,651.0,641.04,643.5,542.24,1637706
2019-07-29,641.0,654.65,641.0,646.29,544.60,2524484
2019-07-30,645.0,650.29,633.15,640.25,539.50,2882913
2019-07-31,629.0,639.79,607.15,636.25,536.13,9651731
2019-08-01,632.04,633.45,619.0,625.65,527.20,3982949
2019-08-02,625.0,639.09,618.40,636.15,536.05,2172845
2019-08-05,631.15,651.04,625.29,648.04,546.08,3140140
2019-08-06,650.09,679.84,650.09,670.59,565.08,7226321
2019-08-07,671.79,678.5,670.29,674.45,568.32,3239880
2019-08-08,674.0,683.90,665.0,680.20,573.17,2708834
2019-08-09,679.0,680.75,659.75,663.34,558.97,3743407
2019-08-13,661.09,662.5,636.0,639.15,538.58,2716622
2019-08-14,639.04,662.5,638.90,659.09,555.39,2627043
2019-08-16,656.90,661.0,646.15,659.0,555.30,3067796
2019-08-19,662.0,674.40,661.5,670.34,564.87,2871173
2019-08-20,674.0,680.0,664.65,668.90,563.65,3913608
2019-08-21,670.0,675.0,669.29,672.79,566.93,2106655
2019-08-22,672.65,684.0,668.09,682.75,575.32,3353812
2019-08-23,684.25,694.40,679.40,683.84,576.24,7015461
2019-08-26,689.79,693.0,670.20,691.15,582.40,1767289
2019-08-27,689.84,689.84,673.20,676.34,569.92,3160545
2019-08-28,676.0,693.45,676.0,690.20,581.59,2749273
2019-08-29,684.15,694.0,681.0,691.15,582.40,2789979
2019-08-30,693.0,700.70,675.84,693.65,584.50,3067856
2019-09-03,698.0,716.90,698.0,704.5,593.64,5044667
2019-09-04,705.0,709.75,692.20,703.25,592.59,2027768
2019-09-05,710.0,710.0,691.04,695.45,586.02,2019839
2019-09-06,716.34,734.45,716.34,721.75,608.18,10663234
2019-09-09,723.0,723.0,710.0,712.90,600.72,1754023
2019-09-11,718.0,723.25,701.25,703.70,592.97,2702792
2019-09-12,701.09,709.20,694.0,705.54,594.53,3282740
2019-09-13,705.25,711.29,701.0,709.5,597.86,1073430
2019-09-16,710.09,723.25,710.09,719.45,606.24,2500556
2019-09-17,719.90,719.90,699.15,705.95,594.87,2948429
2019-09-18,710.0,718.09,701.90,716.75,603.97,1666369
2019-09-19,715.70,715.70,700.0,703.34,592.68,1570183
2019-09-20,701.29,716.20,696.04,700.84,590.57,3394351
2019-09-23,703.0,704.95,675.09,682.79,575.36,2256769
2019-09-24,686.04,705.90,683.70,703.84,593.10,3128057
2019-09-25,704.04,709.95,698.0,705.90,594.82,3512690
2019-09-26,705.45,716.0,701.79,713.70,601.40,3300104
2019-09-27,710.0,718.65,702.04,704.29,593.48,2434719
2019-09-30,704.5,716.59,696.20,714.5,602.07,2136186
2019-10-01,715.0,715.0,700.0,704.95,594.02,1709480
2019-10-03,705.25,717.75,692.54,702.5,591.96,2111319
2019-10-04,705.0,713.79,702.54,708.15,596.72,2273166
2019-10-07,708.15,716.79,700.70,704.79,593.90,2578403
2019-10-09,702.79,713.90,701.84,711.04,599.16,1115851
2019-10-10,708.04,718.84,703.5,711.29,599.37,1507268
2019-10-11,701.29,723.90,697.5,721.45,607.93,3785425
2019-10-14,721.0,728.65,717.45,720.75,607.34,1871571
2019-10-15,724.0,729.0,719.0,720.5,607.13,1482881
2019-10-16,720.09,729.75,717.70,727.70,613.19,2114943
2019-10-17,725.0,731.0,715.95,724.34,610.37,2177984
2019-10-18,724.45,737.75,722.70,734.20,618.67,2907649
2019-10-22,727.40,732.0,714.29,717.65,604.73,2825230
2019-10-23,717.65,734.40,716.34,726.59,612.27,2143330
2019-10-24,730.0,745.0,724.40,726.34,612.06,2888332
2019-10-25,730.90,730.90,701.20,720.95,607.51,2785014
2019-10-27,723.0,737.40,718.5,726.75,612.39,194159
2019-10-29,728.0,763.0,725.09,754.75,635.99,3292048
2019-10-30,762.0,764.79,745.54,754.40,635.69,2232609
2019-10-31,754.95,759.34,736.59,739.0,622.72,4178139
2019-11-01,740.90,764.0,740.0,760.45,640.79,4136257
2019-11-04,760.45,777.59,753.45,769.5,648.42,4936914
2019-11-05,772.0,775.54,764.79,773.25,651.58,3303839
2019-11-06,784.0,784.0,767.59,771.90,650.44,9486591
2019-11-07,775.0,775.0,765.04,769.70,648.59,2060900
2019-11-08,772.0,777.84,770.29,771.34,649.98,2368591
2019-11-11,769.95,774.5,768.04,770.40,649.18,1345883
2019-11-13,768.0,773.79,746.0,757.04,637.93,2434874
2019-11-14,756.0,763.5,748.29,758.34,639.02,2564424
2019-11-15,758.34,763.25,749.29,751.95,633.63,1787358
2019-11-18,752.0,758.29,747.5,751.79,633.50,2216434
2019-11-19,754.0,766.0,752.0,763.15,643.07,2725437
2019-11-20,764.90,773.0,755.95,771.40,650.02,2343750
2019-11-21,775.0,780.0,762.79,765.15,644.75,2102137
2019-11-22,765.0,765.0,742.79,754.20,635.52,1819912
2019-11-25,754.20,765.70,750.84,763.54,643.40,1837243
2019-11-26,766.0,767.84,756.29,763.59,643.45,2968850
2019-11-27,762.84,769.54,757.34,767.54,646.77,1369944
2019-11-28,765.15,772.09,762.0,766.25,645.68,1096867
2019-11-29,766.0,772.34,758.40,761.45,641.63,1236902
2019-12-02,758.09,759.90,732.29,748.45,630.68,4333335
2019-12-03,748.04,756.70,743.29,746.25,628.83,1838085
2019-12-04,746.90,761.5,743.54,758.79,639.40,1870954
2019-12-05,755.0,766.75,752.09,764.90,644.54,2475102
2019-12-06,763.20,771.34,755.54,757.5,638.31,1092422
2019-12-09,759.45,759.45,746.5,750.34,632.28,1435556
2019-12-10,749.95,749.95,737.29,744.95,627.73,1582428
2019-12-11,741.0,760.0,741.0,757.95,638.68,1644499
2019-12-12,761.0,766.0,752.5,756.45,637.42,1184008
2019-12-13,758.95,763.95,748.25,761.84,641.97,2019424
2019-12-16,762.70,784.0,759.0,773.29,651.62,5810893
2019-12-17,775.54,782.0,772.59,777.34,655.03,2421510
2019-12-18,780.09,794.0,780.09,786.65,662.87,5676894
2019-12-19,790.0,790.0,778.09,782.75,659.58,2099931
2019-12-20,784.04,787.70,778.0,783.34,660.09,2092547
2019-12-23,778.59,787.40,774.95,775.95,653.85,1887292
2019-12-24,776.0,777.95,767.59,772.04,650.57,1413973
2019-12-26,771.0,779.04,768.04,770.40,649.18,1276520
2019-12-27,771.0,781.40,769.09,780.20,657.43,1363474
2019-12-30,782.70,784.84,779.09,782.70,659.54,1055528
2019-12-31,780.04,780.95,760.0,762.29,642.35,3004887
2020-01-01,766.0,766.79,760.34,762.09,642.18,746371
2020-01-02,762.09,769.15,761.0,766.04,645.51,1133488
2020-01-03,766.0,779.90,763.54,775.09,653.14,2121704
2020-01-06,774.84,778.79,768.15,770.40,649.18,1734439
2020-01-07,770.0,778.5,760.59,777.09,654.82,1937143
2020-01-08,770.09,784.90,767.09,769.79,648.67,2596664
2020-01-09,770.5,776.45,762.20,773.65,651.91,1678891
2020-01-10,779.0,781.90,772.45,776.25,654.10,1105725
2020-01-13,779.90,788.70,775.04,785.84,662.19,1393509
2020-01-14,785.84,797.79,783.70,796.25,670.96,1628535
2020-01-15,796.15,803.65,788.5,795.15,670.03,1759644
2020-01-16,793.0,795.70,781.09,782.84,659.67,1110008
2020-01-17,783.5,786.75,775.5,778.45,655.96,989312
2020-01-20,778.5,785.45,774.54,778.20,655.75,1620105
2020-01-21,777.25,783.40,775.0,778.90,656.34,976954
2020-01-22,780.0,790.45,776.20,778.75,656.21,1192201
2020-01-23,777.25,780.45,766.90,768.95,647.95,2018777
2020-01-24,765.09,788.75,763.29,787.29,663.42,2364265
2020-01-27,786.0,796.25,779.65,791.5,666.96,1175606
2020-01-28,792.5,795.75,784.59,794.25,669.27,1506685
2020-01-29,796.90,807.20,793.54,804.15,677.61,2565136
2020-01-30,805.59,807.95,784.0,791.34,666.83,2493688
2020-01-31,796.84,802.5,783.0,796.59,671.25,3081521
2020-02-03,808.0,818.70,790.5,793.15,668.35,3383074
