Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,931.75,934.20,923.0,928.0,911.87,2064502
2019-01-02,923.29,937.0,923.29,932.15,915.94,2672587
2019-01-03,936.0,944.95,928.0,931.20,915.01,3292918
2019-01-04,934.0,938.90,920.20,928.45,912.31,2340304
2019-01-07,950.0,964.0,934.09,944.04,927.64,5337211
2019-01-08,944.20,950.0,938.54,946.15,929.70,2039160
2019-01-09,949.0,955.34,945.34,952.95,936.38,2115974
2019-01-10,950.40,969.40,948.54,966.70,949.89,2450895
2019-01-11,965.25,969.5,956.79,959.29,942.62,1535995
2019-01-14,958.0,961.34,949.0,957.5,940.85,864306
2019-01-15,956.0,970.70,955.09,968.29,951.47,1452136
2019-01-16,965.29,970.40,959.29,961.20,944.49,1118736
2019-01-17,961.34,965.0,951.54,961.54,944.83,1303576
2019-01-18,961.54,965.0,954.04,960.95,944.24,1168989
2019-01-21,960.09,965.79,957.0,962.75,946.01,1035360
2019-01-22,962.15,986.40,958.70,982.65,965.57,2797244
2019-01-23,987.40,987.40,957.59,962.15,945.42,1574247
2019-01-24,960.20,972.29,955.90,969.65,952.79,1246903
2019-01-25,972.0,984.0,969.15,978.0,961.00,1985833
2019-01-28,978.0,981.20,955.20,958.65,941.98,1499181
2019-01-29,955.20,970.0,945.0,966.09,949.30,1411027
2019-01-30,966.09,974.95,960.04,968.90,952.06,1468812
2019-01-31,968.20,1000.0,966.5,995.79,978.49,2306391
2019-02-01,1003.0,1005.0,985.09,991.54,974.31,3424938
2019-02-04,1025.0,1050.0,1009.04,1025.75,1007.92,9556052
2019-02-05,1026.94,1074.0,1020.0,1066.69,1048.16,7144200
2019-02-06,1066.0,1072.0,1050.5,1059.05,1040.64,2449722
2019-02-07,1059.80,1067.05,1050.0,1056.80,1038.43,1293109
2019-02-08,1058.5,1076.84,1047.59,1053.25,1034.94,2576054
2019-02-11,1059.0,1063.5,1045.19,1056.40,1038.03,1057548
2019-02-12,1058.0,1073.94,1050.09,1066.25,1047.71,3075801
2019-02-14,1063.94,1063.94,1030.5,1042.25,1024.13,2182379
2019-02-15,1035.0,1052.0,1016.79,1039.0,1020.94,2566210
2019-02-18,1040.09,1040.65,1021.29,1027.34,1009.49,1023065
2019-02-19,1030.44,1049.80,1025.30,1028.80,1010.91,1551617
2019-02-20,1030.0,1044.40,1027.5,1032.75,1014.80,1506583
2019-02-21,1039.90,1045.0,1031.25,1042.5,1024.38,1220939
2019-02-22,1035.5,1044.0,1030.30,1041.59,1023.49,1298608
2019-02-25,1038.0,1055.0,1035.59,1043.0,1024.87,1691809
2019-02-26,1039.0,1041.90,1016.04,1038.34,1020.30,1906268
2019-02-27,1042.90,1047.15,1013.95,1016.25,998.58,1897310
2019-02-28,1018.0,1033.80,1002.04,1025.19,1007.38,5080712
