Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,4000.0,4014.35,3966.25,4009.19,3926.43,92921
2019-01-02,4000.0,4018.94,3973.94,4006.10,3923.40,143828
2019-01-03,4010.0,4015.0,3875.94,3900.05,3819.53,223538
2019-01-04,3928.0,3928.0,3853.0,3914.55,3833.74,220079
2019-01-07,3935.0,3985.39,3913.85,3926.75,3845.68,220371
2019-01-08,3915.0,3943.44,3840.0,3916.30,3835.45,271012
2019-01-09,3917.0,3934.89,3800.0,3817.25,3738.44,248627
2019-01-10,3820.0,3847.0,3804.05,3818.19,3739.37,138524
2019-01-11,3818.19,3851.55,3751.10,3770.19,3692.36,248857
2019-01-14,3770.19,3796.94,3737.94,3776.60,3698.63,198557
2019-01-15,3792.0,3845.0,3771.05,3827.64,3748.63,298881
2019-01-16,3843.0,3908.0,3835.19,3887.0,3806.75,201711
2019-01-17,3892.0,3914.75,3810.0,3846.44,3767.04,235993
2019-01-18,3859.0,3859.0,3771.60,3819.94,3741.09,237908
2019-01-21,3810.0,3867.5,3790.0,3849.55,3770.08,279969
2019-01-22,3850.0,3887.0,3800.89,3860.5,3780.80,220491
2019-01-23,3862.0,3886.05,3840.75,3850.64,3771.15,171340
2019-01-24,3856.0,3878.55,3770.05,3790.69,3712.44,808713
2019-01-25,3800.0,3800.0,3480.05,3510.80,3438.32,1593195
2019-01-28,3510.0,3510.0,3332.44,3374.44,3304.78,1260559
2019-01-29,3375.0,3509.89,3370.0,3409.64,3339.26,754743
2019-01-30,3420.0,3467.30,3365.0,3442.19,3371.14,303793
2019-01-31,3454.0,3540.0,3432.10,3519.35,3446.69,621043
2019-02-01,3530.0,3538.55,3446.0,3483.64,3411.73,745604
2019-02-04,3480.05,3496.89,3402.0,3447.5,3376.33,320227
2019-02-05,3447.5,3472.0,3410.0,3461.75,3390.28,286515
2019-02-06,3484.89,3534.89,3441.0,3510.35,3437.88,341588
2019-02-07,3509.69,3606.85,3497.5,3570.55,3496.84,367134
2019-02-08,3535.0,3587.94,3515.25,3557.80,3484.35,287105
2019-02-11,3565.60,3565.60,3440.10,3449.39,3378.19,206491
2019-02-12,3440.0,3498.30,3415.05,3452.35,3381.08,266527
2019-02-14,3454.0,3503.75,3426.64,3494.89,3422.75,156493
2019-02-15,3489.89,3489.89,3367.05,3439.44,3368.44,276417
2019-02-18,3452.0,3459.0,3380.0,3429.25,3358.45,270262
2019-02-19,3410.14,3504.94,3410.14,3467.60,3396.01,213945
2019-02-20,3474.10,3597.0,3471.10,3573.35,3499.58,243815
2019-02-21,3583.0,3654.0,3560.0,3631.25,3556.28,394248
2019-02-22,3631.0,3664.5,3604.85,3625.69,3550.85,216855
2019-02-25,3620.0,3724.44,3617.0,3716.60,3639.87,445514
2019-02-26,3690.0,3816.0,3676.05,3788.55,3710.34,700811
2019-02-27,3810.0,3905.0,3801.69,3889.10,3808.81,681050
2019-02-28,3915.0,3915.0,3790.0,3826.5,3747.50,718074
2019-03-01,3839.89,3899.5,3826.55,3878.35,3798.28,270365
2019-03-05,3893.89,3978.69,3870.05,3962.19,3880.40,367903
2019-03-06,3963.0,4020.0,3935.80,3978.64,3896.51,349217
2019-03-07,3978.80,3987.80,3900.35,3912.80,3832.02,382836
2019-03-08,3924.80,3986.14,3885.5,3972.0,3890.00,253766
2019-03-11,3975.5,4057.5,3955.64,4049.14,3965.56,389964
2019-03-12,4063.89,4147.95,4050.5,4095.75,4011.19,609648
2019-03-13,4099.0,4140.0,4011.05,4025.64,3942.54,380923
2019-03-14,4036.89,4061.14,3932.0,3964.14,3882.31,301915
2019-03-15,3990.0,3990.0,3905.0,3916.10,3835.25,339118
2019-03-18,3949.0,3979.0,3918.05,3970.19,3888.24,286827
2019-03-19,3970.19,4012.0,3960.05,3978.0,3895.88,370780
2019-03-20,4004.69,4009.75,3910.89,3922.30,3841.33,295550
2019-03-22,3945.85,3976.89,3883.60,3929.75,3848.62,399902
2019-03-25,3911.0,3911.0,3850.0,3871.05,3791.13,265291
2019-03-26,3869.0,3944.75,3830.0,3925.60,3844.56,336761
2019-03-27,3951.69,3997.19,3880.0,3901.94,3821.40,443206
2019-03-28,3920.0,3968.0,3894.44,3908.94,3828.25,544435
2019-04-01,4040.0,4146.0,4020.0,4053.5,3969.82,740396
