Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,506.66,510.46,497.66,502.33,472.06,2415372
2019-01-02,500.0,505.63,496.0,504.33,473.94,1962064
2019-01-03,503.33,505.29,496.16,497.76,467.77,1579716
2019-01-04,499.20,506.16,495.39,504.26,473.88,1590477
2019-01-07,506.66,511.83,506.0,509.16,478.48,2384899
2019-01-08,509.0,510.0,498.66,501.46,471.25,1472160
2019-01-09,505.33,511.33,502.29,509.86,479.14,1559776
2019-01-10,510.53,520.0,510.03,515.40,484.34,3601815
2019-01-11,516.66,524.66,515.33,522.29,490.82,3904549
2019-01-14,522.66,522.66,511.26,513.59,482.65,2088177
2019-01-15,515.06,521.40,514.63,517.29,486.12,2047294
2019-01-16,517.29,517.29,501.73,510.73,479.95,3876135
2019-01-17,511.76,515.70,507.83,512.70,481.80,2164326
2019-01-18,512.0,514.0,509.33,510.70,479.92,1379212
2019-01-21,510.0,515.23,504.13,512.76,481.86,1691152
2019-01-22,510.79,514.70,502.29,508.86,478.20,2125471
2019-01-23,509.33,521.43,506.56,508.56,477.92,3505369
2019-01-24,510.0,511.56,495.29,498.23,468.21,3163807
2019-01-25,502.0,511.39,498.0,502.06,471.81,2655358
2019-01-28,503.33,509.33,496.0,506.70,476.16,1839426
2019-01-29,505.0,511.63,498.03,506.86,476.32,1701693
2019-01-30,508.73,513.33,503.53,511.56,480.74,1585777
2019-01-31,517.13,526.59,509.46,524.33,492.73,3449514
2019-02-01,533.16,533.16,510.93,519.90,488.57,4440582
2019-02-04,514.16,516.70,505.33,513.93,482.96,1881016
2019-02-05,515.23,533.33,515.23,530.63,498.65,3774670
2019-02-06,534.66,540.0,530.83,536.83,504.48,5621341
2019-02-07,536.83,545.0,534.86,539.33,506.83,2501457
2019-02-08,536.33,544.53,533.73,541.46,508.84,2092582
2019-02-11,541.33,543.33,534.29,537.23,504.86,1739295
2019-02-12,538.0,541.66,527.76,530.79,498.81,3056557
2019-02-14,542.86,549.66,541.09,547.36,514.38,2615476
2019-02-15,546.0,547.33,537.46,545.56,512.69,2801466
2019-02-18,546.16,553.33,537.36,547.90,514.88,2855346
2019-02-19,547.33,549.63,541.33,544.29,511.50,2227756
2019-02-20,546.20,552.66,542.53,548.5,515.44,2243914
2019-02-21,550.0,555.13,545.33,550.83,517.64,1567429
2019-02-22,550.59,553.26,546.20,551.56,518.33,1242933
2019-02-25,552.0,567.93,552.0,565.09,531.04,5528401
2019-02-26,561.5,571.83,558.36,570.03,535.68,3751057
2019-02-27,571.23,581.26,571.23,579.53,544.61,4709425
2019-02-28,584.66,587.73,574.79,585.06,549.81,3728826
2019-03-01,584.06,587.93,578.76,579.83,544.89,2489419
2019-03-05,581.86,585.66,577.03,583.66,548.49,2047953
2019-03-06,586.0,589.73,577.79,584.90,549.65,3145128
2019-03-07,584.66,584.66,578.16,581.36,546.33,1957380
2019-03-08,580.86,590.0,575.70,587.83,552.41,2670367
2019-03-11,592.96,599.63,591.73,597.79,561.77,3862593
2019-03-12,600.0,604.59,595.76,598.86,562.78,3303049
2019-03-13,600.0,609.93,594.66,607.46,570.86,2410987
2019-03-14,607.46,610.83,600.20,602.5,566.19,2051482
2019-03-15,602.66,618.93,601.59,615.63,578.53,3914647
2019-03-18,615.66,623.96,611.20,618.06,580.82,1920841
2019-03-19,619.33,623.33,612.23,620.86,583.45,1699530
2019-03-20,620.0,626.53,618.06,623.59,586.02,1350502
2019-03-22,622.59,627.33,618.16,623.29,585.74,2009527
2019-03-25,620.0,621.13,603.86,608.46,571.80,3463663
2019-03-26,607.03,611.53,594.06,602.20,565.91,5470843
2019-03-27,602.23,607.96,596.36,601.26,565.03,3127998
2019-03-28,603.93,623.96,597.59,619.36,582.04,3678943
