Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,248.06,249.56,244.05,244.98,239.78,2018271
2019-01-02,246.60,248.47,242.25,244.16,238.97,4411069
2019-01-03,245.25,245.96,242.28,244.12,238.93,4723040
2019-01-04,243.37,245.13,239.73,243.33,238.16,3207036
2019-01-07,244.57,245.06,241.72,243.18,238.02,2538138
2019-01-08,243.75,245.62,241.95,244.16,238.97,2779544
2019-01-09,243.41,249.45,243.41,246.75,241.50,5237173
2019-01-10,248.10,248.28,242.25,244.31,239.12,4132521
2019-01-11,244.20,247.42,242.62,246.52,241.28,2131918
2019-01-14,247.53,248.32,233.51,234.41,229.43,9217761
2019-01-15,239.25,249.22,236.28,247.35,242.09,20094388
2019-01-16,248.85,254.85,246.78,252.41,247.05,13195050
2019-01-17,252.75,253.95,248.70,251.55,246.20,7052243
2019-01-18,252.00,260.62,250.05,259.61,254.09,13455951
2019-01-21,255.00,258.67,249.90,253.35,247.96,20829125
2019-01-22,252.60,262.20,252.00,259.87,254.35,8908963
2019-01-23,261.48,266.85,261.00,263.66,258.06,13249898
2019-01-24,262.65,264.75,259.87,263.81,258.20,5640726
2019-01-25,261.18,268.76,261.00,265.08,259.45,6982068
2019-01-28,265.76,272.02,265.68,266.36,260.70,9199940
2019-01-29,267.00,270.60,264.78,269.55,264.56,6160130
2019-01-30,269.25,275.73,268.50,272.43,267.40,9878580
2019-01-31,274.50,278.55,272.47,276.90,271.78,10258758
2019-02-01,277.57,279.33,272.62,278.66,273.51,4488804
2019-02-04,277.50,281.02,276.07,278.43,273.29,4191628
2019-02-05,277.50,279.15,274.35,276.33,271.23,3275200
2019-02-06,276.86,281.21,276.56,279.15,273.99,2905680
2019-02-07,279.00,280.87,277.23,280.20,275.02,2991240
2019-02-08,278.62,281.17,276.52,279.52,274.35,1867904
2019-02-11,278.17,283.05,277.27,279.78,274.61,3963703
2019-02-12,280.61,282.18,276.26,281.25,276.05,3969660
2019-02-14,282.30,283.80,280.46,281.32,276.12,4099801
2019-02-15,281.43,283.01,277.61,282.07,276.86,4696896
2019-02-18,284.10,284.10,278.06,281.70,276.49,4640098
2019-02-19,279.41,281.55,271.65,272.58,267.55,4085809
2019-02-20,272.40,280.50,270.90,279.15,273.99,5880643
2019-02-21,279.60,282.60,278.10,280.91,275.72,3430779
2019-02-22,281.25,285.00,280.12,284.06,278.81,4259550
2019-02-25,285.60,290.02,284.43,289.05,283.70,6237958
2019-02-26,288.37,291.71,285.93,290.73,285.36,5070048
2019-02-27,285.18,287.88,279.30,280.80,275.61,10678686
2019-02-28,281.17,282.52,274.95,276.67,271.56,12571016
2019-03-01,278.17,283.76,274.12,281.77,276.56,9381886
2019-03-05,280.50,280.98,271.50,272.70,267.66,18021315
2019-03-06,274.39,285.89,273.10,277.45,272.32,21507060
2019-03-07,280.0,280.29,267.5,268.85,263.88,8100134
2019-03-08,261.10,262.25,256.54,257.70,252.93,27344869
2019-03-11,259.0,260.89,257.45,259.75,254.95,7354227
2019-03-12,261.0,263.35,260.14,261.35,256.52,6290354
2019-03-13,262.5,265.60,256.20,257.89,253.13,7219723
2019-03-14,259.35,259.70,255.0,256.85,252.10,4489473
2019-03-15,258.0,264.25,257.20,263.45,258.58,8720097
2019-03-18,264.75,264.75,256.04,257.60,252.83,5748614
2019-03-19,257.79,258.89,255.10,257.45,252.69,5051847
2019-03-20,258.39,263.0,258.39,261.54,256.71,6114562
2019-03-22,262.45,263.75,258.5,260.54,255.73,3198029
2019-03-25,262.0,262.0,256.0,256.5,251.76,3373962
2019-03-26,257.10,258.60,253.39,255.0,250.28,3850516
2019-03-27,255.19,256.39,253.75,254.55,249.84,3357731
2019-03-28,255.89,257.89,254.10,254.75,250.04,7104836
2019-04-01,256.0,263.89,255.94,261.64,256.81,7066566
2019-04-02,263.39,263.89,259.20,261.64,256.81,3706567
2019-04-03,262.39,263.10,258.20,261.64,256.81,3769354
2019-04-04,261.0,262.25,254.94,259.04,254.26,6419198
2019-04-05,261.0,263.85,259.5,262.10,257.25,3614552
2019-04-08,263.70,265.5,260.75,263.70,258.82,3637464
2019-04-09,263.5,275.0,263.35,273.79,268.74,13991384
2019-04-10,278.0,281.79,275.0,281.0,275.80,18530666
2019-04-11,283.5,284.60,280.14,281.29,276.10,9441628
2019-04-12,282.39,284.70,281.39,283.39,278.16,5789054
2019-04-15,285.0,289.5,284.14,287.70,282.38,7067192
2019-04-16,291.35,291.45,278.0,280.89,275.70,20367059
2019-04-18,289.0,289.54,280.20,284.79,279.53,27425578
2019-04-22,285.5,289.0,285.10,288.25,282.92,8412054
2019-04-23,289.70,291.85,286.70,291.10,285.72,6177784
2019-04-24,292.04,294.29,290.20,293.04,287.63,9149069
2019-04-25,293.04,295.95,292.85,295.20,289.74,10390816
2019-04-26,296.39,296.64,293.5,294.79,289.35,6196551
