date,1. open,2. high,3. low,4. close,5. volume
2023-11-10,1.82,1.8432,1.73,1.83,164373.0
2023-11-09,1.88,1.88,1.77,1.8,212623.0
2023-11-08,1.86,1.92,1.86,1.87,72757.0
2023-11-07,1.88,1.9372,1.87,1.89,113552.0
2023-11-06,1.89,1.92,1.845,1.91,110042.0
2023-11-03,1.82,2.0,1.82,1.91,289213.0
2023-11-02,1.76,1.835,1.7288,1.81,201755.0
2023-11-01,1.94,1.94,1.5618,1.76,404608.0
2023-10-31,1.84,1.9,1.8158,1.85,244197.0
2023-10-30,1.86,1.9,1.825,1.84,234347.0
2023-10-27,1.85,1.9,1.81,1.86,184928.0
2023-10-26,1.86,1.89,1.79,1.82,417890.0
2023-10-25,1.99,1.99,1.87,1.87,429643.0
2023-10-24,2.16,2.1702,1.96,1.97,368461.0
2023-10-23,2.17,2.18,2.08,2.13,333950.0
2023-10-20,2.12,2.22,2.12,2.2,233323.0
2023-10-19,2.16,2.21,2.135,2.15,189756.0
2023-10-18,2.18,2.21,2.125,2.17,122619.0
2023-10-17,2.05,2.23,2.04,2.2,273269.0
2023-10-16,2.01,2.13,2.0,2.08,228155.0
2023-10-13,2.01,2.06,1.955,2.03,163654.0
2023-10-12,2.07,2.08,1.96,2.01,240594.0
2023-10-11,2.11,2.17,2.02,2.05,190967.0
2023-10-10,2.02,2.16,2.0001,2.1,269248.0
2023-10-09,2.05,2.08,1.97,2.02,299128.0
2023-10-06,2.0,2.19,2.0,2.11,396752.0
2023-10-05,2.14,2.17,1.95,2.03,656120.0
2023-10-04,2.16,2.255,2.12,2.18,395033.0
2023-10-03,2.18,2.255,2.15,2.15,411473.0
2023-10-02,2.22,2.28,2.15,2.21,725719.0
2023-09-29,2.2,2.27,2.2,2.25,323045.0
2023-09-28,2.01,2.2,1.97,2.19,406396.0
2023-09-27,1.86,2.01,1.85,2.0,1216357.0
2023-09-26,1.98,1.98,1.85,1.87,510551.0
2023-09-25,2.02,2.02,1.92,1.96,515638.0
2023-09-22,2.1,2.1325,2.02,2.02,331289.0
2023-09-21,2.1,2.15,2.09,2.1,233417.0
2023-09-20,2.18,2.22,2.11,2.13,245887.0
2023-09-19,2.15,2.26,2.13,2.16,295609.0
2023-09-18,2.18,2.2646,2.135,2.19,453606.0
2023-09-15,2.3,2.34,2.25,2.33,546029.0
